Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,1.06,1.06,1.02,1.02,0,4.08,ACCELSAB.MX
2000-01-04,0.99,0.99,0.99,0.99,12500,3.96,ACCELSAB.MX
2000-01-05,0.95,1.01,0.95,1.01,4000,4.04,ACCELSAB.MX
2000-01-06,1.0,1.0,0.95,0.95,0,3.8,ACCELSAB.MX
2000-01-07,1.0,1.0,0.96,0.96,0,3.84,ACCELSAB.MX
2000-01-10,1.0,1.0,0.96,0.96,0,3.84,ACCELSAB.MX
2000-01-11,1.0,1.02,1.0,1.02,35200,4.08,ACCELSAB.MX
2000-01-12,1.02,1.02,0.96,0.96,0,3.84,ACCELSAB.MX
2000-01-13,1.0,1.0,0.97,0.97,0,3.88,ACCELSAB.MX
2000-01-14,0.99,1.0,0.99,1.0,4200,4.0,ACCELSAB.MX
2000-01-17,1.0,1.0,0.95,0.95,0,3.8,ACCELSAB.MX
2000-01-18,0.96,0.96,0.95,0.95,9000,3.8,ACCELSAB.MX
2000-01-19,0.95,0.95,0.95,0.95,117500,3.8,ACCELSAB.MX
2000-01-20,0.96,0.96,0.96,0.96,2500,3.84,ACCELSAB.MX
2000-01-21,0.93,0.99,0.93,0.99,10700,3.96,ACCELSAB.MX
2000-01-24,0.95,0.95,0.9,0.9,0,3.6,ACCELSAB.MX
2000-01-25,0.92,0.95,0.92,0.95,87200,3.8,ACCELSAB.MX
2000-01-26,0.94,0.94,0.9,0.94,167700,3.76,ACCELSAB.MX
2000-01-27,0.95,0.95,0.95,0.95,1200,3.8,ACCELSAB.MX
2000-01-28,0.92,0.92,0.84,0.84,0,3.36,ACCELSAB.MX
2000-01-31,0.91,0.97,0.91,0.97,21200,3.88,ACCELSAB.MX
2000-02-01,0.93,0.97,0.93,0.97,10000,3.88,ACCELSAB.MX
2000-02-02,0.97,0.97,0.93,0.93,0,3.72,ACCELSAB.MX
2000-02-03,0.92,1.0,0.92,1.0,119000,4.0,ACCELSAB.MX
2000-02-04,0.95,0.97,0.95,0.97,8000,3.88,ACCELSAB.MX
2000-02-07,0.94,0.97,0.94,0.97,5500,3.88,ACCELSAB.MX
2000-02-08,0.92,0.97,0.9,0.97,31200,3.88,ACCELSAB.MX
2000-02-09,0.95,0.95,0.91,0.91,0,3.64,ACCELSAB.MX
2000-02-10,0.94,0.94,0.9,0.9,0,3.6,ACCELSAB.MX
2000-02-11,0.91,0.93,0.91,0.93,3700,3.72,ACCELSAB.MX
2000-02-14,0.97,0.97,0.97,0.97,1200,3.88,ACCELSAB.MX
2000-02-15,0.95,0.95,0.91,0.91,0,3.64,ACCELSAB.MX
2000-02-16,0.91,0.96,0.91,0.96,27500,3.84,ACCELSAB.MX
2000-02-17,0.9,0.96,0.9,0.96,10000,3.84,ACCELSAB.MX
2000-02-18,0.94,0.94,0.89,0.89,0,3.56,ACCELSAB.MX
2000-02-21,0.95,0.95,0.9,0.9,0,3.6,ACCELSAB.MX
2000-02-22,0.95,0.95,0.91,0.91,0,3.64,ACCELSAB.MX
2000-02-23,0.92,0.95,0.92,0.95,1200,3.8,ACCELSAB.MX
2000-02-24,0.92,0.95,0.92,0.95,32500,3.8,ACCELSAB.MX
2000-02-25,0.9,0.95,0.88,0.9,565700,3.6,ACCELSAB.MX
2000-02-28,0.9,0.9,0.9,0.9,1500,3.6,ACCELSAB.MX
2000-02-29,0.9,0.95,0.9,0.95,55200,3.8,ACCELSAB.MX
2000-03-01,0.94,0.94,0.9,0.9,0,3.6,ACCELSAB.MX
2000-03-02,0.92,0.92,0.65,0.65,0,2.6,ACCELSAB.MX
2000-03-03,0.88,0.92,0.88,0.88,1000,3.52,ACCELSAB.MX
2000-03-06,0.9,0.9,0.9,0.9,1200,3.6,ACCELSAB.MX
2000-03-07,0.85,0.9,0.85,0.9,15000,3.6,ACCELSAB.MX
2000-03-08,0.89,0.89,0.8,0.8,0,3.2,ACCELSAB.MX
2000-03-09,0.87,0.87,0.87,0.87,5000,3.48,ACCELSAB.MX
2000-03-10,0.9,0.9,0.9,0.9,700,3.6,ACCELSAB.MX
2000-03-13,0.9,0.9,0.9,0.9,0,3.6,ACCELSAB.MX
2000-03-14,0.86,0.86,0.65,0.65,0,2.6,ACCELSAB.MX
2000-03-15,0.88,0.88,0.73,0.73,0,2.92,ACCELSAB.MX
2000-03-16,0.85,0.88,0.85,0.88,8200,3.52,ACCELSAB.MX
2000-03-17,0.88,0.88,0.84,0.84,0,3.36,ACCELSAB.MX
