Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2011-04-29,30.6,30.65,30.3,30.65,677500,30.65,AEROMEX.MX
2011-05-02,30.3,30.6,30.21,30.3,198000,30.3,AEROMEX.MX
2011-05-03,30.35,30.45,30.2,30.35,917300,30.35,AEROMEX.MX
2011-05-04,30.3,30.5,30.0,30.3,553700,30.3,AEROMEX.MX
2011-05-05,30.12,30.3,29.8,30.12,583100,30.12,AEROMEX.MX
2011-05-06,29.99,30.12,29.8,29.99,446700,29.99,AEROMEX.MX
2011-05-09,29.79,30.0,29.7,29.79,1146300,29.79,AEROMEX.MX
2011-05-10,29.59,29.79,29.0,29.59,170500,29.59,AEROMEX.MX
2011-05-11,29.64,29.8,29.0,29.64,3707600,29.64,AEROMEX.MX
2011-05-12,29.4,29.5,29.2,29.4,903500,29.4,AEROMEX.MX
2011-05-13,29.4,29.45,29.2,29.4,2019500,29.4,AEROMEX.MX
2011-05-16,29.4,29.5,29.26,29.4,450600,29.4,AEROMEX.MX
2011-05-17,28.59,29.01,28.55,28.59,39800,28.59,AEROMEX.MX
2011-05-18,28.36,28.5,28.01,28.36,286600,28.36,AEROMEX.MX
2011-05-19,28.0,28.3,27.5,28.0,718200,28.0,AEROMEX.MX
2011-05-20,28.0,28.39,27.8,28.0,96200,28.0,AEROMEX.MX
2011-05-23,27.93,30.3,27.12,27.93,516500,27.93,AEROMEX.MX
2011-05-24,29.15,29.15,27.11,29.15,266700,29.15,AEROMEX.MX
2011-05-25,28.9,29.25,28.05,28.9,55100,28.9,AEROMEX.MX
2011-05-26,29.17,29.2,29.0,29.17,216100,29.17,AEROMEX.MX
2011-05-27,29.15,29.2,29.1,29.15,98400,29.15,AEROMEX.MX
2011-05-30,29.18,29.18,29.15,29.18,17100,29.18,AEROMEX.MX
2011-05-31,28.98,29.16,28.7,28.98,172000,28.98,AEROMEX.MX
2011-06-02,28.35,28.7,28.35,28.35,164800,28.35,AEROMEX.MX
2011-06-03,28.2,28.24,28.2,28.2,86000,28.2,AEROMEX.MX
2011-06-06,27.98,28.05,27.72,27.98,246400,27.98,AEROMEX.MX
2011-06-07,27.5,27.99,27.42,27.5,258800,27.5,AEROMEX.MX
2011-06-08,27.68,27.99,27.47,27.68,63700,27.68,AEROMEX.MX
2011-06-09,26.97,27.51,26.95,26.97,283900,26.97,AEROMEX.MX
2011-06-10,25.86,26.95,25.75,25.86,394900,25.86,AEROMEX.MX
2011-06-13,25.52,25.9,25.44,25.52,29600,25.52,AEROMEX.MX
2011-06-14,25.34,25.9,25.25,25.34,4649100,25.34,AEROMEX.MX
2011-06-15,25.42,26.14,25.4,25.42,170100,25.42,AEROMEX.MX
2011-06-16,25.26,25.7,25.15,25.26,401800,25.26,AEROMEX.MX
2011-06-17,25.59,25.85,25.25,25.59,675900,25.59,AEROMEX.MX
2011-06-20,26.01,26.1,25.59,26.01,204100,26.01,AEROMEX.MX
2011-06-21,27.34,27.69,26.21,27.34,257000,27.34,AEROMEX.MX
2011-06-22,27.89,28.2,27.57,27.89,322200,27.89,AEROMEX.MX
2011-06-23,27.0,27.61,26.9,27.0,387800,27.0,AEROMEX.MX
2011-06-24,27.0,27.21,26.91,27.0,313900,27.0,AEROMEX.MX
2011-06-27,27.19,27.25,27.09,27.19,64300,27.19,AEROMEX.MX
2011-06-28,27.15,27.2,26.94,27.15,291600,27.15,AEROMEX.MX
2011-06-29,26.7,27.17,26.51,26.7,367600,26.7,AEROMEX.MX
2011-06-30,27.0,27.35,26.55,27.0,586300,27.0,AEROMEX.MX
2011-07-04,26.75,27.0,26.7,26.75,159900,26.75,AEROMEX.MX
2011-07-05,26.5,26.84,26.5,26.5,395300,26.5,AEROMEX.MX
2011-07-06,26.65,26.7,26.49,26.65,729100,26.65,AEROMEX.MX
2011-07-07,26.82,26.89,26.75,26.82,773400,26.82,AEROMEX.MX
2011-07-08,26.79,26.9,26.75,26.79,120100,26.79,AEROMEX.MX
2011-07-11,26.58,26.7,26.31,26.58,66700,26.58,AEROMEX.MX
2011-07-12,26.25,26.5,26.24,26.25,56600,26.25,AEROMEX.MX
2011-07-13,26.2,26.25,26.12,26.2,115200,26.2,AEROMEX.MX
2011-07-14,26.4,26.5,26.19,26.4,485200,26.4,AEROMEX.MX
2011-07-15,26.35,26.49,26.25,26.35,75000,26.35,AEROMEX.MX
2011-07-18,25.97,26.36,25.96,25.97,245600,25.97,AEROMEX.MX
2011-07-19,26.02,26.21,25.7,26.02,244700,26.02,AEROMEX.MX
2011-07-20,26.0,26.11,26.0,26.0,108200,26.0,AEROMEX.MX
2011-07-21,25.9,26.2,25.8,25.9,137800,25.9,AEROMEX.MX
2011-07-22,26.68,26.77,25.94,26.68,278700,26.68,AEROMEX.MX
2011-07-25,27.01,27.09,26.68,27.01,446400,27.01,AEROMEX.MX
2011-07-26,28.07,28.35,27.0,28.07,584800,28.07,AEROMEX.MX
