Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,15.66,15.8,15.4,15.56,256000,3.79,ARA.MX
2000-01-04,15.38,15.38,14.76,14.76,716000,3.6,ARA.MX
2000-01-05,14.5,14.9,14.5,14.88,468000,3.63,ARA.MX
2000-01-06,14.88,14.98,14.8,14.9,1432000,3.63,ARA.MX
2000-01-07,15.0,15.8,15.0,15.72,5420000,3.83,ARA.MX
2000-01-10,16.08,16.22,16.08,16.18,1028000,3.95,ARA.MX
2000-01-11,16.12,16.12,15.74,15.74,4128000,3.84,ARA.MX
2000-01-12,15.7,15.7,15.4,15.64,784000,3.81,ARA.MX
2000-01-13,16.0,16.0,15.78,15.88,3440000,3.87,ARA.MX
2000-01-14,16.0,16.0,15.7,15.7,488000,3.83,ARA.MX
2000-01-17,16.0,16.0,15.74,15.76,104000,3.84,ARA.MX
2000-01-18,15.76,15.76,15.5,15.68,1236000,3.82,ARA.MX
2000-01-19,15.5,15.5,15.4,15.5,3268000,3.78,ARA.MX
2000-01-20,15.4,15.4,15.18,15.2,260000,3.71,ARA.MX
2000-01-21,15.18,15.18,15.02,15.02,18384000,3.66,ARA.MX
2000-01-24,15.14,15.24,15.1,15.1,20160000,3.68,ARA.MX
2000-01-25,15.0,15.0,14.5,14.5,180000,3.54,ARA.MX
2000-01-26,14.64,14.64,13.5,13.5,5476000,3.29,ARA.MX
2000-01-27,13.6,14.1,13.38,14.0,8336000,3.41,ARA.MX
2000-01-28,13.9,14.0,13.9,14.0,2824000,3.41,ARA.MX
2000-01-31,13.6,14.2,13.4,14.2,3920000,3.46,ARA.MX
2000-02-01,14.0,14.3,14.0,14.18,1832000,3.46,ARA.MX
2000-02-02,14.2,14.2,14.0,14.18,384000,3.46,ARA.MX
2000-02-03,14.4,14.5,14.2,14.22,2448000,3.47,ARA.MX
2000-02-04,14.22,14.22,13.94,14.0,4608000,3.41,ARA.MX
2000-02-07,14.0,14.0,13.88,14.0,3084000,3.41,ARA.MX
2000-02-08,14.14,14.4,13.9,14.0,4944000,3.41,ARA.MX
2000-02-09,14.0,14.1,13.96,14.0,704000,3.41,ARA.MX
2000-02-10,14.0,14.0,13.9,14.0,612000,3.41,ARA.MX
2000-02-11,14.0,14.0,13.96,13.96,640000,3.4,ARA.MX
2000-02-14,13.88,14.0,13.88,14.0,556000,3.41,ARA.MX
2000-02-15,14.0,14.14,13.8,13.98,1028000,3.41,ARA.MX
2000-02-16,13.98,14.84,13.98,14.4,8252000,3.51,ARA.MX
2000-02-17,14.8,15.3,14.7,14.9,2704000,3.63,ARA.MX
2000-02-18,15.4,15.4,14.2,14.48,1044000,3.53,ARA.MX
2000-02-21,14.44,14.44,14.1,14.44,340000,3.52,ARA.MX
2000-02-22,14.2,14.2,13.9,14.12,1588000,3.44,ARA.MX
2000-02-23,14.0,14.14,14.0,14.12,2432000,3.44,ARA.MX
2000-02-24,14.0,14.14,13.96,14.14,1772000,3.45,ARA.MX
2000-02-25,14.1,14.12,14.0,14.1,3784000,3.44,ARA.MX
2000-02-28,14.04,14.04,13.98,14.0,292000,3.41,ARA.MX
2000-02-29,13.98,14.1,13.98,14.1,120000,3.44,ARA.MX
2000-03-01,14.1,14.1,13.94,14.0,1084000,3.41,ARA.MX
2000-03-02,14.0,15.56,14.0,15.56,1156000,3.79,ARA.MX
2000-03-03,15.56,15.64,14.8,14.8,3804000,3.61,ARA.MX
2000-03-06,14.86,14.86,14.64,14.66,748000,3.57,ARA.MX
2000-03-07,14.58,15.32,14.46,14.5,5560000,3.54,ARA.MX
2000-03-08,14.56,15.2,14.56,14.98,3720000,3.65,ARA.MX
2000-03-09,15.0,15.0,14.82,14.98,2136000,3.65,ARA.MX
2000-03-10,14.76,15.0,14.76,15.0,552000,3.66,ARA.MX
2000-03-13,15.0,15.0,15.0,15.0,0,3.66,ARA.MX
2000-03-14,13.98,14.6,13.98,14.06,1840000,3.43,ARA.MX
2000-03-15,14.0,15.0,14.0,15.0,444000,3.66,ARA.MX
2000-03-16,15.0,15.0,14.84,15.0,576000,3.66,ARA.MX
2000-03-17,14.9,14.9,14.8,14.88,312000,3.63,ARA.MX
2000-03-20,14.9,14.9,14.9,14.9,364000,3.63,ARA.MX
2000-03-21,14.9,14.9,14.9,14.9,0,3.63,ARA.MX
2000-03-22,15.0,15.0,14.72,14.86,568000,3.62,ARA.MX
2000-03-23,14.76,14.88,14.76,14.84,996000,3.62,ARA.MX
2000-03-24,14.88,14.88,14.7,14.78,1464000,3.6,ARA.MX
2000-03-27,14.78,14.78,14.7,14.7,156000,3.58,ARA.MX
2000-03-28,14.7,14.7,14.3,14.5,1404000,3.54,ARA.MX
2000-03-29,14.48,14.48,14.1,14.1,980000,3.44,ARA.MX
2000-03-30,14.0,14.0,13.6,13.66,1100000,3.33,ARA.MX
2000-03-31,13.6,13.6,13.52,13.6,172000,3.32,ARA.MX
2000-04-03,13.56,13.56,13.56,13.56,52000,3.31,ARA.MX
2000-04-04,13.0,13.0,12.7,12.7,336000,3.1,ARA.MX
2000-04-05,12.5,12.6,12.18,12.4,4128000,3.02,ARA.MX
