Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-04,1.96,1.96,1.4,1.4,0,1.28,AUTLANB.MX
2000-01-05,1.94,1.94,1.4,1.4,0,1.28,AUTLANB.MX
2000-01-13,1.9,1.9,1.35,1.35,0,1.23,AUTLANB.MX
2000-01-18,1.88,1.88,1.5,1.5,0,1.37,AUTLANB.MX
2000-01-19,1.88,1.88,1.6,1.6,0,1.46,AUTLANB.MX
2000-01-20,1.88,1.88,1.6,1.6,0,1.46,AUTLANB.MX
2000-01-21,1.88,1.88,1.5,1.5,0,1.37,AUTLANB.MX
2000-01-26,1.89,1.89,1.5,1.5,0,1.37,AUTLANB.MX
2000-01-27,1.89,1.89,1.2,1.2,0,1.1,AUTLANB.MX
2000-01-31,1.9,1.9,1.2,1.2,0,1.1,AUTLANB.MX
2000-02-02,1.9,1.9,1.2,1.2,0,1.1,AUTLANB.MX
2000-02-04,1.89,1.89,1.21,1.21,0,1.11,AUTLANB.MX
2000-02-08,1.89,1.89,1.89,1.89,5000,1.73,AUTLANB.MX
2000-02-09,1.84,1.84,1.5,1.5,0,1.37,AUTLANB.MX
2000-02-10,1.8,1.8,1.5,1.5,0,1.37,AUTLANB.MX
2000-02-11,1.84,1.84,1.5,1.5,0,1.37,AUTLANB.MX
2000-02-14,1.84,1.84,1.55,1.55,0,1.42,AUTLANB.MX
2000-02-16,1.79,1.79,1.5,1.5,0,1.37,AUTLANB.MX
2000-02-17,1.79,1.79,1.5,1.5,0,1.37,AUTLANB.MX
2000-02-18,1.79,1.79,1.3,1.3,0,1.19,AUTLANB.MX
2000-02-21,1.79,1.79,1.2,1.2,0,1.1,AUTLANB.MX
2000-02-22,1.7,1.7,1.5,1.5,0,1.37,AUTLANB.MX
2000-02-23,1.66,1.66,1.5,1.5,0,1.37,AUTLANB.MX
2000-02-25,1.69,1.69,1.21,1.21,0,1.11,AUTLANB.MX
2000-02-29,1.89,1.89,1.51,1.51,0,1.38,AUTLANB.MX
2000-03-01,1.88,1.88,1.51,1.51,0,1.38,AUTLANB.MX
2000-03-02,1.85,1.85,1.51,1.51,0,1.38,AUTLANB.MX
2000-03-03,1.75,1.75,1.51,1.51,0,1.38,AUTLANB.MX
2000-03-06,1.79,1.79,1.2,1.2,0,1.1,AUTLANB.MX
2000-03-13,1.41,1.41,1.41,1.41,0,1.29,AUTLANB.MX
2000-03-14,1.3,1.3,1.2,1.2,0,1.1,AUTLANB.MX
2000-03-20,1.17,1.17,1.13,1.13,0,1.03,AUTLANB.MX
2000-03-21,1.13,1.13,1.13,1.13,0,1.03,AUTLANB.MX
2000-03-30,1.1,1.1,1.03,1.03,0,0.94,AUTLANB.MX
2000-04-03,1.1,1.1,1.03,1.03,0,0.94,AUTLANB.MX
2000-04-04,1.1,1.1,1.03,1.03,0,0.94,AUTLANB.MX
2000-04-11,1.3,1.3,1.24,1.24,0,1.13,AUTLANB.MX
2000-04-12,1.28,1.28,1.05,1.05,0,0.96,AUTLANB.MX
2000-04-13,1.3,1.3,1.05,1.05,0,0.96,AUTLANB.MX
2000-04-14,1.3,1.3,1.03,1.03,0,0.94,AUTLANB.MX
2000-04-18,1.29,1.29,1.05,1.05,0,0.96,AUTLANB.MX
2000-04-20,1.4,1.4,1.4,1.4,0,1.28,AUTLANB.MX
2000-04-21,1.4,1.4,1.4,1.4,0,1.28,AUTLANB.MX
2000-04-25,1.34,1.34,1.2,1.2,0,1.1,AUTLANB.MX
2000-04-26,1.34,1.34,1.2,1.2,0,1.1,AUTLANB.MX
2000-04-27,1.34,1.34,1.05,1.05,0,0.96,AUTLANB.MX
2000-04-28,1.36,1.36,1.01,1.01,0,0.92,AUTLANB.MX
