Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2005-12-07,24.87,25.14,24.81,24.99,44378100,8.33,AXTELCPO.MX
2005-12-08,25.02,25.5,25.02,25.47,24352200,8.49,AXTELCPO.MX
2005-12-09,25.5,25.89,25.5,25.77,19277100,8.59,AXTELCPO.MX
2005-12-12,25.77,25.77,25.77,25.77,0,8.59,AXTELCPO.MX
2005-12-13,25.8,25.8,25.59,25.71,19323000,8.57,AXTELCPO.MX
2005-12-14,25.74,25.74,25.5,25.5,21818700,8.5,AXTELCPO.MX
2005-12-15,25.5,25.8,25.5,25.77,31926600,8.59,AXTELCPO.MX
2005-12-16,25.77,25.8,25.68,25.8,17566200,8.6,AXTELCPO.MX
2005-12-19,25.5,25.8,25.5,25.74,420300,8.58,AXTELCPO.MX
2005-12-20,25.5,25.5,25.5,25.5,1890000,8.5,AXTELCPO.MX
2005-12-21,25.5,25.5,25.5,25.5,7651800,8.5,AXTELCPO.MX
2005-12-22,25.5,25.83,25.5,25.77,16842600,8.59,AXTELCPO.MX
2005-12-23,25.8,25.89,25.8,25.89,495000,8.63,AXTELCPO.MX
2005-12-26,25.86,25.89,25.86,25.86,0,8.62,AXTELCPO.MX
2005-12-27,25.59,25.89,25.59,25.59,0,8.53,AXTELCPO.MX
2005-12-28,25.8,25.92,25.74,25.89,5895900,8.63,AXTELCPO.MX
2005-12-29,25.92,26.01,25.92,26.01,3979800,8.67,AXTELCPO.MX
2005-12-30,25.74,27.3,25.74,27.3,4392900,9.1,AXTELCPO.MX
2006-01-02,27.21,27.21,27.09,27.09,94500,9.03,AXTELCPO.MX
2006-01-03,27.06,27.09,26.49,26.61,1727100,8.87,AXTELCPO.MX
2006-01-04,26.61,26.85,25.98,26.04,6642000,8.68,AXTELCPO.MX
2006-01-05,26.04,26.19,26.01,26.01,416700,8.67,AXTELCPO.MX
2006-01-06,26.01,26.01,25.83,25.83,300600,8.61,AXTELCPO.MX
2006-01-09,25.8,25.8,25.5,25.5,4212900,8.5,AXTELCPO.MX
2006-01-10,25.53,25.53,24.51,24.57,6652800,8.19,AXTELCPO.MX
2006-01-11,24.51,24.66,24.0,24.66,10888200,8.22,AXTELCPO.MX
2006-01-12,24.66,24.99,24.66,24.99,912600,8.33,AXTELCPO.MX
2006-01-13,24.51,25.95,24.51,25.71,10953900,8.57,AXTELCPO.MX
2006-01-16,24.99,25.71,24.99,25.71,1288800,8.57,AXTELCPO.MX
2006-01-17,25.5,26.01,25.5,26.01,18064800,8.67,AXTELCPO.MX
2006-01-18,25.5,25.71,25.5,25.71,9923400,8.57,AXTELCPO.MX
2006-01-19,25.98,26.19,25.98,26.1,39869100,8.7,AXTELCPO.MX
2006-01-20,26.1,26.34,26.01,26.25,12857400,8.75,AXTELCPO.MX
2006-01-23,26.25,26.49,26.25,26.49,4595400,8.83,AXTELCPO.MX
2006-01-24,26.49,26.49,26.4,26.4,702000,8.8,AXTELCPO.MX
2006-01-25,25.71,26.19,25.71,25.71,0,8.57,AXTELCPO.MX
2006-01-26,26.01,26.01,25.71,25.98,10880100,8.66,AXTELCPO.MX
2006-01-27,26.34,26.34,25.89,25.89,2206800,8.63,AXTELCPO.MX
2006-01-30,25.95,25.95,25.5,25.5,507600,8.5,AXTELCPO.MX
2006-01-31,25.5,26.49,25.26,25.56,5290200,8.52,AXTELCPO.MX
2006-02-01,25.5,25.5,25.5,25.5,5223600,8.5,AXTELCPO.MX
2006-02-02,25.5,25.5,25.41,25.5,1317600,8.5,AXTELCPO.MX
2006-02-03,24.99,24.99,24.99,24.99,1071000,8.33,AXTELCPO.MX
2006-02-06,24.99,24.99,24.99,24.99,0,8.33,AXTELCPO.MX
2006-02-07,24.99,24.99,24.99,24.99,4846500,8.33,AXTELCPO.MX
2006-02-08,24.99,24.99,24.9,24.99,1263600,8.33,AXTELCPO.MX
2006-02-09,24.9,24.99,24.9,24.99,11410200,8.33,AXTELCPO.MX
2006-02-10,24.99,24.99,24.78,24.99,9948600,8.33,AXTELCPO.MX
2006-02-13,24.99,25.02,24.99,24.99,8837100,8.33,AXTELCPO.MX
2006-02-14,24.51,24.99,24.51,24.9,225000,8.3,AXTELCPO.MX
2006-02-15,24.51,25.5,24.51,24.51,0,8.17,AXTELCPO.MX
2006-02-16,24.87,24.9,24.0,24.06,14718600,8.02,AXTELCPO.MX
2006-02-17,24.0,24.06,24.0,24.0,2982600,8.0,AXTELCPO.MX
2006-02-20,24.0,24.0,24.0,24.0,1751400,8.0,AXTELCPO.MX
2006-02-21,24.0,24.39,24.0,24.21,3216600,8.07,AXTELCPO.MX
2006-02-22,24.51,25.2,24.51,25.2,9895500,8.4,AXTELCPO.MX
2006-02-23,25.29,25.41,25.2,25.29,3923100,8.43,AXTELCPO.MX
2006-02-24,25.26,25.29,25.26,25.29,2523600,8.43,AXTELCPO.MX
2006-02-27,25.29,25.29,25.29,25.29,900,8.43,AXTELCPO.MX
2006-02-28,25.2,25.2,24.99,25.02,2588400,8.34,AXTELCPO.MX
2006-03-01,24.99,25.05,24.99,25.05,6783300,8.35,AXTELCPO.MX
2006-03-02,24.99,25.2,24.9,25.2,4308300,8.4,AXTELCPO.MX
2006-03-03,25.11,26.31,25.11,26.31,7822800,8.77,AXTELCPO.MX
2006-03-06,25.95,25.95,25.74,25.74,1523700,8.58,AXTELCPO.MX
2006-03-07,25.5,25.5,24.51,24.51,1860300,8.17,AXTELCPO.MX
2006-03-08,24.51,24.51,24.0,24.0,4920300,8.0,AXTELCPO.MX
2006-03-09,24.0,24.06,24.0,24.06,360900,8.02,AXTELCPO.MX
2006-03-10,24.51,24.99,24.51,24.81,681300,8.27,AXTELCPO.MX
2006-03-13,24.96,24.96,24.39,24.45,159300,8.15,AXTELCPO.MX
2006-03-14,24.51,24.99,24.51,24.99,693000,8.33,AXTELCPO.MX
2006-03-15,25.11,26.01,25.11,26.01,7769700,8.67,AXTELCPO.MX
2006-03-16,26.01,26.49,26.01,26.49,6887700,8.83,AXTELCPO.MX
2006-03-17,26.49,26.52,26.49,26.52,339300,8.84,AXTELCPO.MX
2006-03-20,26.49,26.52,26.49,26.49,7971300,8.83,AXTELCPO.MX
2006-03-21,26.49,26.49,26.49,26.49,0,8.83,AXTELCPO.MX
2006-03-22,26.61,26.61,26.46,26.46,279900,8.82,AXTELCPO.MX
2006-03-23,26.4,26.4,26.1,26.1,1417500,8.7,AXTELCPO.MX
2006-03-24,26.49,26.49,26.4,26.4,3330000,8.8,AXTELCPO.MX
2006-03-27,26.4,26.4,26.01,26.4,3872700,8.8,AXTELCPO.MX
2006-03-28,26.4,26.4,25.98,26.01,4931100,8.67,AXTELCPO.MX
2006-03-29,26.01,26.01,25.95,26.01,861300,8.67,AXTELCPO.MX
2006-03-30,25.74,25.74,24.99,24.99,1817100,8.33,AXTELCPO.MX
2006-03-31,25.11,26.49,24.99,26.34,20690100,8.78,AXTELCPO.MX
2006-04-03,26.34,26.34,25.11,25.77,630900,8.59,AXTELCPO.MX
2006-04-04,25.98,25.98,25.11,25.8,10391400,8.6,AXTELCPO.MX
2006-04-05,25.2,25.74,25.2,25.74,450900,8.58,AXTELCPO.MX
2006-04-06,25.5,25.5,25.23,25.29,10589400,8.43,AXTELCPO.MX
2006-04-07,25.29,25.29,25.29,25.29,181800,8.43,AXTELCPO.MX
2006-04-10,25.41,25.41,24.99,24.99,8177400,8.33,AXTELCPO.MX
2006-04-11,24.99,24.99,24.96,24.96,4254300,8.32,AXTELCPO.MX
2006-04-12,26.25,26.25,24.99,24.99,2856600,8.33,AXTELCPO.MX
2006-04-13,24.99,24.99,24.99,24.99,0,8.33,AXTELCPO.MX
2006-04-14,24.99,24.99,24.99,24.99,0,8.33,AXTELCPO.MX
