Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2005-08-22,184.0,184.0,183.83,183.84,1212300,180.87,BBVA.MX
2005-08-23,183.34,183.48,183.01,183.4,1964600,180.43,BBVA.MX
2005-08-24,185.0,185.0,185.0,185.0,3571800,182.01,BBVA.MX
2005-08-25,185.0,195.0,183.0,195.0,12400,191.85,BBVA.MX
2005-08-26,190.0,190.0,182.0,182.0,553200,179.06,BBVA.MX
2005-08-29,182.0,182.0,181.0,181.0,279500,178.07,BBVA.MX
2005-08-30,182.0,182.0,180.5,180.74,403900,177.82,BBVA.MX
2005-08-31,186.0,186.0,179.74,180.5,156400,177.58,BBVA.MX
2005-09-01,182.0,183.2,182.0,183.2,31000,180.24,BBVA.MX
2005-09-02,183.05,183.05,183.05,183.05,1000,180.09,BBVA.MX
2005-09-05,183.9,184.3,183.9,184.3,14300,181.32,BBVA.MX
2005-09-06,185.0,186.1,185.0,186.0,38300,182.99,BBVA.MX
2005-09-07,185.8,186.7,185.8,186.7,80500,183.68,BBVA.MX
2005-09-08,186.19,187.0,186.19,187.0,36200,183.98,BBVA.MX
2005-09-09,187.0,188.1,187.0,187.9,47200,184.86,BBVA.MX
2005-09-12,188.0,188.0,185.5,185.5,5200,182.5,BBVA.MX
2005-09-13,184.2,184.8,184.2,184.8,31700,181.81,BBVA.MX
2005-09-14,185.5,185.7,185.5,185.7,16100,182.7,BBVA.MX
2005-09-15,185.0,185.0,183.18,183.18,10000,180.22,BBVA.MX
2005-09-19,184.7,184.7,184.69,184.69,400,181.7,BBVA.MX
2005-09-20,183.6,183.9,181.39,183.78,37100,180.81,BBVA.MX
2005-09-21,182.0,182.2,182.0,182.2,10800,179.25,BBVA.MX
2005-09-22,182.0,182.6,182.0,182.6,35500,179.65,BBVA.MX
2005-09-23,182.6,182.6,182.6,182.6,200,179.65,BBVA.MX
2005-09-26,186.5,186.6,186.5,186.5,23700,183.48,BBVA.MX
2005-09-27,186.0,186.51,186.0,186.1,342600,183.09,BBVA.MX
2005-09-28,188.1,189.0,187.37,188.4,197000,185.35,BBVA.MX
2005-09-29,188.0,188.3,187.32,188.07,20500,185.03,BBVA.MX
2005-09-30,188.5,189.0,187.23,189.0,21000,185.94,BBVA.MX
2005-10-03,188.0,188.3,188.0,188.0,39300,184.96,BBVA.MX
2005-10-04,188.01,188.49,188.0,188.4,419800,185.35,BBVA.MX
2005-10-05,187.68,187.68,185.5,187.28,3200,184.25,BBVA.MX
2005-10-06,186.5,186.5,186.5,186.5,271900,183.48,BBVA.MX
2005-10-07,186.5,186.5,186.5,186.5,1000,183.48,BBVA.MX
2005-10-10,185.52,185.52,185.52,185.52,100,182.52,BBVA.MX
2005-10-11,185.09,185.21,185.0,185.0,194600,182.01,BBVA.MX
2005-10-12,188.0,188.0,186.07,186.07,0,183.06,BBVA.MX
2005-10-13,184.96,184.96,184.96,184.96,300,181.97,BBVA.MX
2005-10-14,187.0,187.56,187.0,187.56,21900,184.53,BBVA.MX
2005-10-17,187.25,187.25,187.25,187.25,200,184.22,BBVA.MX
2005-10-18,185.6,185.6,184.0,184.0,0,181.02,BBVA.MX
2005-10-19,183.72,185.5,183.72,185.5,11200,182.5,BBVA.MX
2005-10-20,185.5,185.5,181.23,181.23,0,178.3,BBVA.MX
2005-10-21,183.5,183.5,183.5,183.5,500,180.53,BBVA.MX
2005-10-24,186.03,186.03,186.03,186.03,100,183.02,BBVA.MX
2005-10-25,187.49,189.0,187.49,188.0,34300,184.96,BBVA.MX
2005-10-26,190.0,192.0,189.19,191.99,117600,188.89,BBVA.MX
2005-10-27,190.9,190.9,187.66,187.66,0,184.63,BBVA.MX
2005-10-28,186.56,186.56,186.56,186.56,2400,183.54,BBVA.MX
2005-10-31,188.77,189.41,188.77,189.41,6200,186.35,BBVA.MX
2005-11-01,190.5,190.5,188.51,188.51,0,185.46,BBVA.MX
2005-11-02,190.0,191.0,190.0,191.0,13600,187.91,BBVA.MX
2005-11-03,191.0,191.02,191.0,191.0,114600,187.91,BBVA.MX
2005-11-04,185.24,185.24,185.24,185.24,300,182.24,BBVA.MX
2005-11-07,190.0,190.0,166.66,166.66,0,163.97,BBVA.MX
2005-11-08,185.34,185.34,185.34,185.34,600,182.34,BBVA.MX
2005-11-09,185.71,185.71,184.84,184.84,900,181.85,BBVA.MX
2005-11-10,186.98,186.98,186.98,186.98,2800,183.96,BBVA.MX
2005-11-11,186.98,186.98,186.98,186.98,300,183.96,BBVA.MX
2005-11-18,186.4,186.4,186.4,186.4,9600,183.39,BBVA.MX
2005-11-21,187.0,187.0,187.0,187.0,30200,183.98,BBVA.MX
2005-11-22,189.0,189.0,166.66,166.66,0,163.97,BBVA.MX
2005-11-23,188.52,189.02,188.52,189.0,12900,185.94,BBVA.MX
2005-11-24,189.0,189.0,189.0,189.0,4700,185.94,BBVA.MX
2005-11-25,189.0,189.0,188.6,189.0,74800,185.94,BBVA.MX
2005-11-28,188.99,189.92,188.99,189.82,53400,186.75,BBVA.MX
2005-11-29,188.6,189.0,188.48,188.96,3200,185.9,BBVA.MX
2005-11-30,185.47,185.47,185.47,185.47,200,182.47,BBVA.MX
2005-12-01,186.27,186.27,186.27,186.27,500,183.26,BBVA.MX
2005-12-02,186.0,186.0,186.0,186.0,2500,182.99,BBVA.MX
2005-12-05,181.79,181.79,181.79,181.79,100,178.85,BBVA.MX
2005-12-06,181.0,181.0,180.51,180.7,34600,177.78,BBVA.MX
2005-12-07,179.95,179.95,179.95,179.95,1500,177.04,BBVA.MX
2005-12-08,189.96,189.96,180.0,180.0,0,177.09,BBVA.MX
2005-12-09,185.0,186.2,184.47,186.2,79700,183.19,BBVA.MX
2005-12-13,186.5,187.26,186.5,187.26,3200,184.23,BBVA.MX
2005-12-14,189.27,190.3,189.0,189.99,41900,186.92,BBVA.MX
2005-12-15,190.0,190.0,190.0,190.0,22000,186.93,BBVA.MX
2005-12-16,189.48,192.2,189.48,190.0,90600,186.93,BBVA.MX
2005-12-19,190.0,191.5,190.0,191.5,5600,188.4,BBVA.MX
2005-12-20,187.29,189.43,187.29,189.43,7400,186.37,BBVA.MX
2005-12-21,190.0,190.0,187.16,187.16,0,184.13,BBVA.MX
2005-12-22,189.0,189.2,189.0,189.2,34600,186.14,BBVA.MX
2005-12-23,189.4,191.0,189.4,191.0,3100,187.91,BBVA.MX
2005-12-26,190.99,190.99,190.99,190.99,0,187.9,BBVA.MX
2005-12-27,190.99,192.92,190.99,192.92,17300,189.8,BBVA.MX
2005-12-28,193.0,193.0,193.0,193.0,14200,189.88,BBVA.MX
2005-12-29,193.0,193.0,189.22,189.22,0,186.16,BBVA.MX
2005-12-30,193.0,193.0,188.64,188.64,0,185.59,BBVA.MX
2006-01-02,193.0,193.0,187.0,187.0,0,183.98,BBVA.MX
2006-01-03,193.0,195.23,193.0,195.23,10500,192.07,BBVA.MX
2006-01-04,196.0,197.71,196.0,196.03,19500,192.86,BBVA.MX
2006-01-05,197.95,197.95,197.95,197.95,10800,194.75,BBVA.MX
2006-01-06,197.95,199.5,197.95,199.5,2100,196.27,BBVA.MX
2006-01-09,199.0,199.0,195.8,195.8,0,192.63,BBVA.MX
2006-01-10,199.0,199.0,194.41,194.41,0,191.27,BBVA.MX
2006-01-11,197.3,197.6,197.3,197.6,3300,194.4,BBVA.MX
2006-01-12,197.6,197.6,194.98,196.5,1800,193.32,BBVA.MX
2006-01-13,196.0,196.53,196.0,196.53,3900,193.35,BBVA.MX
2006-01-16,198.0,198.0,198.0,198.0,0,194.8,BBVA.MX
2006-01-17,198.0,198.0,196.53,196.53,0,193.35,BBVA.MX
2006-01-18,193.98,193.98,191.03,191.03,1400,187.94,BBVA.MX
2006-01-19,195.0,195.69,193.56,195.69,23400,192.53,BBVA.MX
2006-01-20,191.93,191.93,191.92,191.92,1600,188.82,BBVA.MX
2006-01-23,194.18,194.5,194.18,194.5,9100,191.36,BBVA.MX
2006-01-24,195.0,195.0,195.0,195.0,1400,191.85,BBVA.MX
2006-01-25,196.0,199.99,196.0,199.4,35000,196.18,BBVA.MX
2006-01-26,202.0,205.5,202.0,204.19,34900,200.89,BBVA.MX
2006-01-27,207.0,207.0,205.0,205.0,23500,201.69,BBVA.MX
2006-01-30,205.59,207.0,205.59,207.0,300,203.65,BBVA.MX
2006-01-31,211.3,211.88,211.3,211.88,13100,208.45,BBVA.MX
2006-02-01,212.0,212.0,211.26,211.26,20500,207.84,BBVA.MX
2006-02-02,209.25,211.8,209.0,211.8,15600,208.38,BBVA.MX
2006-02-03,209.0,209.0,206.47,206.47,14600,203.13,BBVA.MX
2006-02-07,204.73,204.73,204.73,204.73,1500,201.42,BBVA.MX
2006-02-08,212.0,212.0,206.5,206.5,0,203.16,BBVA.MX
2006-02-09,208.0,210.75,208.0,210.65,52200,207.24,BBVA.MX
2006-02-10,207.5,209.42,207.5,209.4,18400,206.01,BBVA.MX
2006-02-13,207.52,207.59,207.5,207.54,1300,204.18,BBVA.MX
2006-02-14,207.54,210.11,207.48,210.08,10300,206.68,BBVA.MX
2006-02-15,208.17,208.49,207.48,208.49,57900,205.12,BBVA.MX
2006-02-16,208.2,208.2,207.98,207.98,1100,204.62,BBVA.MX
2006-02-17,208.0,208.0,207.48,207.48,2600,204.13,BBVA.MX
2006-02-20,207.02,207.02,206.5,206.5,1500,203.16,BBVA.MX
2006-02-21,207.0,209.0,207.0,209.0,16200,205.62,BBVA.MX
2006-02-22,210.07,212.0,210.07,212.0,11600,208.57,BBVA.MX
2006-02-23,213.52,215.2,213.52,214.5,4900,211.03,BBVA.MX
2006-02-24,214.89,214.89,214.79,214.89,6300,211.42,BBVA.MX
2006-02-27,214.89,215.5,214.89,215.5,10800,212.02,BBVA.MX
2006-02-28,213.0,213.0,213.0,213.0,3000,209.56,BBVA.MX
2006-03-01,216.87,216.87,214.3,214.3,0,210.83,BBVA.MX
2006-03-02,216.46,216.46,215.0,215.0,0,211.52,BBVA.MX
2006-03-03,214.0,214.0,213.5,213.5,8700,210.05,BBVA.MX
2006-03-06,214.0,214.0,213.75,213.75,6800,210.29,BBVA.MX
2006-03-07,213.2,213.2,213.2,213.2,8600,209.75,BBVA.MX
2006-03-08,215.87,215.87,213.8,213.8,0,210.34,BBVA.MX
2006-03-09,215.0,216.98,215.0,216.98,1600,213.47,BBVA.MX
2006-03-10,216.3,217.94,216.3,217.94,7000,214.42,BBVA.MX
2006-03-13,217.94,217.94,217.94,217.94,13900,214.42,BBVA.MX
2006-03-14,217.21,217.65,217.21,217.65,700,214.13,BBVA.MX
2006-03-15,218.81,220.0,218.72,220.0,9700,216.44,BBVA.MX
2006-03-16,219.5,220.0,218.99,220.0,34700,216.44,BBVA.MX
2006-03-17,221.54,223.0,221.53,223.0,30600,219.39,BBVA.MX
2006-03-20,223.07,224.0,223.07,224.0,22200,220.38,BBVA.MX
2006-03-22,223.99,223.99,221.68,221.68,0,218.1,BBVA.MX
2006-03-23,219.5,221.32,219.5,221.32,4000,217.74,BBVA.MX
2006-03-24,222.19,222.2,222.19,222.2,43900,218.61,BBVA.MX
2006-03-27,222.2,222.2,222.2,222.2,400,218.61,BBVA.MX
2006-03-28,222.2,225.0,222.2,223.01,12200,219.4,BBVA.MX
2006-03-29,221.7,224.7,221.7,224.7,24300,221.07,BBVA.MX
2006-03-30,224.4,226.0,224.4,225.28,436300,221.64,BBVA.MX
2006-03-31,226.2,227.0,225.92,226.0,26000,222.35,BBVA.MX
2006-04-03,230.08,230.08,226.34,226.34,1300,222.68,BBVA.MX
2006-04-04,229.3,232.0,229.3,232.0,14800,228.25,BBVA.MX
2006-04-05,233.2,237.2,233.2,237.2,6800,233.36,BBVA.MX
2006-04-06,235.88,235.88,235.85,235.85,0,232.04,BBVA.MX
2006-04-07,235.85,235.85,227.89,230.31,4300,226.59,BBVA.MX
2006-04-10,230.12,230.12,230.12,230.12,0,226.4,BBVA.MX
2006-04-11,230.12,230.12,226.0,226.0,5000,222.35,BBVA.MX
2006-04-12,225.26,225.26,223.9,224.62,2700,220.99,BBVA.MX
2006-04-17,226.3,227.0,226.3,227.0,1200,223.33,BBVA.MX
2006-04-18,226.9,227.0,225.0,227.0,29400,223.33,BBVA.MX
2006-04-19,235.0,235.0,229.5,229.5,0,225.79,BBVA.MX
2006-04-20,229.0,230.5,229.0,230.0,135000,226.28,BBVA.MX
2006-04-21,235.0,235.5,235.0,235.1,69600,231.3,BBVA.MX
2006-04-24,236.0,236.0,235.7,235.7,3300,231.89,BBVA.MX
2006-04-25,239.0,240.0,239.0,240.0,25100,236.12,BBVA.MX
2006-04-26,239.86,243.0,239.0,243.0,145700,239.07,BBVA.MX
2006-04-27,242.1,245.0,241.09,244.0,85200,240.05,BBVA.MX
2006-04-28,242.83,247.55,242.0,245.0,6100,241.04,BBVA.MX
2006-05-02,245.0,245.31,245.0,245.31,2800,241.34,BBVA.MX
2006-05-03,242.63,242.65,242.63,242.65,5000,238.73,BBVA.MX
2006-05-04,240.0,241.4,240.0,241.0,306700,237.1,BBVA.MX
2006-05-05,243.2,245.58,243.0,245.58,14500,241.61,BBVA.MX
2006-05-08,245.56,247.0,245.43,245.56,370200,241.59,BBVA.MX
2006-05-09,244.5,245.0,244.0,244.0,351100,240.05,BBVA.MX
2006-05-10,244.03,245.0,244.03,245.0,11600,241.04,BBVA.MX
2006-05-11,245.0,246.0,245.0,245.9,21400,241.92,BBVA.MX
2006-05-12,245.01,245.01,243.97,244.8,14400,240.84,BBVA.MX
2006-05-15,244.0,244.0,242.0,242.0,19900,238.09,BBVA.MX
2006-05-16,241.0,241.0,239.98,240.0,50100,236.12,BBVA.MX
2006-05-17,239.0,239.68,235.5,235.5,111400,231.69,BBVA.MX
2006-05-18,235.5,235.5,235.0,235.0,23600,231.2,BBVA.MX
2006-05-19,234.99,235.2,234.98,235.0,60100,231.2,BBVA.MX
2006-05-22,234.99,234.99,232.55,232.55,14900,228.79,BBVA.MX
2006-05-23,234.01,234.01,233.0,233.65,4600,229.87,BBVA.MX
2006-05-24,233.0,233.0,232.0,232.0,56300,228.25,BBVA.MX
2006-05-25,231.0,231.0,231.0,231.0,5000,227.26,BBVA.MX
2006-05-26,230.47,230.47,230.47,230.47,1200,226.74,BBVA.MX
2006-05-29,227.27,227.27,227.27,227.27,0,223.6,BBVA.MX
2006-05-30,227.27,230.63,227.27,230.63,1200,226.9,BBVA.MX
2006-05-31,237.76,237.76,234.41,234.41,0,230.62,BBVA.MX
2006-06-01,247.12,247.12,236.0,236.0,0,232.18,BBVA.MX
2006-06-02,239.0,239.5,239.0,239.5,3000,235.63,BBVA.MX
2006-06-05,239.01,239.01,233.8,233.8,7300,230.02,BBVA.MX
