Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,21.4,21.8,20.1,20.1,984000,4.69,BIMBOA.MX
2000-01-04,19.5,19.5,19.18,19.2,1396000,4.48,BIMBOA.MX
2000-01-05,18.8,19.5,18.6,19.5,1272000,4.55,BIMBOA.MX
2000-01-06,19.4,19.4,18.7,18.72,1744000,4.37,BIMBOA.MX
2000-01-07,18.8,19.34,18.76,19.0,8824000,4.44,BIMBOA.MX
2000-01-10,19.5,19.9,19.2,19.5,1560000,4.55,BIMBOA.MX
2000-01-11,19.4,19.52,18.5,18.58,5384000,4.34,BIMBOA.MX
2000-01-12,18.4,18.62,18.4,18.5,4588000,4.32,BIMBOA.MX
2000-01-13,18.6,19.1,18.6,18.98,2332000,4.43,BIMBOA.MX
2000-01-14,19.1,19.1,18.6,18.6,1528000,4.34,BIMBOA.MX
2000-01-17,18.6,18.9,18.6,18.76,304000,4.38,BIMBOA.MX
2000-01-18,18.7,18.7,18.0,18.0,5944000,4.2,BIMBOA.MX
2000-01-19,18.1,18.2,17.5,17.6,4468000,4.11,BIMBOA.MX
2000-01-20,17.7,17.72,17.28,17.5,10044000,4.09,BIMBOA.MX
2000-01-21,17.5,17.5,16.96,17.0,2992000,3.97,BIMBOA.MX
2000-01-24,17.2,17.48,16.7,16.98,1360000,3.96,BIMBOA.MX
2000-01-25,17.0,17.0,16.8,16.98,2940000,3.96,BIMBOA.MX
2000-01-26,17.0,17.3,16.98,17.28,7020000,4.03,BIMBOA.MX
2000-01-27,17.24,17.5,17.0,17.0,6368000,3.97,BIMBOA.MX
2000-01-28,17.0,17.0,16.6,16.9,4240000,3.95,BIMBOA.MX
2000-01-31,16.7,16.7,15.98,16.12,2976000,3.76,BIMBOA.MX
2000-02-01,16.1,16.4,15.66,15.68,4540000,3.66,BIMBOA.MX
2000-02-02,15.66,16.1,15.2,15.8,9968000,3.69,BIMBOA.MX
2000-02-03,16.1,16.5,15.78,16.0,5388000,3.74,BIMBOA.MX
2000-02-04,16.04,16.32,15.5,15.5,3804000,3.62,BIMBOA.MX
2000-02-07,15.5,15.7,14.92,15.0,5348000,3.5,BIMBOA.MX
2000-02-08,15.4,15.98,15.06,15.9,7968000,3.71,BIMBOA.MX
2000-02-09,15.78,16.5,15.78,16.36,9076000,3.82,BIMBOA.MX
2000-02-10,16.36,16.56,16.0,16.0,5960000,3.74,BIMBOA.MX
2000-02-11,16.0,16.0,15.4,15.48,8332000,3.61,BIMBOA.MX
2000-02-14,15.46,15.6,15.0,15.0,5472000,3.5,BIMBOA.MX
2000-02-15,15.0,15.58,15.0,15.2,5976000,3.55,BIMBOA.MX
2000-02-16,15.3,15.4,15.0,15.16,4312000,3.54,BIMBOA.MX
2000-02-17,15.0,15.3,14.8,14.96,8492000,3.49,BIMBOA.MX
2000-02-18,14.9,14.96,14.8,14.86,3908000,3.47,BIMBOA.MX
