Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,39.1,41.0,38.4,38.9,91600,38.9,DINEB.MX
2000-01-04,37.8,37.8,35.1,35.4,171200,35.4,DINEB.MX
2000-01-05,35.0,36.0,33.5,36.0,320800,36.0,DINEB.MX
2000-01-06,35.5,36.4,35.0,35.1,429400,35.1,DINEB.MX
2000-01-07,35.2,37.4,35.1,37.4,492200,37.4,DINEB.MX
2000-01-10,37.9,38.5,36.2,38.3,183400,38.3,DINEB.MX
2000-01-11,38.2,38.2,36.8,37.3,754000,37.3,DINEB.MX
2000-01-12,37.4,37.8,36.7,37.8,342000,37.8,DINEB.MX
2000-01-13,38.5,39.7,38.1,38.5,693200,38.5,DINEB.MX
2000-01-14,39.2,39.7,38.8,39.5,952000,39.5,DINEB.MX
2000-01-17,39.7,40.0,39.5,40.0,101200,40.0,DINEB.MX
2000-01-18,40.0,40.0,39.0,39.3,1034000,39.3,DINEB.MX
2000-01-19,39.0,39.5,38.5,38.5,112200,38.5,DINEB.MX
2000-01-20,39.0,39.0,37.5,37.5,266000,37.5,DINEB.MX
2000-01-21,37.7,38.5,37.0,37.2,215000,37.2,DINEB.MX
2000-01-24,37.5,37.5,35.5,35.5,561800,35.5,DINEB.MX
2000-01-25,36.2,37.5,36.1,37.5,303600,37.5,DINEB.MX
2000-01-26,38.5,38.5,37.4,37.5,632200,37.5,DINEB.MX
2000-01-27,37.9,38.0,36.8,37.0,106200,37.0,DINEB.MX
2000-01-28,36.5,37.0,36.1,36.6,377600,36.6,DINEB.MX
2000-01-31,36.4,36.6,36.2,36.4,273600,36.4,DINEB.MX
2000-02-01,36.5,36.8,36.0,36.5,1110600,36.5,DINEB.MX
2000-02-02,36.4,36.5,36.0,36.1,213800,36.1,DINEB.MX
2000-02-03,36.4,36.9,35.6,36.1,363000,36.1,DINEB.MX
2000-02-04,36.4,36.6,35.5,35.7,195200,35.7,DINEB.MX
2000-02-07,35.8,35.9,34.0,34.0,216600,34.0,DINEB.MX
2000-02-08,35.0,35.0,33.5,33.7,468600,33.7,DINEB.MX
2000-02-09,33.7,34.0,33.0,33.0,337400,33.0,DINEB.MX
2000-02-10,34.0,34.0,32.9,33.1,374400,33.1,DINEB.MX
2000-02-11,33.0,33.6,32.5,33.0,833400,33.0,DINEB.MX
2000-02-14,33.0,33.0,32.0,33.0,145600,33.0,DINEB.MX
2000-02-15,32.0,32.7,31.0,31.6,151600,31.6,DINEB.MX
2000-02-16,32.0,32.3,31.0,31.4,180600,31.4,DINEB.MX
2000-02-17,31.6,32.0,31.4,31.7,71400,31.7,DINEB.MX
2000-02-18,31.7,31.7,31.1,31.1,76400,31.1,DINEB.MX
2000-02-21,31.2,31.3,31.1,31.2,101600,31.2,DINEB.MX
2000-02-22,31.3,31.4,31.0,31.2,184000,31.2,DINEB.MX
2000-02-23,31.5,31.5,31.1,31.3,289200,31.3,DINEB.MX
2000-02-24,31.2,31.2,30.8,30.8,223000,30.8,DINEB.MX
2000-02-25,31.1,31.3,30.8,30.8,141400,30.8,DINEB.MX
2000-02-28,31.0,31.0,30.1,30.1,37000,30.1,DINEB.MX
2000-02-29,30.1,31.0,29.9,31.0,125000,31.0,DINEB.MX
2000-03-01,30.5,30.5,29.5,29.8,655200,29.8,DINEB.MX
2000-03-02,30.0,32.0,29.9,31.7,338600,31.7,DINEB.MX
2000-03-03,32.0,32.8,31.2,31.3,226200,31.3,DINEB.MX
2000-03-06,31.3,32.7,31.3,31.7,170600,31.7,DINEB.MX
2000-03-07,31.8,34.0,31.3,32.5,507400,32.5,DINEB.MX
2000-03-08,32.8,35.1,32.5,34.5,613800,34.5,DINEB.MX
2000-03-09,34.8,38.2,34.8,36.6,1479000,36.6,DINEB.MX
2000-03-10,36.5,36.9,36.0,36.0,106600,36.0,DINEB.MX
2000-03-13,36.0,36.0,36.0,36.0,0,36.0,DINEB.MX
2000-03-14,36.3,36.8,36.0,36.0,488800,36.0,DINEB.MX
2000-03-15,36.0,38.5,36.0,38.5,534600,38.5,DINEB.MX
2000-03-16,38.7,39.5,38.7,39.3,418000,39.3,DINEB.MX
2000-03-17,39.3,40.0,38.7,38.8,410200,38.8,DINEB.MX
2000-03-20,38.9,39.0,38.9,39.0,4200,39.0,DINEB.MX
2000-03-21,39.0,39.0,39.0,39.0,0,39.0,DINEB.MX
2000-03-22,39.0,39.0,37.5,37.5,5800,37.5,DINEB.MX
2000-03-23,37.3,37.5,36.0,37.0,602600,37.0,DINEB.MX
2000-03-24,37.1,37.1,36.3,36.3,2033800,36.3,DINEB.MX
2000-03-27,36.3,37.0,36.3,37.0,21800,37.0,DINEB.MX
2000-03-28,36.5,36.6,35.5,35.5,70200,35.5,DINEB.MX
2000-03-29,35.0,35.5,34.1,35.0,210200,35.0,DINEB.MX
2000-03-30,35.1,35.3,34.0,35.3,152400,35.3,DINEB.MX
2000-03-31,35.1,35.1,33.5,33.9,102800,33.9,DINEB.MX
2000-04-03,33.6,34.4,33.0,34.4,239200,34.4,DINEB.MX
2000-04-04,34.2,34.2,32.5,32.8,152600,32.8,DINEB.MX
2000-04-05,33.3,34.0,32.7,33.7,201800,33.7,DINEB.MX
2000-04-06,34.0,34.0,33.5,33.8,188600,33.8,DINEB.MX
2000-04-07,33.8,34.1,33.5,33.6,155200,33.6,DINEB.MX
2000-04-10,33.5,33.5,33.0,33.0,7800,33.0,DINEB.MX
2000-04-11,33.0,34.0,33.0,33.9,73000,33.9,DINEB.MX
2000-04-12,33.9,34.7,33.9,34.7,1096400,34.7,DINEB.MX
2000-04-13,34.2,34.3,33.8,34.1,96800,34.1,DINEB.MX
2000-04-14,34.1,34.1,32.4,32.6,181000,32.6,DINEB.MX
2000-04-17,32.6,32.7,30.0,31.5,133200,31.5,DINEB.MX
2000-04-18,32.0,32.7,31.5,32.1,208000,32.1,DINEB.MX
2000-04-19,31.5,31.5,31.0,31.0,23800,31.0,DINEB.MX
2000-04-20,31.0,31.0,31.0,31.0,0,31.0,DINEB.MX
2000-04-21,31.0,31.0,31.0,31.0,0,31.0,DINEB.MX
2000-04-24,31.0,31.0,31.0,31.0,9400,31.0,DINEB.MX
2000-04-25,31.0,32.0,31.0,32.0,11000,32.0,DINEB.MX
2000-04-26,32.0,33.6,32.0,33.2,242200,33.2,DINEB.MX
2000-04-27,33.0,34.5,33.0,34.5,171400,34.5,DINEB.MX
2000-04-28,33.1,33.3,33.1,33.2,20000,33.2,DINEB.MX
