Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-04,2.68,2.68,1.9,1.9,0,1.9,EDOARDOB.MX
2000-01-05,2.61,2.61,1.9,1.9,0,1.9,EDOARDOB.MX
2000-01-07,2.64,2.64,2.4,2.4,0,2.4,EDOARDOB.MX
2000-01-11,2.7,2.7,2.24,2.24,0,2.24,EDOARDOB.MX
2000-01-12,2.4,2.4,2.24,2.24,0,2.24,EDOARDOB.MX
2000-01-13,2.4,2.4,2.24,2.24,0,2.24,EDOARDOB.MX
2000-01-14,2.38,2.38,2.3,2.3,0,2.3,EDOARDOB.MX
2000-01-19,2.4,2.4,2.21,2.21,0,2.21,EDOARDOB.MX
2000-01-20,2.4,2.4,2.2,2.2,0,2.2,EDOARDOB.MX
2000-01-25,2.4,2.4,2.15,2.15,0,2.15,EDOARDOB.MX
2000-01-26,2.4,2.4,2.16,2.16,0,2.16,EDOARDOB.MX
2000-01-27,2.38,2.38,2.16,2.16,0,2.16,EDOARDOB.MX
2000-01-28,2.38,2.38,2.16,2.16,0,2.16,EDOARDOB.MX
2000-02-03,2.18,2.18,2.11,2.11,0,2.11,EDOARDOB.MX
2000-02-10,2.15,2.15,2.1,2.1,0,2.1,EDOARDOB.MX
2000-02-14,2.1,2.1,2.01,2.01,0,2.01,EDOARDOB.MX
2000-03-06,2.08,2.08,1.75,1.75,0,1.75,EDOARDOB.MX
2000-03-13,1.96,1.96,1.96,1.96,0,1.96,EDOARDOB.MX
2000-03-21,1.9,1.9,1.9,1.9,0,1.9,EDOARDOB.MX
2000-03-27,2.1,2.1,1.81,1.81,0,1.81,EDOARDOB.MX
2000-03-30,2.08,2.08,1.82,1.82,0,1.82,EDOARDOB.MX
2000-03-31,2.09,2.09,1.81,1.81,0,1.81,EDOARDOB.MX
2000-04-03,2.04,2.04,1.8,1.8,0,1.8,EDOARDOB.MX
2000-04-11,1.8,1.8,1.54,1.54,0,1.54,EDOARDOB.MX
2000-04-14,1.78,1.78,1.56,1.56,0,1.56,EDOARDOB.MX
2000-04-19,2.0,2.0,1.4,1.4,0,1.4,EDOARDOB.MX
2000-04-20,1.4,1.4,1.4,1.4,0,1.4,EDOARDOB.MX
2000-04-21,1.4,1.4,1.4,1.4,0,1.4,EDOARDOB.MX
2000-04-24,1.98,1.98,1.46,1.46,0,1.46,EDOARDOB.MX
2000-04-25,1.96,1.96,1.46,1.46,0,1.46,EDOARDOB.MX
2000-05-01,1.7,1.7,1.7,1.7,0,1.7,EDOARDOB.MX
2000-05-05,1.3,1.3,1.3,1.3,0,1.3,EDOARDOB.MX
2000-05-16,1.69,1.69,1.45,1.45,0,1.45,EDOARDOB.MX
2000-05-26,1.4,1.4,1.25,1.25,0,1.25,EDOARDOB.MX
2000-05-30,1.39,1.39,1.2,1.2,0,1.2,EDOARDOB.MX
2000-06-05,1.43,1.43,1.3,1.3,0,1.3,EDOARDOB.MX
2000-06-06,1.3,1.3,1.3,1.3,0,1.3,EDOARDOB.MX
2000-06-07,1.49,1.49,1.01,1.01,0,1.01,EDOARDOB.MX
2000-06-08,1.4,1.4,1.02,1.02,0,1.02,EDOARDOB.MX
2000-06-09,1.4,1.4,1.09,1.09,0,1.09,EDOARDOB.MX
2000-06-12,1.39,1.39,1.18,1.18,0,1.18,EDOARDOB.MX
2000-06-13,1.4,1.4,1.1,1.1,0,1.1,EDOARDOB.MX
2000-06-20,1.27,1.27,1.1,1.1,0,1.1,EDOARDOB.MX
2000-06-22,1.28,1.28,0.94,0.94,0,0.94,EDOARDOB.MX
2000-06-23,1.28,1.28,1.22,1.22,0,1.22,EDOARDOB.MX
2000-06-26,1.4,1.4,1.0,1.0,0,1.0,EDOARDOB.MX
2000-06-27,1.4,1.4,1.0,1.0,0,1.0,EDOARDOB.MX
2000-06-28,1.39,1.39,1.18,1.18,0,1.18,EDOARDOB.MX
2000-07-03,1.45,1.45,0.93,0.93,0,0.93,EDOARDOB.MX
2000-07-10,1.35,1.35,1.12,1.12,0,1.12,EDOARDOB.MX
2000-07-11,1.3,1.3,1.12,1.12,0,1.12,EDOARDOB.MX
2000-07-12,1.3,1.3,1.1,1.1,0,1.1,EDOARDOB.MX
2000-07-17,1.3,1.3,1.23,1.23,0,1.23,EDOARDOB.MX
2000-07-20,1.38,1.38,0.9,0.9,0,0.9,EDOARDOB.MX
2000-07-21,1.4,1.4,1.2,1.2,0,1.2,EDOARDOB.MX
2000-07-24,1.44,1.44,1.29,1.29,0,1.29,EDOARDOB.MX
2000-07-25,1.44,1.44,1.0,1.0,0,1.0,EDOARDOB.MX
2000-07-26,1.4,1.4,1.0,1.0,0,1.0,EDOARDOB.MX
2000-07-27,1.4,1.4,1.0,1.0,0,1.0,EDOARDOB.MX
2000-07-28,1.3,1.3,1.0,1.0,0,1.0,EDOARDOB.MX
2000-08-02,1.49,1.49,1.3,1.3,0,1.3,EDOARDOB.MX
2000-08-04,1.49,1.49,1.3,1.3,0,1.3,EDOARDOB.MX
2000-08-08,1.3,1.3,1.3,1.3,0,1.3,EDOARDOB.MX
2000-08-11,1.3,1.3,1.1,1.1,0,1.1,EDOARDOB.MX
2000-08-14,1.28,1.28,1.0,1.0,0,1.0,EDOARDOB.MX
2000-08-16,1.53,1.53,1.28,1.28,0,1.28,EDOARDOB.MX
2000-08-18,1.44,1.44,1.28,1.28,0,1.28,EDOARDOB.MX
2000-08-21,1.5,1.5,1.15,1.15,0,1.15,EDOARDOB.MX
2000-08-22,1.42,1.42,1.16,1.16,0,1.16,EDOARDOB.MX
2000-08-23,1.5,1.5,1.28,1.28,0,1.28,EDOARDOB.MX
2000-08-25,1.5,1.5,1.18,1.18,0,1.18,EDOARDOB.MX
2000-08-28,1.45,1.45,1.28,1.28,0,1.28,EDOARDOB.MX
2000-08-30,1.43,1.43,1.3,1.3,0,1.3,EDOARDOB.MX
2000-08-31,1.44,1.44,0.92,0.92,0,0.92,EDOARDOB.MX
2000-09-01,1.44,1.44,1.25,1.25,0,1.25,EDOARDOB.MX
2000-09-06,1.44,1.44,1.33,1.33,0,1.33,EDOARDOB.MX
2000-09-13,1.38,1.38,1.3,1.3,0,1.3,EDOARDOB.MX
2000-09-15,1.3,1.3,0.98,0.98,0,0.98,EDOARDOB.MX
2000-09-19,1.35,1.35,0.98,0.98,0,0.98,EDOARDOB.MX
2000-09-20,1.3,1.3,0.98,0.98,0,0.98,EDOARDOB.MX
2000-09-21,1.28,1.28,0.98,0.98,0,0.98,EDOARDOB.MX
2000-09-25,1.29,1.29,1.22,1.22,0,1.22,EDOARDOB.MX
2000-09-26,1.29,1.29,1.22,1.22,0,1.22,EDOARDOB.MX
2000-09-28,1.28,1.28,0.88,0.88,0,0.88,EDOARDOB.MX
2000-10-05,1.22,1.22,1.22,1.22,0,1.22,EDOARDOB.MX
2000-10-06,1.26,1.26,1.04,1.04,0,1.04,EDOARDOB.MX
2000-10-16,1.33,1.33,1.22,1.22,0,1.22,EDOARDOB.MX
2000-10-17,1.33,1.33,0.94,0.94,0,0.94,EDOARDOB.MX
2000-10-18,1.29,1.29,0.94,0.94,0,0.94,EDOARDOB.MX
2000-10-23,1.32,1.32,1.22,1.22,0,1.22,EDOARDOB.MX
