Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2001-08-23,1.5,1.51,1.5,1.51,1269100,0.09,FINAMEXO.MX
2001-08-24,1.51,1.51,1.51,1.51,1665000,0.09,FINAMEXO.MX
2001-08-27,1.51,1.51,1.51,1.51,22500,0.09,FINAMEXO.MX
2001-08-28,1.56,1.56,1.56,1.56,73700,0.09,FINAMEXO.MX
2001-08-29,1.57,1.74,1.57,1.58,2786600,0.09,FINAMEXO.MX
2001-08-30,1.62,1.62,1.62,1.62,1500,0.09,FINAMEXO.MX
2001-08-31,1.61,1.71,1.56,1.71,2193500,0.1,FINAMEXO.MX
2001-09-03,1.71,1.71,1.58,1.58,0,0.09,FINAMEXO.MX
2001-09-04,1.71,1.71,1.58,1.58,0,0.09,FINAMEXO.MX
2001-09-05,1.57,1.57,1.57,1.57,22500,0.09,FINAMEXO.MX
2001-09-06,1.57,1.57,1.57,1.57,150500,0.09,FINAMEXO.MX
2001-09-07,1.57,1.57,1.57,1.57,180600,0.09,FINAMEXO.MX
2001-09-10,1.75,1.75,1.57,1.57,0,0.09,FINAMEXO.MX
2001-09-11,1.57,1.57,1.57,1.57,691000,0.09,FINAMEXO.MX
2001-09-17,1.4,1.4,1.4,1.4,61700,0.08,FINAMEXO.MX
2001-09-18,1.5,1.5,1.4,1.4,0,0.08,FINAMEXO.MX
2001-09-19,1.4,1.4,1.4,1.4,231800,0.08,FINAMEXO.MX
2001-09-20,1.4,1.4,1.4,1.4,43600,0.08,FINAMEXO.MX
2001-09-21,1.5,1.5,1.4,1.4,0,0.08,FINAMEXO.MX
2001-09-25,1.75,1.75,1.4,1.4,0,0.08,FINAMEXO.MX
2001-09-26,1.4,1.4,1.4,1.4,34600,0.08,FINAMEXO.MX
2001-09-27,1.4,1.4,1.4,1.4,34600,0.08,FINAMEXO.MX
2001-09-28,1.75,1.75,1.4,1.4,0,0.08,FINAMEXO.MX
2001-10-01,1.4,1.4,1.4,1.4,21000,0.08,FINAMEXO.MX
2001-10-02,1.75,1.75,1.4,1.4,0,0.08,FINAMEXO.MX
2001-10-03,1.75,1.75,1.4,1.4,0,0.08,FINAMEXO.MX
2001-10-04,1.75,1.75,1.4,1.4,0,0.08,FINAMEXO.MX
2001-10-05,1.4,1.4,1.4,1.4,4307200,0.08,FINAMEXO.MX
2001-10-09,1.4,1.4,1.4,1.4,103800,0.08,FINAMEXO.MX
