Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-07,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-01-10,14.0,14.0,14.0,14.0,0,13.56,FRAGUAB.MX
2000-01-12,14.1,14.1,14.0,14.0,0,13.56,FRAGUAB.MX
2000-01-17,14.0,14.0,14.0,14.0,0,13.56,FRAGUAB.MX
2000-01-19,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-01-20,14.0,14.0,14.0,14.0,0,13.56,FRAGUAB.MX
2000-01-25,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-01-26,14.5,14.5,13.8,13.8,0,13.37,FRAGUAB.MX
2000-01-27,14.5,14.5,13.8,13.8,0,13.37,FRAGUAB.MX
2000-01-31,14.5,14.5,14.5,14.5,0,14.04,FRAGUAB.MX
2000-02-04,14.4,14.4,14.2,14.2,0,13.75,FRAGUAB.MX
2000-02-09,14.4,14.4,14.4,14.4,0,13.95,FRAGUAB.MX
2000-02-15,14.4,14.4,13.8,13.8,0,13.37,FRAGUAB.MX
2000-02-16,14.4,14.4,13.8,13.8,0,13.37,FRAGUAB.MX
2000-02-17,14.0,14.0,13.9,13.9,0,13.46,FRAGUAB.MX
2000-02-21,14.3,14.3,13.8,13.8,0,13.37,FRAGUAB.MX
2000-02-23,14.2,14.2,14.0,14.0,0,13.56,FRAGUAB.MX
2000-02-24,14.2,14.2,13.7,13.7,0,13.27,FRAGUAB.MX
2000-02-25,14.1,14.1,13.7,13.7,0,13.27,FRAGUAB.MX
2000-02-28,13.7,13.7,13.7,13.7,0,13.27,FRAGUAB.MX
2000-03-01,14.2,14.2,13.8,13.8,0,13.37,FRAGUAB.MX
2000-03-02,14.0,14.0,13.8,13.8,0,13.37,FRAGUAB.MX
2000-03-06,14.5,14.5,13.9,13.9,0,13.46,FRAGUAB.MX
2000-03-08,14.5,14.5,14.2,14.2,0,13.75,FRAGUAB.MX
2000-03-09,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-03-10,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-03-13,14.0,14.0,14.0,14.0,0,13.56,FRAGUAB.MX
2000-03-14,14.0,14.0,13.6,13.6,0,13.17,FRAGUAB.MX
2000-03-16,14.3,14.3,14.0,14.0,0,13.56,FRAGUAB.MX
2000-03-17,14.3,14.3,14.0,14.0,0,13.56,FRAGUAB.MX
2000-03-21,14.2,14.2,14.2,14.2,0,13.75,FRAGUAB.MX
2000-03-23,14.5,14.5,14.2,14.2,0,13.75,FRAGUAB.MX
2000-03-28,14.4,14.4,14.2,14.2,0,13.75,FRAGUAB.MX
2000-03-29,14.4,14.4,14.2,14.2,0,13.75,FRAGUAB.MX
2000-04-11,13.7,13.7,13.7,13.7,0,13.27,FRAGUAB.MX
2000-04-12,13.7,13.7,13.6,13.6,0,13.17,FRAGUAB.MX
2000-04-14,13.5,13.5,13.5,13.5,0,13.08,FRAGUAB.MX
2000-04-17,13.5,13.5,10.0,10.0,0,9.69,FRAGUAB.MX
2000-04-19,13.6,13.6,13.6,13.6,0,13.17,FRAGUAB.MX
2000-04-20,13.6,13.6,13.6,13.6,0,13.17,FRAGUAB.MX
2000-04-21,13.6,13.6,13.6,13.6,0,13.17,FRAGUAB.MX
2000-04-27,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-04-28,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-05-01,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-05-02,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-05-04,13.6,13.6,10.0,10.0,0,9.69,FRAGUAB.MX
2000-05-05,10.0,10.0,10.0,10.0,0,9.69,FRAGUAB.MX
2000-05-08,13.6,13.6,12.4,12.4,0,12.01,FRAGUAB.MX
2000-05-12,13.6,13.6,12.72,12.72,0,12.32,FRAGUAB.MX
2000-05-15,12.72,12.72,12.72,12.72,0,12.32,FRAGUAB.MX
2000-05-23,13.8,13.8,12.2,12.2,0,11.82,FRAGUAB.MX
2000-05-24,12.5,12.5,12.22,12.22,0,11.84,FRAGUAB.MX
2000-05-25,12.5,12.5,12.22,12.22,0,11.84,FRAGUAB.MX
2000-05-26,12.5,12.5,12.22,12.22,0,11.84,FRAGUAB.MX
2000-05-29,14.0,14.0,12.32,12.32,0,11.93,FRAGUAB.MX
2000-05-31,14.0,14.0,12.4,12.4,0,12.01,FRAGUAB.MX
2000-06-05,13.0,13.0,12.6,12.6,0,12.2,FRAGUAB.MX
2000-06-06,12.6,12.6,12.6,12.6,0,12.2,FRAGUAB.MX
2000-06-07,15.0,15.0,12.6,12.6,0,12.2,FRAGUAB.MX
2000-06-08,15.0,15.0,12.6,12.6,0,12.2,FRAGUAB.MX
2000-06-09,15.0,15.0,12.6,12.6,0,12.2,FRAGUAB.MX
2000-06-14,13.0,13.0,12.8,12.8,0,12.4,FRAGUAB.MX
2000-06-15,13.0,13.0,12.8,12.8,0,12.4,FRAGUAB.MX
2000-06-16,13.0,13.0,12.8,12.8,0,12.4,FRAGUAB.MX
2000-06-19,13.0,13.0,12.8,12.8,0,12.4,FRAGUAB.MX
2000-06-21,14.5,14.5,13.0,13.0,0,12.59,FRAGUAB.MX
2000-06-22,14.5,14.5,13.0,13.0,0,12.59,FRAGUAB.MX
2000-06-23,14.5,14.5,13.0,13.0,0,12.59,FRAGUAB.MX
2000-06-29,13.7,13.7,13.5,13.5,0,13.08,FRAGUAB.MX
2000-07-07,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-07-10,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-07-14,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-07-17,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-07-19,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-07-20,14.5,14.5,14.0,14.0,0,13.56,FRAGUAB.MX
2000-07-21,14.4,14.4,14.0,14.0,0,13.56,FRAGUAB.MX
2000-07-24,14.4,14.4,14.0,14.0,0,13.56,FRAGUAB.MX
2000-07-27,13.6,13.6,13.3,13.3,0,12.88,FRAGUAB.MX
2000-07-28,13.5,13.5,13.0,13.0,0,12.59,FRAGUAB.MX
2000-08-02,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-08-03,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-08-07,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-08-08,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-08-11,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-08-14,13.4,13.4,13.4,13.4,0,12.98,FRAGUAB.MX
2000-08-15,14.0,14.0,11.5,11.5,0,11.14,FRAGUAB.MX
2000-08-16,11.5,11.5,11.5,11.5,0,11.14,FRAGUAB.MX
2000-08-17,11.5,11.5,11.5,11.5,0,11.14,FRAGUAB.MX
2000-08-21,13.5,13.5,13.5,13.5,0,13.08,FRAGUAB.MX
2000-08-22,13.5,13.5,10.5,10.5,0,10.17,FRAGUAB.MX
2000-08-24,13.7,13.7,10.6,10.6,0,10.27,FRAGUAB.MX
2000-08-25,13.4,13.4,10.6,10.6,0,10.27,FRAGUAB.MX
2000-08-28,10.6,10.6,10.6,10.6,0,10.27,FRAGUAB.MX
2000-08-29,13.5,13.5,10.6,10.6,0,10.27,FRAGUAB.MX
2000-08-30,13.4,13.4,10.6,10.6,0,10.27,FRAGUAB.MX
2000-08-31,13.4,13.4,10.6,10.6,0,10.27,FRAGUAB.MX
2000-09-01,13.3,13.3,11.0,11.0,0,10.65,FRAGUAB.MX
2000-09-04,13.4,13.4,11.0,11.0,0,10.65,FRAGUAB.MX
2000-09-05,11.0,11.0,11.0,11.0,0,10.65,FRAGUAB.MX
2000-09-06,13.2,13.2,11.0,11.0,0,10.65,FRAGUAB.MX
2000-09-07,13.2,13.2,10.0,10.0,0,9.69,FRAGUAB.MX
2000-09-08,13.2,13.2,10.0,10.0,0,9.69,FRAGUAB.MX
2000-09-11,10.0,10.0,10.0,10.0,0,9.69,FRAGUAB.MX
