Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-10,3.46,3.46,3.46,3.46,1000,3.1,GFINTERO.MX
2000-01-11,3.46,3.46,3.46,3.46,0,3.1,GFINTERO.MX
2000-01-12,3.46,3.46,3.46,3.46,0,3.1,GFINTERO.MX
2000-01-13,3.46,3.46,3.46,3.46,0,3.1,GFINTERO.MX
2000-01-14,3.46,3.46,3.46,3.46,0,3.1,GFINTERO.MX
2000-01-17,3.45,3.45,3.45,3.45,2838000,3.09,GFINTERO.MX
2000-01-18,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-19,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-20,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-21,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-24,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-25,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-26,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-27,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-28,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-01-31,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-01,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-02,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-03,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-04,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-07,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-08,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-09,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-10,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-11,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-14,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-15,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-16,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-17,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-18,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-21,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-22,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-23,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-24,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-25,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-28,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-02-29,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-01,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-02,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-03,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-06,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-07,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-08,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-09,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-10,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-13,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-14,3.45,3.45,3.45,3.45,1670000,3.09,GFINTERO.MX
2000-03-15,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-16,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-17,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-20,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-21,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-22,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-23,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-24,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-27,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-28,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-29,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-30,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-03-31,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-03,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-04,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-05,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-06,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-07,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-10,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-11,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-12,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-13,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-14,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-17,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-18,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-19,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-20,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-21,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-24,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-25,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-26,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-27,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-04-28,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-01,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-02,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-03,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-04,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-05,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-08,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-09,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-10,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-11,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-12,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-15,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-16,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-17,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-18,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-19,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-22,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-23,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-24,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-25,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-26,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-29,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-30,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-05-31,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-01,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-02,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-05,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-06,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-07,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-08,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-09,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-12,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-13,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
2000-06-14,3.45,3.45,3.45,3.45,0,3.09,GFINTERO.MX
