Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-04,5.5,5.5,4.94,4.94,0,4.94,GOMO.MX
2000-01-05,5.7,5.7,5.12,5.12,0,5.12,GOMO.MX
2000-01-06,5.2,5.7,5.2,5.7,14000,5.7,GOMO.MX
2000-01-07,5.5,5.7,5.22,5.7,1805000,5.7,GOMO.MX
2000-01-10,5.42,5.42,5.4,5.4,11000,5.4,GOMO.MX
2000-01-11,5.5,5.5,5.26,5.26,0,5.26,GOMO.MX
2000-01-12,5.32,5.32,5.26,5.26,283000,5.26,GOMO.MX
2000-01-13,5.26,5.26,5.26,5.26,19000,5.26,GOMO.MX
2000-01-14,5.26,5.28,5.26,5.26,351000,5.26,GOMO.MX
2000-01-17,5.4,5.4,5.3,5.4,58000,5.4,GOMO.MX
2000-01-18,5.3,5.34,5.3,5.34,19000,5.34,GOMO.MX
2000-01-19,5.3,5.3,5.3,5.3,60000,5.3,GOMO.MX
2000-01-20,5.3,5.3,5.3,5.3,50000,5.3,GOMO.MX
2000-01-21,5.4,5.4,5.2,5.2,0,5.2,GOMO.MX
2000-01-24,5.2,5.2,5.2,5.2,15000,5.2,GOMO.MX
2000-01-25,5.3,5.3,5.3,5.3,1000,5.3,GOMO.MX
2000-01-26,5.12,5.12,5.0,5.1,607000,5.1,GOMO.MX
2000-01-27,5.02,5.02,4.96,4.96,64000,4.96,GOMO.MX
2000-01-28,5.48,5.48,4.92,4.92,0,4.92,GOMO.MX
2000-01-31,5.3,5.48,5.3,5.48,2000,5.48,GOMO.MX
2000-02-01,5.44,5.44,4.9,4.9,0,4.9,GOMO.MX
2000-02-02,5.36,5.36,4.9,4.9,0,4.9,GOMO.MX
2000-02-03,5.4,5.4,4.9,4.9,0,4.9,GOMO.MX
2000-02-04,5.4,5.4,4.95,4.95,0,4.95,GOMO.MX
2000-02-07,5.3,5.3,4.96,4.96,0,4.96,GOMO.MX
2000-02-08,5.1,5.1,5.1,5.1,1000,5.1,GOMO.MX
2000-02-09,4.86,4.9,4.86,4.9,52000,4.9,GOMO.MX
2000-02-10,4.9,4.9,4.8,4.8,59000,4.8,GOMO.MX
2000-02-11,5.0,5.0,4.9,4.9,52000,4.9,GOMO.MX
2000-02-14,5.0,5.0,5.0,5.0,2000,5.0,GOMO.MX
2000-02-15,4.87,4.87,4.72,4.72,10000,4.72,GOMO.MX
