Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2004-07-19,33.9,33.98,33.8,33.98,29400,33.98,HOMEX.MX
2004-07-20,33.98,33.98,33.4,33.8,127600,33.8,HOMEX.MX
2004-07-21,33.8,34.01,33.8,34.01,87000,34.01,HOMEX.MX
2004-07-22,33.8,34.4,33.6,34.34,343100,34.34,HOMEX.MX
2004-07-23,34.49,34.6,34.0,34.0,126700,34.0,HOMEX.MX
2004-07-26,33.9,33.9,33.7,33.7,16800,33.7,HOMEX.MX
2004-07-27,33.9,34.1,33.9,34.03,470200,34.03,HOMEX.MX
2004-07-28,34.03,34.25,34.03,34.25,58600,34.25,HOMEX.MX
2004-07-29,34.0,34.02,33.9,33.9,81900,33.9,HOMEX.MX
2004-07-30,34.0,34.0,34.0,34.0,5200,34.0,HOMEX.MX
2004-08-02,33.9,33.9,33.2,33.2,0,33.2,HOMEX.MX
2004-08-03,33.85,33.88,33.5,33.72,80200,33.72,HOMEX.MX
2004-08-04,33.9,33.9,33.5,33.55,84200,33.55,HOMEX.MX
2004-08-05,33.9,34.0,33.55,33.6,45900,33.6,HOMEX.MX
2004-08-06,33.5,33.5,33.3,33.3,4100,33.3,HOMEX.MX
2004-08-09,32.8,33.3,31.78,32.74,74800,32.74,HOMEX.MX
2004-08-10,33.3,33.4,33.22,33.35,67800,33.35,HOMEX.MX
2004-08-11,33.0,33.0,32.85,32.85,34300,32.85,HOMEX.MX
2004-08-12,32.25,32.25,32.0,32.0,10100,32.0,HOMEX.MX
2004-08-13,31.9,31.9,31.8,31.8,300,31.8,HOMEX.MX
2004-08-16,30.88,31.75,30.82,30.99,252100,30.99,HOMEX.MX
2004-08-17,31.3,32.0,31.3,32.0,197000,32.0,HOMEX.MX
2004-08-18,32.0,32.31,32.0,32.3,175400,32.3,HOMEX.MX
2004-08-19,32.4,32.4,32.2,32.3,193700,32.3,HOMEX.MX
2004-08-20,32.0,32.3,32.0,32.13,93000,32.13,HOMEX.MX
2004-08-23,32.13,32.28,32.13,32.27,209000,32.27,HOMEX.MX
2004-08-24,32.2,32.32,32.2,32.26,230900,32.26,HOMEX.MX
2004-08-25,32.26,32.3,32.26,32.27,35000,32.27,HOMEX.MX
2004-08-26,32.15,32.27,32.15,32.27,4000,32.27,HOMEX.MX
2004-08-27,32.27,32.27,32.2,32.2,7700,32.2,HOMEX.MX
2004-08-30,32.4,32.7,32.4,32.4,177400,32.4,HOMEX.MX
2004-08-31,32.45,32.5,32.45,32.5,127900,32.5,HOMEX.MX
2004-09-01,32.7,33.12,32.7,33.02,335900,33.02,HOMEX.MX
2004-09-02,33.25,33.75,33.25,33.64,395800,33.64,HOMEX.MX
2004-09-03,33.8,33.8,33.5,33.51,138200,33.51,HOMEX.MX
2004-09-06,33.51,33.51,33.51,33.51,100,33.51,HOMEX.MX
2004-09-07,33.8,34.15,33.8,34.01,450900,34.01,HOMEX.MX
2004-09-08,33.99,34.3,33.99,34.25,185500,34.25,HOMEX.MX
2004-09-09,34.1,34.49,34.1,34.3,109900,34.3,HOMEX.MX
2004-09-10,34.5,35.0,34.48,35.0,420100,35.0,HOMEX.MX
2004-09-13,34.8,34.95,34.3,34.69,54000,34.69,HOMEX.MX
2004-09-14,34.7,35.0,34.7,34.9,160000,34.9,HOMEX.MX
2004-09-15,34.95,36.0,34.91,36.0,139100,36.0,HOMEX.MX
2004-09-17,36.5,38.3,36.5,37.03,154900,37.03,HOMEX.MX
2004-09-20,37.6,37.6,37.1,37.1,83200,37.1,HOMEX.MX
2004-09-21,37.1,38.7,37.1,38.3,156800,38.3,HOMEX.MX
2004-09-22,38.2,39.0,37.95,39.0,68800,39.0,HOMEX.MX
2004-09-23,39.72,39.8,39.0,39.7,141900,39.7,HOMEX.MX
2004-09-24,40.0,40.0,39.6,40.0,114900,40.0,HOMEX.MX
2004-09-27,39.96,40.3,39.96,40.05,93600,40.05,HOMEX.MX
2004-09-28,40.0,40.0,39.9,40.0,29200,40.0,HOMEX.MX
2004-09-29,40.0,40.0,39.7,39.7,36800,39.7,HOMEX.MX
2004-09-30,39.7,39.7,38.76,39.13,267900,39.13,HOMEX.MX
2004-10-01,39.5,39.7,39.5,39.5,152000,39.5,HOMEX.MX
2004-10-04,39.5,39.5,39.5,39.5,17500,39.5,HOMEX.MX
2004-10-05,38.0,38.1,37.2,38.1,169000,38.1,HOMEX.MX
2004-10-06,37.9,38.0,37.9,38.0,79700,38.0,HOMEX.MX
2004-10-07,37.9,37.9,37.8,37.8,20900,37.8,HOMEX.MX
2004-10-08,38.2,38.8,38.2,38.3,90900,38.3,HOMEX.MX
2004-10-11,38.3,38.55,38.3,38.55,54600,38.55,HOMEX.MX
2004-10-12,38.6,38.75,38.5,38.75,18700,38.75,HOMEX.MX
2004-10-13,38.76,38.76,38.6,38.6,20800,38.6,HOMEX.MX
2004-10-14,37.8,37.8,37.3,37.3,22200,37.3,HOMEX.MX
2004-10-15,38.0,38.0,38.0,38.0,60200,38.0,HOMEX.MX
2004-10-18,38.5,38.6,38.0,38.14,127100,38.14,HOMEX.MX
2004-10-19,38.14,38.14,38.1,38.1,30800,38.1,HOMEX.MX
2004-10-20,38.1,38.1,37.3,37.3,32700,37.3,HOMEX.MX
2004-10-21,37.3,37.3,35.5,36.0,697500,36.0,HOMEX.MX
2004-10-22,36.0,36.5,36.0,36.0,94600,36.0,HOMEX.MX
2004-10-25,35.85,35.85,35.3,35.3,24700,35.3,HOMEX.MX
2004-10-26,35.2,35.25,35.0,35.25,169800,35.25,HOMEX.MX
2004-10-27,36.0,36.25,35.6,36.24,590900,36.24,HOMEX.MX
2004-10-28,36.35,36.8,36.35,36.59,958100,36.59,HOMEX.MX
2004-10-29,36.3,36.3,35.87,35.87,459400,35.87,HOMEX.MX
2004-11-01,36.0,37.03,36.0,37.0,336900,37.0,HOMEX.MX
2004-11-02,37.2,37.6,37.2,37.22,312600,37.22,HOMEX.MX
2004-11-03,37.4,37.9,37.2,37.85,616600,37.85,HOMEX.MX
2004-11-04,37.85,38.25,37.85,38.2,358600,38.2,HOMEX.MX
2004-11-05,38.25,38.5,38.2,38.2,303100,38.2,HOMEX.MX
2004-11-08,38.6,38.7,38.0,38.45,315000,38.45,HOMEX.MX
2004-11-09,38.45,38.9,38.45,38.9,613100,38.9,HOMEX.MX
2004-11-10,39.0,39.0,38.8,38.8,26900,38.8,HOMEX.MX
2004-11-11,38.3,38.65,38.3,38.4,162600,38.4,HOMEX.MX
2004-11-12,38.1,38.1,38.1,38.1,100,38.1,HOMEX.MX
2004-11-15,38.25,38.25,38.05,38.05,8000,38.05,HOMEX.MX
2004-11-16,38.1,38.1,38.1,38.1,12000,38.1,HOMEX.MX
2004-11-17,38.2,38.2,38.1,38.1,20300,38.1,HOMEX.MX
2004-11-18,38.1,38.8,38.09,38.35,140200,38.35,HOMEX.MX
2004-11-19,38.35,38.35,38.2,38.2,15100,38.2,HOMEX.MX
2004-11-22,38.0,38.15,38.0,38.15,20800,38.15,HOMEX.MX
2004-11-23,38.1,38.15,38.0,38.09,9500,38.09,HOMEX.MX
2004-11-24,38.09,38.09,38.0,38.0,6000,38.0,HOMEX.MX
2004-11-25,37.9,37.9,37.9,37.9,9500,37.9,HOMEX.MX
2004-11-26,37.5,38.09,37.5,38.09,6800,38.09,HOMEX.MX
2004-11-29,38.1,38.1,36.92,37.31,145200,37.31,HOMEX.MX
2004-11-30,37.4,37.4,37.2,37.2,113700,37.2,HOMEX.MX
2004-12-01,37.0,37.1,37.0,37.01,228800,37.01,HOMEX.MX
2004-12-02,36.3,37.16,36.3,37.14,32300,37.14,HOMEX.MX
2004-12-03,37.2,37.2,36.8,36.8,40500,36.8,HOMEX.MX
2004-12-06,37.0,37.8,37.0,37.8,370700,37.8,HOMEX.MX
2004-12-07,37.8,37.9,37.55,37.83,166200,37.83,HOMEX.MX
2004-12-08,37.8,38.48,37.8,38.46,123900,38.46,HOMEX.MX
2004-12-09,38.46,39.0,38.46,39.0,352300,39.0,HOMEX.MX
2004-12-10,39.0,42.06,39.0,42.0,409700,42.0,HOMEX.MX
2004-12-13,42.0,42.7,41.8,42.7,106700,42.7,HOMEX.MX
2004-12-14,44.0,44.51,44.0,44.51,22800,44.51,HOMEX.MX
2004-12-15,44.51,44.51,42.89,42.89,13800,42.89,HOMEX.MX
2004-12-16,42.8,42.8,42.0,42.34,41800,42.34,HOMEX.MX
2004-12-17,42.1,42.25,41.95,41.95,38500,41.95,HOMEX.MX
2004-12-20,41.95,41.95,41.45,41.57,129500,41.57,HOMEX.MX
2004-12-21,41.33,41.5,41.33,41.48,143600,41.48,HOMEX.MX
2004-12-22,41.1,41.1,41.1,41.1,5000,41.1,HOMEX.MX
2004-12-23,40.6,40.6,40.6,40.6,5000,40.6,HOMEX.MX
2004-12-24,41.0,41.0,40.1,40.1,0,40.1,HOMEX.MX
2004-12-27,40.6,41.25,40.6,41.25,126000,41.25,HOMEX.MX
2004-12-28,41.8,43.3,41.5,43.3,7900,43.3,HOMEX.MX
2004-12-29,43.78,44.35,43.6,44.33,135600,44.33,HOMEX.MX
2004-12-30,43.65,44.0,43.65,44.0,47800,44.0,HOMEX.MX
2004-12-31,45.0,45.0,43.0,43.0,0,43.0,HOMEX.MX
2005-01-03,46.0,46.0,45.0,45.85,7500,45.85,HOMEX.MX
2005-01-04,46.0,46.0,43.35,43.54,121200,43.54,HOMEX.MX
2005-01-05,43.6,44.24,43.6,43.66,56200,43.66,HOMEX.MX
2005-01-06,44.0,44.0,43.7,44.0,86900,44.0,HOMEX.MX
2005-01-07,44.32,45.2,44.3,44.9,231100,44.9,HOMEX.MX
2005-01-10,45.11,45.11,44.6,44.62,185400,44.62,HOMEX.MX
2005-01-11,44.0,44.0,43.7,43.7,36800,43.7,HOMEX.MX
2005-01-12,43.7,43.7,43.5,43.57,51200,43.57,HOMEX.MX
2005-01-13,43.61,44.52,43.3,44.45,37700,44.45,HOMEX.MX
2005-01-14,44.6,44.98,44.5,44.94,87500,44.94,HOMEX.MX
2005-01-17,45.1,46.3,45.1,46.0,201300,46.0,HOMEX.MX
2005-01-18,45.5,47.0,45.4,46.93,113800,46.93,HOMEX.MX
2005-01-19,47.5,48.75,47.0,48.5,298900,48.5,HOMEX.MX
2005-01-20,48.55,49.06,48.4,48.94,123800,48.94,HOMEX.MX
2005-01-21,48.36,48.71,48.35,48.35,35900,48.35,HOMEX.MX
2005-01-24,48.73,48.73,48.3,48.3,1300,48.3,HOMEX.MX
2005-01-25,48.5,48.78,48.5,48.78,22800,48.78,HOMEX.MX
2005-01-26,48.61,48.64,48.0,48.62,130600,48.62,HOMEX.MX
2005-01-27,48.64,48.92,48.4,48.4,32700,48.4,HOMEX.MX
2005-01-28,48.0,48.29,48.0,48.29,182700,48.29,HOMEX.MX
2005-01-31,47.79,50.24,47.79,50.2,661500,50.2,HOMEX.MX
2005-02-01,50.5,57.51,50.5,56.06,774300,56.06,HOMEX.MX
2005-02-02,54.25,55.4,53.99,55.18,202600,55.18,HOMEX.MX
2005-02-03,55.77,56.1,55.47,56.1,51300,56.1,HOMEX.MX
2005-02-04,59.27,60.47,59.22,60.0,189900,60.0,HOMEX.MX
2005-02-07,61.5,63.14,61.5,62.66,205700,62.66,HOMEX.MX
2005-02-08,62.85,66.8,58.9,59.72,827100,59.72,HOMEX.MX
2005-02-09,58.0,58.15,56.5,56.96,1016800,56.96,HOMEX.MX
2005-02-10,57.0,57.5,57.0,57.29,553800,57.29,HOMEX.MX
2005-02-11,57.1,57.1,54.5,56.4,315800,56.4,HOMEX.MX
2005-02-14,55.2,55.65,54.0,54.97,236500,54.97,HOMEX.MX
2005-02-15,54.3,56.98,54.0,56.61,650700,56.61,HOMEX.MX
2005-02-16,56.28,56.61,55.54,55.59,546900,55.59,HOMEX.MX
2005-02-17,55.59,55.59,50.5,52.63,1622200,52.63,HOMEX.MX
2005-02-18,52.51,52.7,51.45,51.48,444300,51.48,HOMEX.MX
2005-02-21,51.5,51.7,51.5,51.69,62300,51.69,HOMEX.MX
2005-02-22,51.0,51.0,49.95,50.23,1615800,50.23,HOMEX.MX
2005-02-23,51.0,51.6,50.8,51.47,1098600,51.47,HOMEX.MX
2005-02-24,51.4,52.86,51.35,52.59,2032200,52.59,HOMEX.MX
2005-02-25,52.8,52.8,52.34,52.37,658500,52.37,HOMEX.MX
2005-02-28,52.8,53.0,51.45,51.5,330300,51.5,HOMEX.MX
2005-03-01,51.6,51.8,50.85,50.89,433100,50.89,HOMEX.MX
2005-03-02,50.89,51.1,50.19,50.9,1080700,50.9,HOMEX.MX
2005-03-03,51.0,51.0,50.25,50.26,633500,50.26,HOMEX.MX
2005-03-04,50.64,50.75,50.2,50.25,487200,50.25,HOMEX.MX
2005-03-07,50.36,51.01,50.2,51.0,881700,51.0,HOMEX.MX
2005-03-08,51.0,51.6,51.0,51.41,816100,51.41,HOMEX.MX
2005-03-09,51.6,51.6,49.91,50.62,722700,50.62,HOMEX.MX
2005-03-10,50.2,50.2,48.5,48.79,478200,48.79,HOMEX.MX
2005-03-11,48.51,48.51,46.7,47.32,669900,47.32,HOMEX.MX
2005-03-14,47.58,48.0,46.57,46.75,236400,46.75,HOMEX.MX
2005-03-15,47.2,48.0,47.2,47.99,203400,47.99,HOMEX.MX
2005-03-16,47.64,47.7,47.32,47.65,130700,47.65,HOMEX.MX
2005-03-17,47.22,47.79,47.0,47.61,72800,47.61,HOMEX.MX
2005-03-18,47.0,47.27,46.84,47.27,42200,47.27,HOMEX.MX
2005-03-22,46.8,47.75,46.5,46.5,10200,46.5,HOMEX.MX
2005-03-23,46.71,46.71,45.65,45.77,33100,45.77,HOMEX.MX
2005-03-28,47.03,47.07,46.49,46.5,90500,46.5,HOMEX.MX
2005-03-29,46.5,47.3,45.32,45.41,331500,45.41,HOMEX.MX
2005-03-30,45.2,45.4,44.8,44.87,131200,44.87,HOMEX.MX
2005-03-31,45.1,45.4,45.1,45.35,114500,45.35,HOMEX.MX
2005-04-01,45.65,46.5,45.65,46.4,397600,46.4,HOMEX.MX
2005-04-04,45.5,45.5,44.8,45.05,44800,45.05,HOMEX.MX
2005-04-05,45.15,45.15,44.5,44.6,182500,44.6,HOMEX.MX
2005-04-06,44.6,44.6,43.19,43.2,111800,43.2,HOMEX.MX
2005-04-07,42.9,42.9,41.79,42.36,316500,42.36,HOMEX.MX
2005-04-08,41.52,43.8,41.52,43.25,207300,43.25,HOMEX.MX
2005-04-11,43.41,43.6,43.22,43.22,36900,43.22,HOMEX.MX
2005-04-12,43.1,43.6,42.9,43.6,218200,43.6,HOMEX.MX
2005-04-13,44.02,44.5,43.0,43.0,64900,43.0,HOMEX.MX
2005-04-14,43.16,43.85,43.15,43.62,136300,43.62,HOMEX.MX
2005-04-15,45.0,47.05,44.49,44.69,571500,44.69,HOMEX.MX
2005-04-18,44.85,45.0,44.5,44.7,175000,44.7,HOMEX.MX
2005-04-19,44.55,45.8,44.55,45.8,356400,45.8,HOMEX.MX
2005-04-20,45.6,45.7,45.25,45.25,169700,45.25,HOMEX.MX
2005-04-21,45.55,45.55,45.0,45.25,105000,45.25,HOMEX.MX
2005-04-22,45.5,45.5,42.0,42.52,513700,42.52,HOMEX.MX
2005-04-25,42.5,44.2,42.5,44.04,471700,44.04,HOMEX.MX
2005-04-26,44.2,44.2,43.6,44.05,364300,44.05,HOMEX.MX
2005-04-27,44.05,44.05,43.17,43.31,57400,43.31,HOMEX.MX
2005-04-28,43.0,43.0,41.25,41.26,199300,41.26,HOMEX.MX
2005-04-29,41.26,41.3,40.9,40.95,138300,40.95,HOMEX.MX
2005-05-02,40.36,41.1,40.1,40.48,72000,40.48,HOMEX.MX
2005-05-03,40.3,40.49,40.25,40.45,78700,40.45,HOMEX.MX
2005-05-04,40.26,40.43,39.15,39.86,205500,39.86,HOMEX.MX
2005-05-05,40.0,41.25,40.0,40.74,271600,40.74,HOMEX.MX
2005-05-06,40.9,41.17,40.75,40.83,37600,40.83,HOMEX.MX
2005-05-09,41.15,42.5,41.04,42.49,123700,42.49,HOMEX.MX
2005-05-10,42.6,44.71,42.6,43.5,464000,43.5,HOMEX.MX
2005-05-11,43.69,43.69,42.6,43.1,263500,43.1,HOMEX.MX
