Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2003-06-30,6.2,6.2,6.2,6.2,0,5.13,RCENTROA.MX
2003-07-01,6.1,6.1,6.1,6.1,50000,5.05,RCENTROA.MX
2003-07-02,7.5,7.5,7.5,7.5,0,6.21,RCENTROA.MX
2003-07-03,7.5,7.5,7.5,7.5,0,6.21,RCENTROA.MX
2003-07-04,7.5,7.5,6.1,6.1,0,5.05,RCENTROA.MX
2003-07-07,9.8,9.8,9.8,9.8,0,8.11,RCENTROA.MX
2003-07-08,9.8,9.8,9.8,9.8,0,8.11,RCENTROA.MX
2003-07-09,7.0,7.0,6.1,6.1,0,5.05,RCENTROA.MX
2003-07-10,7.01,7.01,6.0,6.0,0,4.96,RCENTROA.MX
2003-07-11,7.01,7.01,6.1,6.1,0,5.05,RCENTROA.MX
2003-07-14,6.2,6.2,6.2,6.2,0,5.13,RCENTROA.MX
2003-07-15,6.7,6.7,6.7,6.7,73800,5.54,RCENTROA.MX
2003-07-16,6.7,6.7,6.7,6.7,0,5.54,RCENTROA.MX
2003-07-17,6.6,6.6,6.6,6.6,0,5.46,RCENTROA.MX
2003-07-18,6.6,6.6,6.6,6.6,6300,5.46,RCENTROA.MX
2003-07-21,6.6,6.6,6.6,6.6,29900,5.46,RCENTROA.MX
2003-07-22,8.1,8.41,8.1,8.41,127000,6.96,RCENTROA.MX
2003-07-23,8.2,8.2,8.0,8.0,500,6.62,RCENTROA.MX
2003-07-24,8.05,8.05,8.05,8.05,0,6.66,RCENTROA.MX
2003-07-25,8.0,8.0,8.0,8.0,18000,6.62,RCENTROA.MX
2003-07-28,7.7,7.7,7.7,7.7,0,6.37,RCENTROA.MX
2003-07-29,7.0,7.0,7.0,7.0,1000,5.79,RCENTROA.MX
2003-07-30,7.0,7.0,6.0,6.0,0,4.96,RCENTROA.MX
2003-07-31,7.0,7.0,7.0,7.0,1000,5.79,RCENTROA.MX
2003-08-01,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-08-04,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-08-05,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-08-06,6.0,6.0,6.0,6.0,900,4.96,RCENTROA.MX
2003-08-07,9.8,9.8,6.0,6.0,0,4.96,RCENTROA.MX
2003-08-08,6.3,6.3,6.3,6.3,8000,5.21,RCENTROA.MX
2003-08-11,9.8,9.8,6.0,6.0,0,4.96,RCENTROA.MX
2003-08-12,9.8,9.8,6.3,6.3,0,5.21,RCENTROA.MX
2003-08-13,6.3,6.3,6.3,6.3,19000,5.21,RCENTROA.MX
2003-08-14,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2003-08-15,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2003-08-18,9.5,9.5,9.5,9.5,0,7.86,RCENTROA.MX
2003-08-19,6.98,6.98,6.98,6.98,9000,5.78,RCENTROA.MX
2003-08-20,9.5,9.5,9.5,9.5,0,7.86,RCENTROA.MX
2003-08-21,9.5,9.5,9.5,9.5,0,7.86,RCENTROA.MX
2003-08-22,6.5,6.5,6.5,6.5,9000,5.38,RCENTROA.MX
2003-08-25,6.45,6.45,5.4,5.4,0,4.47,RCENTROA.MX
2003-08-26,6.23,6.23,6.23,6.23,9000,5.15,RCENTROA.MX
2003-08-27,6.5,6.5,6.5,6.5,0,5.38,RCENTROA.MX
2003-08-28,6.1,6.1,5.95,5.95,20000,4.92,RCENTROA.MX
2003-08-29,6.0,6.0,5.95,6.0,69800,4.96,RCENTROA.MX
2003-09-01,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-09-02,6.89,6.89,6.89,6.89,0,5.7,RCENTROA.MX
2003-09-03,6.85,6.85,5.96,5.96,0,4.93,RCENTROA.MX
2003-09-04,5.96,5.96,5.96,5.96,0,4.93,RCENTROA.MX
2003-09-05,6.2,6.2,6.2,6.2,10000,5.13,RCENTROA.MX
2003-09-08,6.99,6.99,6.15,6.15,0,5.09,RCENTROA.MX
2003-09-09,6.5,6.5,6.3,6.3,0,5.21,RCENTROA.MX
2003-09-10,7.0,7.0,6.2,6.2,0,5.13,RCENTROA.MX
2003-09-11,7.0,7.0,6.3,6.3,0,5.21,RCENTROA.MX
2003-09-12,7.0,7.0,6.3,6.3,0,5.21,RCENTROA.MX
2003-09-15,7.0,7.0,6.3,6.3,0,5.21,RCENTROA.MX
2003-09-16,6.3,6.3,6.3,6.3,0,5.21,RCENTROA.MX
2003-09-17,7.0,7.0,5.9,5.9,0,4.88,RCENTROA.MX
2003-09-18,6.75,6.75,6.75,6.75,7000,5.58,RCENTROA.MX
2003-09-19,7.5,7.5,5.9,5.9,0,4.88,RCENTROA.MX
2003-09-22,7.2,7.5,7.2,7.21,120100,5.97,RCENTROA.MX
2003-09-23,7.5,7.5,5.9,5.9,0,4.88,RCENTROA.MX
2003-09-24,7.5,7.5,7.0,7.0,0,5.79,RCENTROA.MX
2003-09-25,7.8,7.8,5.9,5.9,0,4.88,RCENTROA.MX
2003-09-26,7.5,7.5,7.0,7.0,0,5.79,RCENTROA.MX
2003-09-29,7.2,7.2,5.9,5.9,0,4.88,RCENTROA.MX
2003-09-30,8.0,8.0,5.9,5.9,0,4.88,RCENTROA.MX
2003-10-01,7.0,7.16,7.0,7.16,50000,5.92,RCENTROA.MX
2003-10-02,8.0,8.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-03,8.0,8.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-06,9.0,9.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-07,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-08,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-09,8.0,8.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-10,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-13,8.0,8.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-14,8.0,8.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-15,8.0,8.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-16,8.0,8.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-17,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2003-10-20,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-21,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-22,7.0,7.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-23,7.5,7.5,7.5,7.5,8000,6.21,RCENTROA.MX
2003-10-24,10.0,10.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-27,10.0,10.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-28,9.0,9.0,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-29,8.4,8.4,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-30,8.39,8.39,7.0,7.0,0,5.79,RCENTROA.MX
2003-10-31,7.6,7.6,7.0,7.0,0,5.79,RCENTROA.MX
2003-11-03,7.5,7.5,7.5,7.5,66700,6.21,RCENTROA.MX
2003-11-04,9.5,9.5,7.4,7.4,0,6.12,RCENTROA.MX
2003-11-05,7.8,7.8,7.8,7.8,65000,6.45,RCENTROA.MX
2003-11-06,9.6,9.6,7.5,7.5,0,6.21,RCENTROA.MX
2003-11-07,9.5,9.5,7.0,7.0,0,5.79,RCENTROA.MX
2003-11-10,8.17,8.18,8.17,8.18,5000,6.77,RCENTROA.MX
2003-11-11,8.25,8.25,8.25,8.25,0,6.83,RCENTROA.MX
2003-11-12,8.25,8.25,8.25,8.25,20000,6.83,RCENTROA.MX
2003-11-13,8.35,8.5,8.35,8.5,23000,7.03,RCENTROA.MX
2003-11-14,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-11-17,8.5,8.5,8.5,8.5,500,7.03,RCENTROA.MX
2003-11-18,9.6,9.6,7.0,7.0,0,5.79,RCENTROA.MX
2003-11-19,8.6,8.6,8.4,8.5,24900,7.03,RCENTROA.MX
2003-11-20,8.5,8.5,8.5,8.5,0,7.03,RCENTROA.MX
2003-11-21,8.55,8.55,7.0,7.0,0,5.79,RCENTROA.MX
2003-11-24,8.55,8.55,7.0,7.0,0,5.79,RCENTROA.MX
2003-11-25,8.55,8.55,7.0,7.0,0,5.79,RCENTROA.MX
2003-11-26,8.4,8.4,8.4,8.4,40000,6.95,RCENTROA.MX
2003-11-27,9.6,9.6,7.0,7.0,0,5.79,RCENTROA.MX
2003-11-28,9.6,9.6,7.0,7.0,0,5.79,RCENTROA.MX
2003-12-01,8.5,8.6,8.5,8.5,357600,7.03,RCENTROA.MX
2003-12-02,8.5,8.5,8.5,8.5,43000,7.03,RCENTROA.MX
2003-12-03,8.5,8.55,8.5,8.5,62000,7.03,RCENTROA.MX
2003-12-04,8.5,8.5,8.0,8.0,0,6.62,RCENTROA.MX
2003-12-05,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2003-12-08,8.5,8.5,8.5,8.5,0,7.03,RCENTROA.MX
2003-12-09,8.5,8.5,8.5,8.5,0,7.03,RCENTROA.MX
2003-12-10,8.4,8.4,8.4,8.4,50000,6.95,RCENTROA.MX
2003-12-11,8.3,8.3,8.3,8.3,0,6.87,RCENTROA.MX
2003-12-12,8.3,8.3,8.3,8.3,0,6.87,RCENTROA.MX
2003-12-15,8.4,8.4,8.4,8.4,0,6.95,RCENTROA.MX
2003-12-16,8.4,8.4,8.4,8.4,0,6.95,RCENTROA.MX
2003-12-17,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-18,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-19,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-22,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-23,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-24,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-25,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-26,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-29,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-30,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2003-12-31,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-01,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-02,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-05,8.45,8.45,8.45,8.45,4000,6.99,RCENTROA.MX
2004-01-06,9.6,9.6,8.45,8.45,0,6.99,RCENTROA.MX
2004-01-07,9.6,9.6,8.45,8.45,0,6.99,RCENTROA.MX
2004-01-08,9.6,9.6,8.45,8.45,0,6.99,RCENTROA.MX
2004-01-09,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-12,8.45,8.45,8.45,8.45,27000,6.99,RCENTROA.MX
2004-01-13,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-14,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-15,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-16,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-19,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-20,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-21,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-22,8.45,8.45,8.45,8.45,0,6.99,RCENTROA.MX
2004-01-23,8.45,8.45,8.45,8.45,0,6.99,RCENTROA.MX
2004-01-26,8.45,8.45,8.45,8.45,0,6.99,RCENTROA.MX
2004-01-27,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-01-28,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-01-29,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-01-30,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-02,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-03,9.6,9.6,9.6,9.6,0,7.94,RCENTROA.MX
2004-02-04,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-05,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-06,9.92,9.92,9.92,9.92,0,8.21,RCENTROA.MX
2004-02-09,9.92,9.92,9.92,9.92,0,8.21,RCENTROA.MX
2004-02-10,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-11,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-12,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-13,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-16,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-17,9.0,9.0,9.0,9.0,0,7.45,RCENTROA.MX
2004-02-18,8.42,8.42,8.0,8.0,0,6.62,RCENTROA.MX
2004-02-19,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2004-02-20,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2004-02-23,8.45,8.45,8.0,8.0,0,6.62,RCENTROA.MX
2004-02-24,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2004-02-25,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2004-02-26,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2004-02-27,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2004-03-01,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2004-03-02,8.0,8.0,8.0,8.0,0,6.62,RCENTROA.MX
2004-03-03,7.8,7.8,7.8,7.8,7000,6.45,RCENTROA.MX
2004-03-04,7.5,7.5,7.0,7.2,12000,5.96,RCENTROA.MX
2004-03-05,7.0,7.0,5.8,6.04,226000,5.0,RCENTROA.MX
2004-03-08,6.5,6.5,6.3,6.4,13000,5.3,RCENTROA.MX
