Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,4.4,4.4,4.4,4.4,8000,3.56,SANMEXB.MX
2000-01-04,4.5,4.5,3.0,3.0,0,2.43,SANMEXB.MX
2000-01-05,4.35,4.35,4.2,4.2,0,3.4,SANMEXB.MX
2000-01-06,4.5,4.5,4.3,4.3,0,3.48,SANMEXB.MX
2000-01-07,4.4,4.4,4.4,4.4,20000,3.56,SANMEXB.MX
2000-01-10,4.0,4.0,4.0,4.0,2000,3.23,SANMEXB.MX
2000-01-11,4.0,4.0,4.0,4.0,50000,3.23,SANMEXB.MX
2000-01-12,3.99,4.0,3.98,4.0,105000,3.23,SANMEXB.MX
2000-01-13,4.01,4.01,4.0,4.0,55000,3.23,SANMEXB.MX
2000-01-14,4.0,4.1,4.0,4.1,50000,3.32,SANMEXB.MX
2000-01-17,4.5,4.5,4.0,4.0,0,3.23,SANMEXB.MX
2000-01-18,4.0,4.1,4.0,4.05,61000,3.28,SANMEXB.MX
2000-01-19,4.0,4.0,4.0,4.0,20000,3.23,SANMEXB.MX
2000-01-20,4.5,4.5,3.81,3.81,0,3.08,SANMEXB.MX
2000-01-21,4.0,4.0,4.0,4.0,8000,3.23,SANMEXB.MX
2000-01-24,5.0,5.0,3.4,3.4,0,2.75,SANMEXB.MX
2000-01-25,3.4,3.4,3.4,3.4,0,2.75,SANMEXB.MX
2000-01-26,4.0,4.0,4.0,4.0,20000,3.23,SANMEXB.MX
2000-01-27,4.0,4.0,3.0,3.0,0,2.43,SANMEXB.MX
2000-01-28,3.0,3.0,3.0,3.0,0,2.43,SANMEXB.MX
2000-01-31,4.0,4.0,2.81,2.81,0,2.27,SANMEXB.MX
2000-02-01,4.0,4.0,3.0,3.0,0,2.43,SANMEXB.MX
2000-02-02,3.0,3.0,3.0,3.0,0,2.43,SANMEXB.MX
2000-02-03,4.0,4.0,3.01,3.01,0,2.43,SANMEXB.MX
2000-02-04,5.0,5.0,4.0,4.0,0,3.23,SANMEXB.MX
