Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,43.9,44.2,42.3,42.75,648000,14.07,SORIANAB.MX
2000-01-04,41.8,41.8,39.0,40.05,1713000,13.19,SORIANAB.MX
2000-01-05,39.8,40.5,38.5,40.2,1530000,13.23,SORIANAB.MX
2000-01-06,40.0,40.35,38.8,39.4,1152000,12.97,SORIANAB.MX
2000-01-07,39.3,42.2,39.3,42.0,3192000,13.83,SORIANAB.MX
2000-01-10,42.0,42.7,42.0,42.65,2139000,14.04,SORIANAB.MX
2000-01-11,42.5,42.8,42.0,42.3,3588000,13.93,SORIANAB.MX
2000-01-12,42.0,43.5,41.85,43.4,1137000,14.29,SORIANAB.MX
2000-01-13,44.0,44.55,43.2,43.2,1143000,14.22,SORIANAB.MX
2000-01-14,43.3,45.0,43.3,44.5,1035000,14.65,SORIANAB.MX
2000-01-17,44.5,45.75,44.5,45.75,381000,15.06,SORIANAB.MX
2000-01-18,45.2,45.9,44.65,45.3,1224000,14.91,SORIANAB.MX
2000-01-19,45.0,45.0,44.1,44.6,831000,14.68,SORIANAB.MX
2000-01-20,44.4,44.4,43.0,44.0,1179000,14.49,SORIANAB.MX
2000-01-21,43.7,43.7,41.0,41.0,3273000,13.5,SORIANAB.MX
2000-01-24,41.8,43.3,41.75,41.75,1980000,13.74,SORIANAB.MX
2000-01-25,41.85,42.2,41.3,42.2,1299000,13.89,SORIANAB.MX
2000-01-26,42.05,42.6,41.0,41.0,387000,13.5,SORIANAB.MX
2000-01-27,41.4,42.05,39.8,40.0,888000,13.17,SORIANAB.MX
2000-01-28,39.6,39.6,37.8,39.0,1482000,12.84,SORIANAB.MX
2000-01-31,38.8,38.8,37.2,37.4,1701000,12.31,SORIANAB.MX
2000-02-01,37.45,38.6,37.45,37.95,1824000,12.49,SORIANAB.MX
2000-02-02,38.0,39.0,37.9,37.95,3471000,12.49,SORIANAB.MX
2000-02-03,38.8,39.5,38.15,39.45,3645000,12.99,SORIANAB.MX
2000-02-04,39.5,40.4,39.4,39.95,2745000,13.15,SORIANAB.MX
2000-02-07,39.95,41.4,39.0,41.4,1542000,13.63,SORIANAB.MX
2000-02-08,41.4,42.2,39.5,40.0,2730000,13.17,SORIANAB.MX
2000-02-09,39.9,42.15,39.0,39.0,1509000,12.84,SORIANAB.MX
2000-02-10,39.6,40.75,39.6,40.5,1452000,13.33,SORIANAB.MX
2000-02-11,40.5,41.95,40.2,41.4,1773000,13.63,SORIANAB.MX
2000-02-14,41.4,42.0,40.5,41.9,516000,13.79,SORIANAB.MX
2000-02-15,42.0,42.0,39.6,40.5,1506000,13.33,SORIANAB.MX
2000-02-16,40.5,41.75,40.4,41.75,633000,13.74,SORIANAB.MX
2000-02-17,41.95,42.1,40.3,41.3,798000,13.6,SORIANAB.MX
2000-02-18,41.05,41.1,39.25,39.5,612000,13.0,SORIANAB.MX
2000-02-21,39.5,39.5,39.2,39.2,186000,12.91,SORIANAB.MX
2000-02-22,39.2,39.2,38.1,38.2,1404000,12.58,SORIANAB.MX
2000-02-23,38.4,39.5,38.4,39.3,870000,12.94,SORIANAB.MX
2000-02-24,39.3,39.35,38.0,38.7,924000,12.74,SORIANAB.MX
2000-02-25,38.7,39.0,36.2,36.5,1230000,12.02,SORIANAB.MX
2000-02-28,36.3,39.0,36.3,38.8,1074000,12.77,SORIANAB.MX
2000-02-29,39.0,39.2,38.45,38.45,543000,12.66,SORIANAB.MX
