Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2002-11-20,16.0,16.0,16.0,16.0,0,7.57,AC.MX
2002-12-12,15.99,15.99,15.99,15.99,0,7.56,AC.MX
2002-12-25,19.2,19.2,19.2,19.2,0,9.08,AC.MX
2003-01-01,20.0,20.0,20.0,20.0,0,9.46,AC.MX
2003-01-15,17.3,17.3,17.01,17.01,56300,8.04,AC.MX
2003-02-05,15.3,15.3,15.3,15.3,0,7.24,AC.MX
2003-03-21,16.66,16.66,16.66,16.66,0,7.88,AC.MX
2003-04-17,16.86,16.86,16.86,16.86,0,7.97,AC.MX
2003-04-18,16.86,16.86,16.86,16.86,0,7.97,AC.MX
2003-05-01,16.6,16.6,16.6,16.6,0,7.85,AC.MX
2003-07-25,17.0,17.0,16.4,16.4,0,7.76,AC.MX
2003-07-28,17.0,17.0,16.8,16.8,0,7.94,AC.MX
2003-08-04,17.1,17.1,17.1,17.1,429100,8.09,AC.MX
2003-08-05,17.2,17.2,17.2,17.2,295000,8.13,AC.MX
2003-09-16,17.65,17.65,17.65,17.65,0,8.35,AC.MX
2003-11-20,22.35,22.35,22.35,22.35,0,10.57,AC.MX
2003-12-12,22.1,22.1,22.1,22.1,0,10.45,AC.MX
2003-12-25,20.95,20.95,20.95,20.95,0,9.91,AC.MX
2004-01-01,21.5,21.5,21.5,21.5,0,10.17,AC.MX
2004-02-05,23.68,23.68,23.68,23.68,0,11.2,AC.MX
2004-04-08,24.88,24.88,24.88,24.88,0,11.77,AC.MX
2004-04-09,24.88,24.88,24.88,24.88,0,11.77,AC.MX
2004-04-23,25.0,25.0,25.0,25.0,0,11.82,AC.MX
2004-09-16,21.58,21.58,21.58,21.58,0,10.2,AC.MX
2004-11-18,21.4,21.4,21.4,21.4,171600,10.12,AC.MX
2004-11-19,21.2,21.2,21.2,21.2,200200,10.03,AC.MX
2005-03-21,23.8,23.8,23.8,23.8,0,11.25,AC.MX
2005-03-24,23.98,23.98,23.98,23.98,0,11.34,AC.MX
2005-03-25,23.98,23.98,23.98,23.98,0,11.34,AC.MX
2005-09-16,23.13,23.13,23.13,23.13,0,10.94,AC.MX
2005-12-12,24.07,24.07,24.07,24.07,0,11.38,AC.MX
2006-02-06,25.28,25.28,25.28,25.28,0,11.95,AC.MX
