Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,44.4,46.0,42.5,43.8,7130000,4.12,ALFAA.MX
2000-01-04,42.8,42.8,41.0,41.0,11890000,3.85,ALFAA.MX
2000-01-05,40.8,42.2,39.3,41.8,8420000,3.93,ALFAA.MX
2000-01-06,41.7,41.7,40.0,40.0,13680000,3.76,ALFAA.MX
2000-01-07,40.7,44.0,40.7,44.0,13990000,4.14,ALFAA.MX
2000-01-10,43.85,45.2,43.85,45.0,9200000,4.23,ALFAA.MX
2000-01-11,45.0,45.2,43.1,43.85,8170000,4.12,ALFAA.MX
2000-01-12,43.85,44.2,43.6,44.0,8920000,4.14,ALFAA.MX
2000-01-13,45.0,45.1,43.4,44.0,16000000,4.14,ALFAA.MX
2000-01-14,44.2,45.5,44.2,45.5,15310000,4.28,ALFAA.MX
2000-01-17,44.9,45.25,44.8,45.05,4250000,4.23,ALFAA.MX
2000-01-18,44.8,44.8,43.6,43.6,17920000,4.1,ALFAA.MX
2000-01-19,43.6,43.6,42.0,42.6,14410000,4.0,ALFAA.MX
2000-01-20,42.55,42.55,40.35,40.6,39490000,3.82,ALFAA.MX
2000-01-21,40.5,40.5,38.5,39.15,26700000,3.68,ALFAA.MX
2000-01-24,39.7,41.15,39.0,39.8,16860000,3.74,ALFAA.MX
2000-01-25,39.25,39.55,38.4,39.45,12540000,3.71,ALFAA.MX
2000-01-26,39.45,40.0,37.6,37.7,14510000,3.54,ALFAA.MX
2000-01-27,38.0,38.35,36.3,36.95,12390000,3.47,ALFAA.MX
2000-01-28,36.8,37.0,36.0,36.0,9690000,3.38,ALFAA.MX
2000-01-31,35.95,36.7,35.3,35.8,5560000,3.37,ALFAA.MX
2000-02-01,35.8,38.1,35.5,38.0,16930000,3.57,ALFAA.MX
2000-02-02,38.0,38.1,37.4,37.4,26670000,3.52,ALFAA.MX
2000-02-03,37.7,38.8,36.6,37.5,15780000,3.53,ALFAA.MX
2000-02-04,37.5,38.2,37.0,37.2,28200000,3.5,ALFAA.MX
2000-02-07,36.8,37.0,36.1,36.8,25160000,3.46,ALFAA.MX
2000-02-08,37.4,38.0,34.75,35.55,43590000,3.34,ALFAA.MX
2000-02-09,35.75,36.55,34.95,35.65,15880000,3.35,ALFAA.MX
2000-02-10,35.6,36.4,35.6,36.4,12430000,3.42,ALFAA.MX
2000-02-11,36.4,36.7,35.2,36.0,13190000,3.38,ALFAA.MX
2000-02-14,36.1,36.1,35.7,35.85,4190000,3.37,ALFAA.MX
2000-02-15,35.5,35.5,33.7,34.0,37760000,3.2,ALFAA.MX
2000-02-16,34.1,35.5,33.35,34.0,16530000,3.2,ALFAA.MX
2000-02-17,35.0,35.0,33.7,34.4,17210000,3.23,ALFAA.MX
2000-02-18,34.35,34.9,33.8,34.8,10040000,3.27,ALFAA.MX
2000-02-21,35.6,35.6,34.0,34.1,5800000,3.21,ALFAA.MX
2000-02-22,34.25,34.35,32.4,32.5,29010000,3.06,ALFAA.MX
2000-02-23,32.7,33.8,32.5,33.8,14900000,3.18,ALFAA.MX
2000-02-24,33.5,35.5,32.85,34.6,13250000,3.25,ALFAA.MX
2000-02-25,35.35,35.6,34.0,34.0,2560000,3.2,ALFAA.MX
2000-02-28,35.0,35.0,32.8,33.0,19530000,3.1,ALFAA.MX
2000-02-29,33.05,33.2,32.2,33.0,14450000,3.1,ALFAA.MX
2000-03-01,33.3,33.3,31.95,31.95,13070000,3.0,ALFAA.MX
2000-03-02,32.15,35.8,32.15,35.0,42030000,3.29,ALFAA.MX
2000-03-03,36.0,38.05,36.0,36.85,28900000,3.46,ALFAA.MX
2000-03-06,36.5,36.7,34.95,35.9,9490000,3.37,ALFAA.MX
2000-03-07,36.0,37.4,34.0,34.0,38790000,3.2,ALFAA.MX
2000-03-08,34.55,38.3,34.55,38.3,59670000,3.6,ALFAA.MX
2000-03-09,38.8,41.0,38.8,40.4,48290000,3.8,ALFAA.MX
2000-03-10,40.5,40.8,38.3,39.0,15620000,3.67,ALFAA.MX
2000-03-13,39.0,39.0,39.0,39.0,0,3.67,ALFAA.MX
2000-03-14,36.0,36.25,33.5,34.0,30210000,3.2,ALFAA.MX
2000-03-15,34.0,35.1,33.0,35.1,12120000,3.3,ALFAA.MX
2000-03-16,35.3,37.45,35.3,37.45,18690000,3.52,ALFAA.MX
2000-03-17,37.2,38.3,36.9,37.0,17750000,3.48,ALFAA.MX
2000-03-20,37.25,37.3,36.0,36.0,4900000,3.38,ALFAA.MX
2000-03-21,36.0,36.0,36.0,36.0,0,3.38,ALFAA.MX
2000-03-22,36.6,37.0,35.5,36.0,16720000,3.38,ALFAA.MX
2000-03-23,36.2,38.4,36.2,37.6,12430000,3.53,ALFAA.MX
2000-03-24,37.9,38.7,37.0,37.3,7060000,3.51,ALFAA.MX
2000-03-27,37.5,38.0,37.0,37.3,5100000,3.51,ALFAA.MX
2000-03-28,37.3,37.3,36.0,36.0,2930000,3.38,ALFAA.MX
2000-03-29,38.3,38.3,35.5,37.0,5960000,3.48,ALFAA.MX
2000-03-30,36.85,37.0,35.2,36.0,8510000,3.38,ALFAA.MX
2000-03-31,36.15,36.15,34.0,35.5,5320000,3.34,ALFAA.MX
2000-04-03,34.75,34.75,33.5,34.55,12890000,3.25,ALFAA.MX
2000-04-04,34.4,35.0,32.2,33.1,11120000,3.11,ALFAA.MX
2000-04-05,32.8,33.7,32.8,33.1,26020000,3.11,ALFAA.MX
2000-04-06,33.5,34.2,33.5,34.0,9200000,3.2,ALFAA.MX
2000-04-07,34.0,35.3,34.0,34.5,208180000,3.24,ALFAA.MX
2000-04-10,34.3,34.5,33.55,33.55,2700000,3.15,ALFAA.MX
2000-04-11,33.5,34.0,33.2,33.4,17100000,3.14,ALFAA.MX
2000-04-12,33.6,33.85,32.7,33.1,12610000,3.11,ALFAA.MX
2000-04-13,33.2,33.5,32.6,32.6,18590000,3.06,ALFAA.MX
2000-04-14,32.5,32.5,30.6,30.8,15930000,2.9,ALFAA.MX
2000-04-17,30.8,31.15,29.2,30.0,12470000,2.82,ALFAA.MX
2000-04-18,30.0,30.1,29.0,29.5,24470000,2.77,ALFAA.MX
2000-04-19,29.4,29.4,27.3,27.3,17180000,2.57,ALFAA.MX
2000-04-20,27.3,27.3,27.3,27.3,0,2.57,ALFAA.MX
2000-04-21,27.3,27.3,27.3,27.3,0,2.57,ALFAA.MX
2000-04-24,27.1,29.0,27.1,29.0,17100000,2.73,ALFAA.MX
2000-04-25,29.4,30.8,29.4,30.2,18970000,2.84,ALFAA.MX
2000-04-26,30.2,30.7,29.5,29.9,15490000,2.81,ALFAA.MX
2000-04-27,29.3,30.25,29.3,30.05,23780000,2.82,ALFAA.MX
2000-04-28,30.4,30.4,29.1,29.1,3400000,2.74,ALFAA.MX
2000-05-01,29.1,29.1,29.1,29.1,0,2.74,ALFAA.MX
2000-05-02,29.15,30.65,29.15,30.3,8620000,2.85,ALFAA.MX
2000-05-03,30.0,30.0,29.1,29.35,2650000,2.76,ALFAA.MX
2000-05-04,29.35,29.7,29.0,29.0,3090000,2.73,ALFAA.MX
2000-05-05,29.0,29.0,29.0,29.0,0,2.73,ALFAA.MX
2000-05-08,28.9,29.3,28.5,29.3,5910000,2.75,ALFAA.MX
2000-05-09,29.1,29.2,26.65,26.65,19910000,2.51,ALFAA.MX
2000-05-10,26.6,26.8,25.0,26.0,23230000,2.44,ALFAA.MX
2000-05-11,26.15,27.0,25.8,26.0,13220000,2.44,ALFAA.MX
2000-05-12,26.0,26.7,25.9,26.7,5270000,2.51,ALFAA.MX
2000-05-15,26.2,27.15,26.15,27.0,14850000,2.54,ALFAA.MX
2000-05-16,27.5,27.5,25.8,26.0,16670000,2.44,ALFAA.MX
2000-05-17,25.8,25.85,24.4,24.6,15200000,2.31,ALFAA.MX
2000-05-18,24.85,25.0,23.3,23.3,13930000,2.19,ALFAA.MX
2000-05-19,23.3,23.7,21.5,23.5,44030000,2.21,ALFAA.MX
2000-05-22,23.0,24.4,22.6,24.3,10890000,2.28,ALFAA.MX
2000-05-23,24.3,25.4,24.3,24.65,37920000,2.32,ALFAA.MX
2000-05-24,24.7,25.8,24.7,25.8,31200000,2.43,ALFAA.MX
2000-05-25,26.0,26.7,25.0,25.9,21840000,2.43,ALFAA.MX
2000-05-26,25.35,25.65,25.35,25.6,3610000,2.41,ALFAA.MX
2000-05-29,25.7,25.7,25.5,25.7,370000,2.42,ALFAA.MX
2000-05-30,25.7,26.4,25.7,26.25,21250000,2.47,ALFAA.MX
2000-05-31,26.25,26.8,25.75,25.95,8040000,2.44,ALFAA.MX
2000-06-01,26.0,26.3,25.9,26.0,8540000,2.44,ALFAA.MX
2000-06-02,26.55,27.4,25.9,26.6,35690000,2.5,ALFAA.MX
2000-06-05,26.85,26.9,25.5,25.5,30850000,2.4,ALFAA.MX
2000-06-06,25.5,25.5,25.5,25.5,0,2.4,ALFAA.MX
2000-06-07,23.8,25.9,23.5,25.5,142970000,2.4,ALFAA.MX
2000-06-08,25.2,26.2,25.2,26.0,25170000,2.44,ALFAA.MX
2000-06-09,26.2,26.6,25.15,25.15,18820000,2.36,ALFAA.MX
2000-06-12,26.0,26.0,24.0,24.6,23620000,2.31,ALFAA.MX
2000-06-13,24.65,25.6,24.65,25.25,13270000,2.37,ALFAA.MX
2000-06-14,25.55,26.25,25.3,26.15,38380000,2.46,ALFAA.MX
2000-06-15,26.0,26.6,25.7,25.9,16820000,2.43,ALFAA.MX
2000-06-16,25.1,25.6,25.0,25.1,18930000,2.36,ALFAA.MX
2000-06-19,25.0,25.15,24.55,24.7,9840000,2.32,ALFAA.MX
2000-06-20,25.0,25.2,23.5,23.5,22060000,2.21,ALFAA.MX
2000-06-21,23.8,24.4,23.7,23.8,18720000,2.24,ALFAA.MX
2000-06-22,23.9,24.1,22.8,22.8,25730000,2.14,ALFAA.MX
2000-06-23,23.0,23.0,22.05,22.95,21240000,2.16,ALFAA.MX
2000-06-26,22.8,24.0,22.8,24.0,9420000,2.26,ALFAA.MX
2000-06-27,24.0,24.2,23.35,23.35,19820000,2.2,ALFAA.MX
2000-06-28,23.5,23.8,22.5,22.5,4600000,2.12,ALFAA.MX
2000-06-29,22.55,22.55,21.75,22.1,82770000,2.08,ALFAA.MX
2000-06-30,22.4,23.15,21.9,22.5,57230000,2.12,ALFAA.MX
2000-07-03,24.0,25.7,23.9,25.5,65770000,2.4,ALFAA.MX
2000-07-04,25.5,26.6,25.5,26.3,24760000,2.47,ALFAA.MX
2000-07-05,26.0,26.2,25.3,25.3,40030000,2.38,ALFAA.MX
2000-07-06,25.7,26.35,24.75,25.6,50780000,2.41,ALFAA.MX
2000-07-07,25.6,26.1,25.6,25.9,9580000,2.43,ALFAA.MX
2000-07-10,26.4,26.5,25.5,25.5,8330000,2.4,ALFAA.MX
2000-07-11,25.6,26.85,25.6,26.0,30280000,2.44,ALFAA.MX
2000-07-12,26.2,27.05,26.2,27.05,18660000,2.54,ALFAA.MX
2000-07-13,27.2,28.3,27.2,28.0,25530000,2.63,ALFAA.MX
2000-07-14,28.5,29.05,27.7,28.0,11090000,2.63,ALFAA.MX
2000-07-17,27.7,28.0,27.3,28.0,3850000,2.63,ALFAA.MX
2000-07-18,27.8,27.8,27.2,27.75,17310000,2.61,ALFAA.MX
2000-07-19,27.45,27.5,26.2,26.25,9970000,2.47,ALFAA.MX
2000-07-20,26.5,26.9,25.4,26.0,7590000,2.44,ALFAA.MX
2000-07-21,25.9,26.5,25.2,26.1,7630000,2.45,ALFAA.MX
2000-07-24,26.1,26.4,25.9,26.0,3480000,2.44,ALFAA.MX
2000-07-25,25.95,26.0,25.45,25.6,4400000,2.41,ALFAA.MX
2000-07-26,25.6,25.7,24.25,24.4,10700000,2.29,ALFAA.MX
2000-07-27,24.25,24.25,22.5,23.0,28410000,2.16,ALFAA.MX
2000-07-28,22.8,23.7,22.4,23.0,23780000,2.16,ALFAA.MX
2000-07-31,23.2,24.6,23.2,24.6,9110000,2.31,ALFAA.MX
2000-08-01,24.5,25.2,24.5,25.0,14210000,2.35,ALFAA.MX
2000-08-02,25.75,26.5,25.2,25.5,5080000,2.4,ALFAA.MX
2000-08-03,24.9,25.3,24.75,25.05,45500000,2.35,ALFAA.MX
2000-08-04,25.4,25.5,25.0,25.2,6290000,2.37,ALFAA.MX
2000-08-07,25.0,25.6,25.0,25.1,10980000,2.36,ALFAA.MX
2000-08-08,25.1,25.4,25.05,25.3,6170000,2.38,ALFAA.MX
2000-08-09,25.45,25.45,25.0,25.0,7170000,2.35,ALFAA.MX
2000-08-10,25.0,25.0,24.5,24.75,4800000,2.33,ALFAA.MX
2000-08-11,24.9,25.5,24.9,25.4,30790000,2.39,ALFAA.MX
2000-08-14,25.75,26.5,25.5,26.4,13330000,2.48,ALFAA.MX
2000-08-15,26.2,27.7,25.9,27.1,26240000,2.55,ALFAA.MX
2000-08-16,27.0,27.4,26.65,26.95,58620000,2.53,ALFAA.MX
2000-08-17,27.0,27.5,27.0,27.5,26760000,2.59,ALFAA.MX
2000-08-18,27.45,27.9,26.95,27.25,21280000,2.56,ALFAA.MX
2000-08-21,27.25,27.25,26.2,26.4,3540000,2.48,ALFAA.MX
2000-08-22,26.35,27.0,26.0,26.0,10980000,2.44,ALFAA.MX
2000-08-23,26.2,26.5,25.9,26.0,4640000,2.44,ALFAA.MX
2000-08-24,26.1,26.2,25.5,25.5,2740000,2.4,ALFAA.MX
2000-08-25,25.4,25.4,24.75,25.0,4850000,2.35,ALFAA.MX
2000-08-28,25.0,25.2,24.0,24.3,16030000,2.28,ALFAA.MX
2000-08-29,24.3,25.1,24.2,24.65,14490000,2.32,ALFAA.MX
