Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,45.25,46.0,45.11,46.0,197100,10.46,ALSEA.MX
2006-10-03,46.0,46.0,45.95,45.98,59100,10.45,ALSEA.MX
2006-10-04,46.0,46.22,45.98,46.14,992100,10.49,ALSEA.MX
2006-10-05,46.1,47.35,46.09,47.25,661100,10.74,ALSEA.MX
2006-10-06,47.25,49.0,47.25,48.6,668100,11.05,ALSEA.MX
2006-10-09,48.6,48.65,48.5,48.6,595400,11.05,ALSEA.MX
2006-10-10,48.56,48.69,48.47,48.47,482900,11.02,ALSEA.MX
2006-10-11,48.6,49.5,48.6,49.43,320700,11.24,ALSEA.MX
2006-10-12,49.0,49.25,49.0,49.25,314100,11.2,ALSEA.MX
2006-10-13,49.5,50.0,49.5,49.81,1213500,11.32,ALSEA.MX
2006-10-16,49.81,52.0,49.81,51.95,607300,11.81,ALSEA.MX
2006-10-17,51.8,51.8,50.8,51.4,398700,11.69,ALSEA.MX
2006-10-18,51.95,52.0,51.5,51.65,278800,11.74,ALSEA.MX
2006-10-19,51.65,51.65,51.0,51.3,371200,11.66,ALSEA.MX
2006-10-20,51.29,51.69,51.26,51.67,380600,11.75,ALSEA.MX
2006-10-23,51.7,52.01,51.6,52.0,344100,11.82,ALSEA.MX
2006-10-24,52.0,52.01,51.8,52.0,2086100,11.82,ALSEA.MX
2006-10-25,52.0,52.0,51.5,51.5,630300,11.71,ALSEA.MX
2006-10-26,51.39,51.4,51.39,51.39,1116100,11.68,ALSEA.MX
2006-10-27,51.0,51.0,50.0,50.01,190500,11.37,ALSEA.MX
2006-10-30,49.89,50.1,49.8,50.0,449200,11.37,ALSEA.MX
2006-10-31,50.26,51.75,50.26,51.6,341600,11.73,ALSEA.MX
2006-11-01,51.7,52.5,51.7,52.5,2505400,11.94,ALSEA.MX
2006-11-02,52.5,52.5,52.5,52.5,0,11.94,ALSEA.MX
2006-11-03,53.0,53.0,52.2,52.29,1017600,11.89,ALSEA.MX
2006-11-06,52.3,52.6,52.0,52.02,1164200,11.83,ALSEA.MX
2006-11-07,52.5,52.73,52.0,52.24,1085700,11.88,ALSEA.MX
2006-11-08,52.03,53.49,52.01,53.4,662300,12.14,ALSEA.MX
2006-11-09,54.0,55.5,54.0,55.43,264400,12.6,ALSEA.MX
