Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,21.6,21.7,21.45,21.45,302200,9.12,AMXA.MX
2006-10-03,21.3,21.3,21.28,21.3,120000,9.05,AMXA.MX
2006-10-04,21.65,21.92,21.65,21.92,44400,9.32,AMXA.MX
2006-10-05,21.98,22.2,21.98,22.2,69600,9.44,AMXA.MX
2006-10-06,22.19,22.45,22.19,22.45,169400,9.54,AMXA.MX
2006-10-09,22.23,22.24,22.23,22.24,40000,9.45,AMXA.MX
2006-10-10,22.15,22.15,22.15,22.15,34200,9.42,AMXA.MX
2006-10-11,22.3,22.32,22.15,22.15,326400,9.42,AMXA.MX
2006-10-12,22.25,22.45,22.25,22.41,378000,9.53,AMXA.MX
2006-10-13,22.43,22.7,22.43,22.7,11000,9.65,AMXA.MX
2006-10-16,22.76,23.0,22.75,23.0,84000,9.78,AMXA.MX
2006-10-17,22.8,22.8,22.6,22.8,81800,9.69,AMXA.MX
2006-10-18,22.8,22.92,22.8,22.9,30200,9.73,AMXA.MX
2006-10-19,22.91,23.2,22.83,23.2,470200,9.86,AMXA.MX
2006-10-20,23.21,23.3,23.21,23.3,43400,9.9,AMXA.MX
2006-10-23,23.3,23.3,23.3,23.3,200,9.9,AMXA.MX
2006-10-24,23.3,23.7,23.3,23.5,263000,9.99,AMXA.MX
2006-10-25,23.45,23.6,23.45,23.6,614200,10.03,AMXA.MX
2006-10-26,23.58,23.58,23.58,23.58,23600,10.02,AMXA.MX
2006-10-27,22.77,22.77,22.77,22.77,35200,9.68,AMXA.MX
2006-10-30,22.15,22.15,22.0,22.0,119000,9.35,AMXA.MX
2006-10-31,22.5,23.0,22.4,23.0,304400,9.78,AMXA.MX
2006-11-01,23.39,23.4,23.39,23.4,101800,9.95,AMXA.MX
2006-11-03,22.65,22.65,22.65,22.65,8200,9.63,AMXA.MX
2006-11-06,23.12,23.45,23.12,23.45,606400,9.97,AMXA.MX
2006-11-07,23.5,23.8,23.5,23.7,172000,10.07,AMXA.MX
2006-11-08,23.2,23.6,23.2,23.6,151000,10.03,AMXA.MX
2006-11-09,23.3,23.3,23.3,23.3,2000,9.9,AMXA.MX
2006-11-10,23.2,23.25,23.1,23.25,8600,9.88,AMXA.MX
2006-11-13,23.25,23.35,23.25,23.35,92400,9.93,AMXA.MX
2006-11-14,24.0,24.0,23.55,23.55,76200,10.01,AMXA.MX
2006-11-15,23.51,23.68,23.45,23.54,70000,10.01,AMXA.MX
2006-11-16,23.65,23.88,23.65,23.75,120000,10.1,AMXA.MX
2006-11-17,23.5,23.5,23.45,23.46,861200,9.97,AMXA.MX
2006-11-21,24.25,24.4,24.02,24.34,597600,10.35,AMXA.MX
