Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2009-02-23,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-02-24,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-02-25,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-02-26,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-02-27,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-02,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-03,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-04,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-05,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-06,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-09,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-10,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-11,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-12,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-13,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-17,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-18,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-19,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-20,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-23,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-24,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-25,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-26,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-27,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-30,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
2009-03-31,25.0,25.0,25.0,25.0,0,12.35,ARISTOSA.MX
