Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-11-02,41.29,41.29,41.29,41.29,0,35.79,ASURB.MX
2006-11-20,45.0,45.0,45.0,45.0,0,39.01,ASURB.MX
2006-12-01,48.48,48.48,48.48,48.48,0,42.02,ASURB.MX
2006-12-12,48.69,48.69,48.69,48.69,0,42.2,ASURB.MX
2006-12-25,46.34,46.34,46.34,46.34,0,40.17,ASURB.MX
2007-01-01,45.82,45.82,45.82,45.82,0,39.72,ASURB.MX
2007-02-05,47.38,47.38,47.38,47.38,0,41.07,ASURB.MX
2007-03-19,49.68,49.68,49.68,49.68,0,43.06,ASURB.MX
2007-04-05,52.73,52.73,52.73,52.73,0,45.71,ASURB.MX
2007-04-06,52.73,52.73,52.73,52.73,0,45.71,ASURB.MX
2007-05-01,52.83,52.83,52.83,52.83,0,45.79,ASURB.MX
2007-11-02,62.27,62.27,62.27,62.27,0,53.98,ASURB.MX
2007-11-19,60.9,60.9,60.9,60.9,0,52.79,ASURB.MX
2007-12-12,65.34,65.34,65.34,65.34,0,56.64,ASURB.MX
2007-12-25,64.55,64.55,64.55,64.55,0,55.95,ASURB.MX
2007-12-31,66.45,67.16,66.33,66.91,126900,58.0,ASURB.MX
2008-01-01,66.91,66.91,66.91,66.91,0,58.0,ASURB.MX
2008-01-02,67.16,67.74,65.36,65.91,269200,57.13,ASURB.MX
2008-01-03,65.64,67.02,65.64,65.91,394300,57.13,ASURB.MX
2008-01-04,65.78,67.28,65.7,67.07,183800,58.14,ASURB.MX
2008-01-07,67.49,67.64,66.8,66.92,423700,58.01,ASURB.MX
2008-01-08,66.95,67.65,66.58,66.75,501500,57.86,ASURB.MX
2008-01-09,66.4,66.97,64.74,65.59,285400,56.85,ASURB.MX
2008-01-10,65.59,67.25,65.41,66.52,714200,57.66,ASURB.MX
2008-01-11,66.75,67.27,66.3,66.92,238500,58.01,ASURB.MX
2008-01-14,66.92,67.32,65.92,67.09,258500,58.15,ASURB.MX
2008-01-15,67.37,68.3,67.25,67.49,449200,58.5,ASURB.MX
2008-01-16,67.0,67.0,64.87,65.15,633100,56.47,ASURB.MX
2008-01-17,65.15,65.9,62.87,63.09,401200,54.69,ASURB.MX
2008-01-18,64.04,64.23,61.98,62.22,193000,53.93,ASURB.MX
2008-01-21,62.22,62.4,61.0,61.12,120400,52.98,ASURB.MX
2008-01-22,61.31,61.75,59.24,59.89,462900,51.91,ASURB.MX
2008-01-23,59.0,60.31,57.11,60.3,358900,52.27,ASURB.MX
2008-01-24,60.35,61.29,59.54,60.47,295200,52.41,ASURB.MX
2008-01-25,60.97,61.45,60.7,60.88,324600,52.77,ASURB.MX
2008-01-28,60.02,60.19,57.07,58.72,552300,50.9,ASURB.MX
2008-01-29,58.72,58.72,57.2,57.69,659000,50.01,ASURB.MX
2008-01-30,58.52,59.17,57.24,57.74,1359500,50.05,ASURB.MX
2008-01-31,57.56,59.5,57.43,59.0,4397100,51.14,ASURB.MX
2008-02-01,59.11,59.67,58.8,59.07,1154500,51.2,ASURB.MX
2008-02-04,59.07,59.07,59.07,59.07,0,51.2,ASURB.MX
2008-02-05,57.0,57.59,55.73,55.99,997500,48.53,ASURB.MX
2008-02-06,56.2,57.5,56.2,56.59,273200,49.05,ASURB.MX
2008-02-07,58.99,59.0,56.09,57.66,109300,49.98,ASURB.MX
2008-02-08,57.5,57.84,56.02,57.25,354300,49.62,ASURB.MX
2008-02-11,57.0,58.73,57.0,58.4,364100,50.62,ASURB.MX
2008-02-12,58.8,59.5,58.58,58.8,139300,50.97,ASURB.MX
2008-02-13,59.0,59.5,58.08,58.66,112400,50.85,ASURB.MX
2008-02-14,58.5,59.3,57.9,58.72,722200,50.9,ASURB.MX
2008-02-15,58.15,58.77,58.15,58.63,132600,50.82,ASURB.MX
2008-02-18,58.64,58.7,58.64,58.7,19700,50.88,ASURB.MX
2008-02-19,58.77,60.13,58.7,59.93,1321900,51.95,ASURB.MX
2008-02-20,60.0,60.32,59.93,60.14,356200,52.13,ASURB.MX
2008-02-21,60.4,60.4,57.81,58.05,191200,50.32,ASURB.MX
2008-02-22,59.5,59.5,56.03,57.17,182500,49.55,ASURB.MX
2008-02-25,57.0,57.57,56.58,57.22,161300,49.6,ASURB.MX
2008-02-26,57.22,57.75,56.67,57.64,367700,49.96,ASURB.MX
2008-02-27,57.65,57.84,57.2,57.54,379600,49.88,ASURB.MX
2008-02-28,57.49,58.35,57.26,58.21,239300,50.46,ASURB.MX
2008-02-29,57.89,57.89,55.3,55.65,716200,48.24,ASURB.MX
2008-03-03,55.0,55.0,53.0,54.49,553400,47.23,ASURB.MX
2008-03-04,53.9,54.2,53.46,54.02,482400,46.82,ASURB.MX
2008-03-05,54.0,55.12,53.98,54.63,173000,47.35,ASURB.MX
2008-03-06,54.96,57.1,54.65,55.82,1137900,48.38,ASURB.MX
2008-03-07,55.0,56.3,55.0,55.02,223700,47.69,ASURB.MX
2008-03-10,55.0,56.8,55.0,56.46,155500,48.94,ASURB.MX
2008-03-11,56.79,57.03,55.79,56.78,178600,49.22,ASURB.MX
2008-03-12,56.8,57.7,56.25,56.55,290300,49.02,ASURB.MX
2008-03-13,57.1,58.48,56.62,58.17,337800,50.42,ASURB.MX
2008-03-14,58.36,58.5,57.09,58.0,341700,50.27,ASURB.MX
2008-03-18,57.47,59.4,57.2,59.01,276600,51.15,ASURB.MX
2008-03-19,59.01,59.45,58.75,58.95,220300,51.1,ASURB.MX
2008-03-20,58.95,58.95,58.95,58.95,0,51.1,ASURB.MX
2008-03-21,58.95,58.95,58.95,58.95,0,51.1,ASURB.MX
2008-03-24,59.7,60.12,58.71,58.96,294300,51.11,ASURB.MX
2008-03-25,58.94,60.37,58.9,59.83,250000,51.86,ASURB.MX
2008-03-26,59.8,59.89,58.64,59.6,281100,51.66,ASURB.MX
2008-03-27,59.6,60.02,59.16,59.24,100500,51.35,ASURB.MX
2008-03-28,59.85,60.0,59.26,59.94,204400,51.96,ASURB.MX
2008-03-31,59.95,61.0,59.59,60.77,997200,52.68,ASURB.MX
2008-04-01,61.01,62.52,61.01,61.77,1576400,53.54,ASURB.MX
2008-04-02,61.81,63.49,61.35,62.96,697200,54.57,ASURB.MX
2008-04-03,62.22,64.63,62.22,64.31,334100,55.74,ASURB.MX
2008-04-04,64.34,67.38,64.34,65.99,523000,57.2,ASURB.MX
2008-04-07,65.99,66.34,63.86,64.76,286000,56.13,ASURB.MX
2008-04-08,64.76,65.67,64.56,65.05,260900,56.38,ASURB.MX
2008-04-09,61.3,65.53,61.3,64.79,351400,56.16,ASURB.MX
2008-04-10,64.44,64.72,64.11,64.27,403500,55.71,ASURB.MX
2008-04-11,63.03,63.11,61.3,61.77,560400,53.54,ASURB.MX
2008-04-14,62.23,62.36,61.0,61.12,135100,52.98,ASURB.MX
2008-04-15,61.35,61.69,61.01,61.19,262500,53.04,ASURB.MX
2008-04-16,61.07,62.12,61.07,61.98,312100,53.72,ASURB.MX
2008-04-17,62.01,62.19,61.0,61.7,315800,53.48,ASURB.MX
2008-04-18,61.93,61.93,61.21,61.57,665100,53.37,ASURB.MX
2008-04-21,61.86,61.93,61.16,61.45,343500,53.26,ASURB.MX
2008-04-22,61.37,63.22,61.24,61.41,1539000,53.23,ASURB.MX
2008-04-23,61.45,61.65,60.45,60.48,566000,52.42,ASURB.MX
2008-04-24,60.57,61.0,60.1,60.21,187500,52.19,ASURB.MX
2008-04-25,60.6,62.8,60.52,61.39,245900,53.21,ASURB.MX
2008-04-28,61.39,61.5,61.03,61.3,296200,53.13,ASURB.MX
2008-04-29,61.5,61.5,58.36,58.46,331000,50.67,ASURB.MX
2008-04-30,58.99,59.42,58.41,58.97,952300,51.11,ASURB.MX
2008-05-01,58.97,58.97,58.97,58.97,0,51.11,ASURB.MX
2008-05-02,58.97,59.9,58.97,59.56,138700,51.63,ASURB.MX
2008-05-05,59.61,59.72,59.0,59.05,292600,51.18,ASURB.MX
2008-05-06,59.0,61.0,58.8,59.25,157900,51.36,ASURB.MX
2008-05-07,59.24,60.11,58.5,58.87,602700,51.03,ASURB.MX
2008-05-08,58.86,59.49,58.86,59.47,108100,51.55,ASURB.MX
