Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,2.44,2.44,2.36,2.36,0,2.16,AUTLANB.MX
2006-11-02,3.04,3.04,3.04,3.04,0,2.78,AUTLANB.MX
2006-11-20,3.07,3.07,3.07,3.07,0,2.81,AUTLANB.MX
2006-12-01,3.04,3.04,3.04,3.04,0,2.78,AUTLANB.MX
2006-12-12,3.13,3.13,3.13,3.13,0,2.86,AUTLANB.MX
2006-12-25,3.04,3.04,3.04,3.04,0,2.78,AUTLANB.MX
2007-01-01,3.13,3.13,3.13,3.13,0,2.86,AUTLANB.MX
2007-02-05,4.12,4.12,4.12,4.12,0,3.77,AUTLANB.MX
2007-03-19,4.6,4.6,4.6,4.6,0,4.21,AUTLANB.MX
2007-04-05,5.18,5.18,5.18,5.18,0,4.74,AUTLANB.MX
2007-04-06,5.18,5.18,5.18,5.18,0,4.74,AUTLANB.MX
2007-05-01,4.94,4.94,4.94,4.94,0,4.52,AUTLANB.MX
2007-11-02,15.28,15.28,15.28,15.28,0,13.97,AUTLANB.MX
2007-11-19,18.09,18.09,18.09,18.09,0,16.54,AUTLANB.MX
2007-12-12,18.68,18.68,18.68,18.68,0,17.08,AUTLANB.MX
2007-12-25,19.58,19.58,19.58,19.58,0,17.9,AUTLANB.MX
2007-12-31,19.49,19.6,19.11,19.47,107600,17.8,AUTLANB.MX
2008-01-01,19.47,19.47,19.47,19.47,0,17.8,AUTLANB.MX
2008-01-02,19.11,20.0,19.11,19.89,155700,18.19,AUTLANB.MX
2008-01-03,20.0,21.0,19.7,19.77,781800,18.08,AUTLANB.MX
2008-01-04,19.8,19.81,19.0,19.5,382600,17.83,AUTLANB.MX
2008-01-07,19.9,19.9,18.66,18.94,634100,17.32,AUTLANB.MX
2008-01-08,18.93,19.89,18.8,19.3,608500,17.65,AUTLANB.MX
2008-01-09,19.3,19.74,19.3,19.65,437800,17.97,AUTLANB.MX
2008-01-10,19.65,19.7,19.39,19.62,121300,17.94,AUTLANB.MX
2008-01-11,19.82,19.83,19.47,19.64,328000,17.96,AUTLANB.MX
2008-01-14,19.32,19.69,19.32,19.48,170000,17.81,AUTLANB.MX
2008-01-15,19.32,19.5,18.8,19.11,438900,17.47,AUTLANB.MX
2008-01-16,19.5,19.5,18.4,18.8,437200,17.19,AUTLANB.MX
2008-01-17,18.4,18.99,17.7,17.91,992100,16.38,AUTLANB.MX
2008-01-18,18.2,18.49,17.54,17.62,407400,16.11,AUTLANB.MX
2008-01-21,17.5,17.5,15.61,15.8,694500,14.45,AUTLANB.MX
2008-01-22,15.8,18.0,15.8,17.2,762200,15.73,AUTLANB.MX
2008-01-23,17.0,19.0,16.74,18.3,1470000,16.73,AUTLANB.MX
2008-01-24,18.6,18.9,17.85,18.03,978700,16.49,AUTLANB.MX
2008-01-25,18.7,18.7,18.01,18.06,745100,16.51,AUTLANB.MX
2008-01-28,18.05,18.5,17.7,18.21,351800,16.65,AUTLANB.MX
2008-01-29,18.2,18.45,18.2,18.32,959400,16.75,AUTLANB.MX
2008-01-30,18.32,18.45,18.25,18.31,217300,16.74,AUTLANB.MX
2008-01-31,18.44,19.5,17.74,19.32,1603000,17.67,AUTLANB.MX
2008-02-01,19.6,20.89,19.6,19.72,1202400,18.03,AUTLANB.MX
2008-02-04,19.72,19.72,19.72,19.72,0,18.03,AUTLANB.MX
2008-02-05,19.89,19.9,18.9,18.99,288000,17.36,AUTLANB.MX
2008-02-06,19.3,19.5,19.0,19.15,771200,17.51,AUTLANB.MX
2008-02-07,19.19,19.45,18.87,19.33,354400,17.67,AUTLANB.MX
2008-02-08,19.35,19.9,19.3,19.67,321100,17.99,AUTLANB.MX
2008-02-11,19.6,20.95,19.5,20.88,1243900,19.09,AUTLANB.MX
2008-02-12,20.9,22.5,20.9,21.81,2774600,19.94,AUTLANB.MX
2008-02-13,22.15,22.45,21.81,22.3,1085300,20.39,AUTLANB.MX
2008-02-14,22.45,22.5,22.0,22.16,794200,20.26,AUTLANB.MX
2008-02-15,22.16,22.5,22.0,22.47,575500,20.55,AUTLANB.MX
2008-02-18,22.52,23.0,22.52,22.96,1630300,20.99,AUTLANB.MX
2008-02-19,23.0,23.15,21.8,21.9,3139000,20.02,AUTLANB.MX
2008-02-20,21.8,22.2,21.01,22.0,1184200,20.12,AUTLANB.MX
2008-02-21,22.15,22.4,21.4,21.54,839100,19.7,AUTLANB.MX
2008-02-22,21.41,21.85,20.7,21.35,1256000,19.52,AUTLANB.MX
2008-02-25,21.55,22.2,21.3,22.11,1206100,20.22,AUTLANB.MX
2008-02-26,22.17,22.43,21.91,22.14,918000,20.24,AUTLANB.MX
2008-02-27,22.3,22.38,22.0,22.02,344300,20.13,AUTLANB.MX
2008-02-28,22.34,22.34,21.52,21.78,674100,19.91,AUTLANB.MX
2008-02-29,21.52,22.05,21.0,21.08,740300,19.27,AUTLANB.MX
2008-03-03,21.08,21.69,20.99,21.41,384100,19.58,AUTLANB.MX
2008-03-04,21.41,22.2,21.0,21.29,1006800,19.47,AUTLANB.MX
2008-03-05,21.29,21.7,21.1,21.27,1032300,19.45,AUTLANB.MX
2008-03-06,21.35,21.57,21.01,21.1,162300,19.29,AUTLANB.MX
2008-03-07,21.24,21.6,21.0,21.16,445300,19.35,AUTLANB.MX
2008-03-10,21.49,21.6,20.9,20.92,173400,19.13,AUTLANB.MX
2008-03-11,21.0,21.5,20.9,21.43,218500,19.59,AUTLANB.MX
2008-03-12,21.4,21.85,21.35,21.43,329400,19.59,AUTLANB.MX
2008-03-13,21.47,21.58,20.8,21.46,227200,19.62,AUTLANB.MX
2008-03-14,21.49,21.66,21.1,21.16,287600,19.35,AUTLANB.MX
2008-03-18,21.54,21.54,21.1,21.45,198600,19.61,AUTLANB.MX
2008-03-19,21.8,21.82,21.27,21.56,99600,19.71,AUTLANB.MX
2008-03-20,21.56,21.56,21.56,21.56,0,19.71,AUTLANB.MX
2008-03-21,21.56,21.56,21.56,21.56,0,19.71,AUTLANB.MX
2008-03-24,21.55,22.2,21.55,21.86,904500,19.99,AUTLANB.MX
2008-03-25,21.99,22.25,21.6,21.84,317700,19.97,AUTLANB.MX
2008-03-26,21.66,22.24,21.5,22.16,639500,20.26,AUTLANB.MX
2008-03-27,22.05,22.1,21.7,21.86,417900,19.99,AUTLANB.MX
2008-03-28,21.86,22.24,21.86,22.16,414300,20.26,AUTLANB.MX
2008-03-31,22.19,22.2,22.05,22.1,174500,20.21,AUTLANB.MX
2008-04-01,22.0,22.95,22.0,22.29,1889600,20.38,AUTLANB.MX
2008-04-02,25.61,26.0,22.01,25.61,0,23.42,AUTLANB.MX
2008-04-03,26.01,27.95,26.01,27.23,6186400,24.9,AUTLANB.MX
2008-04-04,27.23,27.73,26.9,27.09,1902400,24.77,AUTLANB.MX
2008-04-07,27.49,27.49,26.8,27.01,1545800,24.7,AUTLANB.MX
2008-04-08,26.9,27.35,26.9,27.3,702100,24.96,AUTLANB.MX
2008-04-09,29.24,29.9,27.31,29.24,0,26.74,AUTLANB.MX
2008-04-10,29.88,31.0,29.24,30.96,2917000,28.31,AUTLANB.MX
2008-04-11,31.0,32.0,30.0,30.6,3373900,27.98,AUTLANB.MX
