Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,22.8,22.8,22.8,22.8,16729200,7.6
2006-10-03,22.8,23.43,22.71,23.19,7329600,7.73
2006-10-04,23.31,24.21,23.31,24.21,3266100,8.07
2006-10-05,24.3,24.6,24.0,24.15,16639200,8.05
2006-10-06,24.0,24.0,23.85,23.91,2232900,7.97
2006-10-09,23.91,23.91,23.19,23.19,8100,7.73
2006-10-10,23.19,23.19,22.5,22.53,2162700,7.51
2006-10-11,22.53,22.53,22.5,22.5,4849200,7.5
2006-10-12,22.5,22.5,22.2,22.5,4986900,7.5
2006-10-13,22.5,22.5,22.5,22.5,333900,7.5
2006-10-16,22.5,22.5,22.5,22.5,6482700,7.5
2006-10-17,22.41,22.41,21.99,21.99,1922400,7.33
2006-10-18,21.99,21.99,21.81,21.81,1170900,7.27
2006-10-19,21.99,21.99,21.99,21.99,1076400,7.33
2006-10-20,21.9,22.02,21.9,21.99,36274500,7.33
2006-10-23,21.99,22.2,21.9,21.99,10609200,7.33
2006-10-24,21.99,21.99,21.9,21.9,3115800,7.3
2006-10-25,21.9,22.02,21.75,21.81,27076500,7.27
2006-10-26,22.59,24.0,21.99,23.76,29916900,7.92
2006-10-27,23.97,23.97,23.19,23.31,2455200,7.77
2006-10-30,23.01,23.28,22.59,23.28,9333000,7.76
2006-10-31,23.31,23.49,23.01,23.01,4752900,7.67
2006-11-01,23.49,23.49,23.19,23.4,31394700,7.8
2006-11-02,23.4,23.4,23.4,23.4,0,7.8
2006-11-03,23.7,23.79,23.46,23.52,6688800,7.84
2006-11-06,23.52,23.61,23.46,23.49,21239100,7.83
2006-11-07,23.61,24.09,23.49,24.0,12688200,8.0
2006-11-08,24.0,24.27,23.91,24.21,5474700,8.07
2006-11-09,24.09,24.27,24.09,24.27,3499200,8.09
2006-11-10,24.24,24.24,24.06,24.15,5955300,8.05
2006-11-13,24.09,24.09,24.09,24.09,963000,8.03
2006-11-14,24.21,24.21,23.94,24.0,4249800,8.0
2006-11-15,23.94,23.94,23.76,23.76,465300,7.92
2006-11-16,23.67,24.0,23.67,23.79,11444400,7.93
2006-11-17,23.7,23.76,23.7,23.76,2609100,7.92
2006-11-20,23.76,23.76,23.76,23.76,0,7.92
2006-11-21,23.76,24.0,23.76,24.0,1334700,8.0
2006-11-22,24.24,24.36,24.21,24.36,2100600,8.12
2006-11-23,24.24,24.51,24.24,24.51,1088100,8.17
2006-11-24,24.54,24.99,24.54,24.99,1080000,8.33
2006-11-27,25.11,25.5,25.11,25.26,5909400,8.42
2006-11-28,25.26,25.8,25.26,25.77,7395300,8.59
2006-11-29,25.44,26.82,25.41,26.76,9841500,8.92
2006-11-30,26.79,26.82,26.49,26.7,8935200,8.9
2006-12-01,26.7,26.7,26.7,26.7,0,8.9
2006-12-04,26.76,27.24,26.76,26.79,4251600,8.93
2006-12-05,26.79,27.0,26.79,26.79,203793300,8.93
2006-12-06,26.82,27.21,26.79,27.21,5579100,9.07
2006-12-07,27.75,29.01,27.75,28.5,19225800,9.5
2006-12-08,28.5,28.89,28.05,28.83,10513800,9.61
2006-12-11,29.01,29.37,29.01,29.37,4797900,9.79
2006-12-12,29.37,29.37,29.37,29.37,0,9.79
2006-12-13,29.49,29.73,29.16,29.25,17775000,9.75
2006-12-14,29.25,29.25,28.59,28.74,27092700,9.58
2006-12-15,28.71,29.31,28.71,29.1,33188400,9.7
2006-12-18,29.16,29.91,29.16,29.79,67285800,9.93
2006-12-19,29.7,30.51,29.7,30.51,10611900,10.17
2006-12-20,30.51,32.52,30.0,31.98,27555300,10.66
2006-12-21,32.01,32.4,31.98,31.98,11181600,10.66
2006-12-22,31.89,32.01,31.89,31.92,802800,10.64
2006-12-25,31.92,31.92,31.92,31.92,0,10.64
2006-12-26,32.1,32.31,32.01,32.31,558000,10.77
2006-12-27,32.34,33.0,32.31,32.37,1131300,10.79
2006-12-28,32.37,32.4,32.34,32.34,813600,10.78
2006-12-29,32.4,33.0,32.4,33.0,519300,11.0
2007-01-01,33.0,33.0,33.0,33.0,0,11.0
2007-01-02,33.51,33.99,33.51,33.99,4044600,11.33
2007-01-03,34.26,34.29,33.96,33.99,17406000,11.33
2007-01-04,33.99,37.02,33.9,36.33,10669500,12.11
2007-01-05,36.0,36.0,35.49,35.82,3116700,11.94
2007-01-08,35.79,36.12,35.7,36.09,4082400,12.03
2007-01-09,36.0,36.0,35.28,36.0,27693900,12.0
2007-01-10,35.76,35.76,35.49,35.61,2882700,11.87
2007-01-11,35.79,36.3,35.79,36.12,8426700,12.04
2007-01-12,36.15,36.21,36.06,36.18,11885400,12.06
2007-01-15,36.24,36.99,36.18,36.99,315000,12.33
2007-01-16,37.11,37.11,36.9,36.93,891000,12.31
2007-01-17,36.75,36.75,36.21,36.6,7921800,12.2
2007-01-18,36.51,36.51,35.91,35.91,64431900,11.97
2007-01-19,35.91,35.91,35.61,35.73,25768800,11.91
2007-01-22,35.49,35.61,35.01,35.28,17862300,11.76
2007-01-23,35.19,36.09,35.19,36.03,11615400,12.01
2007-01-24,36.06,36.99,36.0,36.99,2298600,12.33
2007-01-25,37.02,37.59,36.99,37.5,1617300,12.5
2007-01-26,36.99,37.74,36.51,37.74,3330000,12.58
2007-01-29,37.74,37.74,37.41,37.62,2505600,12.54
2007-01-30,37.59,38.01,37.44,37.56,20057400,12.52
2007-01-31,37.5,38.01,37.5,37.8,16176600,12.6
2007-02-01,37.8,39.09,37.8,39.06,999000,13.02
2007-02-02,39.21,39.21,38.49,38.79,3275100,12.93
2007-02-05,38.79,38.79,38.79,38.79,0,12.93
2007-02-06,39.21,39.6,39.21,39.6,2844000,13.2
2007-02-07,39.6,41.85,39.6,41.55,5877900,13.85
2007-02-08,41.4,42.0,40.95,41.25,16119900,13.75
2007-02-09,40.98,40.98,39.99,40.5,668700,13.5
2007-02-12,40.5,40.5,39.9,39.93,17725500,13.31
2007-02-13,39.93,39.93,39.51,39.84,17624700,13.28
2007-02-14,39.99,40.14,39.81,39.81,3872700,13.27
2007-02-15,39.99,41.19,39.96,40.86,33044400,13.62
2007-02-16,41.01,42.51,41.01,42.21,21919500,14.07
2007-02-19,42.3,42.6,42.0,42.6,1682100,14.2
2007-02-20,42.6,43.29,42.6,43.2,9135000,14.4
2007-02-21,42.99,42.99,42.0,42.15,18467100,14.05
