Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-03-13,8.94,8.94,8.94,8.94,0,8.94,AZTECACPO.MX
2000-03-21,8.54,8.54,8.54,8.54,0,8.54,AZTECACPO.MX
2000-04-20,6.48,6.48,6.48,6.48,0,6.48,AZTECACPO.MX
2000-04-21,6.48,6.48,6.48,6.48,0,6.48,AZTECACPO.MX
2000-05-01,6.5,6.5,6.5,6.5,0,6.5,AZTECACPO.MX
2000-05-05,6.4,6.4,6.4,6.4,0,6.4,AZTECACPO.MX
2000-06-06,6.3,6.3,6.3,6.3,0,6.3,AZTECACPO.MX
2000-10-05,7.66,7.66,7.66,7.66,0,7.66,AZTECACPO.MX
2000-10-24,7.2,7.2,7.2,7.2,0,7.2,AZTECACPO.MX
2000-11-02,7.52,7.52,7.52,7.52,0,7.52,AZTECACPO.MX
2000-11-14,7.04,7.04,7.04,7.04,0,7.04,AZTECACPO.MX
2000-11-20,7.64,7.64,7.64,7.64,0,7.64,AZTECACPO.MX
2000-12-01,5.92,5.92,5.92,5.92,0,5.92,AZTECACPO.MX
2000-12-12,6.62,6.62,6.62,6.62,0,6.62,AZTECACPO.MX
2001-01-01,5.84,5.84,5.84,5.84,0,5.84,AZTECACPO.MX
2001-03-21,4.86,4.86,4.86,4.86,0,4.86,AZTECACPO.MX
2001-04-12,4.37,4.37,4.37,4.37,0,4.37,AZTECACPO.MX
2001-04-13,4.37,4.37,4.37,4.37,0,4.37,AZTECACPO.MX
2001-05-01,4.31,4.31,4.31,4.31,0,4.31,AZTECACPO.MX
2001-05-02,4.31,4.31,4.31,4.31,0,4.31,AZTECACPO.MX
2001-05-09,4.05,4.05,4.05,4.05,0,4.05,AZTECACPO.MX
2001-05-30,5.0,5.0,5.0,5.0,0,5.0,AZTECACPO.MX
2001-07-04,3.99,3.99,3.99,3.99,0,3.99,AZTECACPO.MX
2001-09-12,3.41,3.41,2.82,2.82,0,2.82,AZTECACPO.MX
2001-09-13,3.41,3.41,2.82,2.82,0,2.82,AZTECACPO.MX
2001-09-14,3.41,3.41,2.82,2.82,0,2.82,AZTECACPO.MX
2001-09-24,2.55,2.55,2.55,2.55,0,2.55,AZTECACPO.MX
2001-10-12,2.76,2.76,2.76,2.76,0,2.76,AZTECACPO.MX
2001-11-20,3.11,3.11,3.11,3.11,0,3.11,AZTECACPO.MX
2001-12-12,3.59,3.59,3.59,3.59,0,3.59,AZTECACPO.MX
2001-12-25,3.79,3.79,3.79,3.79,0,3.79,AZTECACPO.MX
2002-01-01,3.76,3.76,3.76,3.76,0,3.76,AZTECACPO.MX
2002-02-05,4.49,4.49,4.49,4.49,0,4.49,AZTECACPO.MX
2002-02-28,4.4,4.4,4.4,4.4,0,4.4,AZTECACPO.MX
2002-03-21,4.83,4.83,4.83,4.83,0,4.83,AZTECACPO.MX
2002-03-28,4.83,4.83,4.83,4.83,0,4.83,AZTECACPO.MX
2002-03-29,4.83,4.83,4.83,4.83,0,4.83,AZTECACPO.MX
2002-05-01,4.71,4.71,4.71,4.71,0,4.71,AZTECACPO.MX
2002-09-16,3.85,3.85,3.85,3.85,0,3.85,AZTECACPO.MX
2002-11-20,2.7,2.7,2.7,2.7,0,2.7,AZTECACPO.MX
2002-12-12,3.13,3.13,3.13,3.13,0,3.13,AZTECACPO.MX
2002-12-25,3.1,3.1,3.1,3.1,0,3.1,AZTECACPO.MX
2003-01-01,3.05,3.05,3.05,3.05,0,3.05,AZTECACPO.MX
2003-02-05,2.93,2.93,2.93,2.93,0,2.93,AZTECACPO.MX
2003-03-21,3.24,3.24,3.24,3.24,0,3.24,AZTECACPO.MX
2003-04-17,3.2,3.2,3.2,3.2,0,3.2,AZTECACPO.MX
2003-04-18,3.2,3.2,3.2,3.2,0,3.2,AZTECACPO.MX
2003-05-01,3.66,3.66,3.66,3.66,0,3.66,AZTECACPO.MX
2004-09-16,6.72,6.72,6.72,6.72,0,6.72,AZTECACPO.MX
2004-11-19,7.22,7.22,7.2,7.22,947900,7.22,AZTECACPO.MX
2005-03-21,6.18,6.18,6.18,6.18,0,6.18,AZTECACPO.MX
2005-03-24,6.17,6.17,6.17,6.17,0,6.17,AZTECACPO.MX
2005-03-25,6.17,6.17,6.17,6.17,0,6.17,AZTECACPO.MX
2005-04-22,5.86,5.86,5.76,5.84,678500,5.84,AZTECACPO.MX
2005-09-16,6.64,6.64,6.64,6.64,0,6.64,AZTECACPO.MX
2005-12-12,6.97,6.97,6.97,6.97,0,6.97,AZTECACPO.MX
2006-02-06,7.02,7.02,7.02,7.02,0,7.02,AZTECACPO.MX
2006-03-21,6.95,6.95,6.95,6.95,0,6.95,AZTECACPO.MX
2006-04-13,6.77,6.77,6.77,6.77,0,6.77,AZTECACPO.MX
2006-04-14,6.77,6.77,6.77,6.77,0,6.77,AZTECACPO.MX
2006-11-02,7.44,7.44,7.44,7.44,0,7.44,AZTECACPO.MX
2006-11-20,7.44,7.44,7.44,7.44,0,7.44,AZTECACPO.MX
2006-12-01,7.28,7.28,7.28,7.28,0,7.28,AZTECACPO.MX
2006-12-12,7.75,7.75,7.75,7.75,0,7.75,AZTECACPO.MX
2006-12-25,7.96,7.96,7.96,7.96,0,7.96,AZTECACPO.MX
2007-01-01,8.22,8.22,8.22,8.22,0,8.22,AZTECACPO.MX
2007-02-05,8.9,8.9,8.9,8.9,0,8.9,AZTECACPO.MX
2007-03-19,8.9,8.9,8.9,8.9,0,8.9,AZTECACPO.MX
2007-04-05,10.14,10.14,10.14,10.14,0,10.14,AZTECACPO.MX
2007-04-06,10.14,10.14,10.14,10.14,0,10.14,AZTECACPO.MX
2007-05-01,9.39,9.39,9.39,9.39,0,9.39,AZTECACPO.MX
2007-11-02,6.22,6.22,6.22,6.22,0,6.22,AZTECACPO.MX
2007-11-19,6.27,6.27,6.27,6.27,0,6.27,AZTECACPO.MX
2007-12-12,6.33,6.33,6.33,6.33,0,6.33,AZTECACPO.MX
2007-12-25,6.45,6.45,6.45,6.45,0,6.45,AZTECACPO.MX
2007-12-31,6.49,6.6,6.35,6.49,328800,6.49,AZTECACPO.MX
2008-01-01,6.49,6.49,6.49,6.49,0,6.49,AZTECACPO.MX
2008-01-02,6.55,6.59,6.31,6.32,1175700,6.32,AZTECACPO.MX
2008-01-03,6.32,6.49,6.19,6.25,236000,6.25,AZTECACPO.MX
2008-01-04,6.11,6.2,6.11,6.13,498200,6.13,AZTECACPO.MX
2008-01-07,6.07,6.2,6.05,6.18,842100,6.18,AZTECACPO.MX
2008-01-08,6.2,6.2,6.1,6.18,1393600,6.18,AZTECACPO.MX
2008-01-09,6.18,6.23,6.06,6.14,1977100,6.14,AZTECACPO.MX
2008-01-10,6.2,6.2,6.14,6.17,961400,6.17,AZTECACPO.MX
2008-01-11,6.2,6.28,6.1,6.16,593200,6.16,AZTECACPO.MX
