Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,20.0,20.0,20.0,20.0,0,17.74,BACHOCOB.MX
2006-10-03,20.0,20.0,20.0,20.0,66800,17.74,BACHOCOB.MX
2006-10-04,20.0,20.0,20.0,20.0,33300,17.74,BACHOCOB.MX
2006-10-05,20.0,20.0,20.0,20.0,0,17.74,BACHOCOB.MX
2006-10-06,20.0,20.0,20.0,20.0,80000,17.74,BACHOCOB.MX
2006-10-09,19.99,19.99,19.99,19.99,0,17.74,BACHOCOB.MX
2006-10-10,20.0,20.0,20.0,20.0,3800,17.74,BACHOCOB.MX
2006-10-11,20.0,20.0,20.0,20.0,1000,17.74,BACHOCOB.MX
2006-10-12,20.0,20.0,17.0,17.0,0,15.08,BACHOCOB.MX
2006-10-13,20.0,20.0,17.0,17.0,0,15.08,BACHOCOB.MX
2006-10-16,20.5,20.5,20.5,20.5,0,18.19,BACHOCOB.MX
2006-10-17,20.5,20.5,20.5,20.5,0,18.19,BACHOCOB.MX
2006-10-18,20.5,20.5,20.5,20.5,0,18.19,BACHOCOB.MX
2006-10-19,20.0,20.0,18.21,18.21,0,16.16,BACHOCOB.MX
2006-10-20,19.38,19.38,19.38,19.38,2000,17.19,BACHOCOB.MX
2006-10-23,19.5,19.5,19.24,19.24,4500,17.07,BACHOCOB.MX
2006-10-24,19.32,19.32,19.32,19.32,500,17.14,BACHOCOB.MX
2006-10-25,19.0,19.0,18.75,18.75,0,16.63,BACHOCOB.MX
2006-10-26,18.85,18.85,18.1,18.1,0,16.06,BACHOCOB.MX
2006-10-27,18.72,18.72,18.19,18.19,0,16.14,BACHOCOB.MX
2006-10-30,18.9,19.0,18.7,18.7,2600,16.59,BACHOCOB.MX
2006-10-31,18.76,18.76,18.76,18.76,1000,16.64,BACHOCOB.MX
2006-11-01,18.75,18.75,18.51,18.51,0,16.42,BACHOCOB.MX
2006-11-02,18.51,18.51,18.51,18.51,0,16.42,BACHOCOB.MX
2006-11-03,18.7,18.7,18.5,18.5,0,16.41,BACHOCOB.MX
2006-11-06,18.96,18.96,18.7,18.7,0,16.59,BACHOCOB.MX
2006-11-07,18.96,18.96,18.7,18.7,0,16.59,BACHOCOB.MX
2006-11-08,18.92,18.92,18.7,18.7,0,16.59,BACHOCOB.MX
2006-11-09,18.99,18.99,18.99,18.99,100,16.85,BACHOCOB.MX
2006-11-10,19.14,19.14,19.14,19.14,100,16.98,BACHOCOB.MX
2006-11-13,18.9,18.9,18.75,18.75,0,16.63,BACHOCOB.MX
2006-11-14,18.8,18.8,18.75,18.75,0,16.63,BACHOCOB.MX
2006-11-15,19.04,19.04,18.75,18.75,0,16.63,BACHOCOB.MX
2006-11-16,18.95,18.95,18.75,18.75,0,16.63,BACHOCOB.MX
2006-11-17,19.07,19.07,18.92,18.92,0,16.79,BACHOCOB.MX
2006-11-20,18.92,18.92,18.92,18.92,0,16.79,BACHOCOB.MX
2006-11-21,19.0,19.0,18.99,19.0,7600,16.86,BACHOCOB.MX
2006-11-22,19.0,19.0,19.0,19.0,2500,16.86,BACHOCOB.MX
2006-11-23,19.4,19.4,19.0,19.0,0,16.86,BACHOCOB.MX
2006-11-24,19.2,19.2,19.0,19.0,5500,16.86,BACHOCOB.MX
2006-11-27,19.63,19.63,19.15,19.15,0,16.99,BACHOCOB.MX
2006-11-28,19.8,19.8,19.39,19.39,0,17.2,BACHOCOB.MX
2006-11-29,19.8,19.8,19.63,19.63,0,17.42,BACHOCOB.MX
2006-11-30,19.8,19.8,19.8,19.8,1000,17.57,BACHOCOB.MX
2006-12-01,19.8,19.8,19.8,19.8,0,17.57,BACHOCOB.MX
2006-12-04,20.0,20.0,19.76,19.76,0,17.53,BACHOCOB.MX
2006-12-05,20.0,20.59,20.0,20.0,101000,17.74,BACHOCOB.MX
2006-12-06,21.42,21.42,20.92,20.92,0,18.56,BACHOCOB.MX
2006-12-07,21.7,21.7,21.39,21.39,0,18.98,BACHOCOB.MX
2006-12-08,22.35,22.35,21.94,21.94,0,19.47,BACHOCOB.MX
2006-12-11,22.5,22.5,22.5,22.5,58700,19.96,BACHOCOB.MX
2006-12-12,22.5,22.5,22.5,22.5,0,19.96,BACHOCOB.MX
2006-12-13,22.5,22.6,22.49,22.6,203100,20.05,BACHOCOB.MX
2006-12-14,22.7,22.7,22.6,22.6,1200,20.05,BACHOCOB.MX
2006-12-15,22.42,22.42,22.42,22.42,1200,19.89,BACHOCOB.MX
2006-12-18,22.39,22.5,22.39,22.5,15600,19.96,BACHOCOB.MX
2006-12-19,22.5,22.8,22.5,22.8,97400,20.23,BACHOCOB.MX
2006-12-20,22.8,22.8,22.8,22.8,0,20.23,BACHOCOB.MX
2006-12-21,23.4,23.47,23.35,23.35,97800,20.72,BACHOCOB.MX
2006-12-22,23.98,23.98,23.65,23.65,0,20.98,BACHOCOB.MX
2006-12-25,23.65,23.65,23.65,23.65,0,20.98,BACHOCOB.MX
2006-12-26,23.66,23.66,23.66,23.66,500,20.99,BACHOCOB.MX
2006-12-27,25.69,25.69,25.34,25.34,0,22.48,BACHOCOB.MX
2006-12-28,25.99,25.99,23.62,23.62,0,20.96,BACHOCOB.MX
2006-12-29,26.36,26.36,25.76,25.76,0,22.85,BACHOCOB.MX
2007-01-01,25.76,25.76,25.76,25.76,0,22.85,BACHOCOB.MX
2007-01-02,23.66,23.66,23.66,23.66,0,20.99,BACHOCOB.MX
2007-01-03,24.45,24.45,24.15,24.15,0,21.43,BACHOCOB.MX
2007-01-04,23.66,23.66,23.66,23.66,55900,20.99,BACHOCOB.MX
2007-01-05,23.7,23.7,23.7,23.7,5600,21.03,BACHOCOB.MX
2007-01-08,23.46,23.46,23.15,23.15,0,20.54,BACHOCOB.MX
2007-01-09,23.63,23.63,23.63,23.63,10800,20.96,BACHOCOB.MX
2007-01-10,23.95,23.95,23.4,23.4,0,20.76,BACHOCOB.MX
2007-01-11,23.8,23.8,23.8,23.8,6400,21.12,BACHOCOB.MX
2007-01-12,24.22,24.22,23.8,23.8,0,21.12,BACHOCOB.MX
2007-01-15,24.0,24.0,24.0,24.0,0,21.29,BACHOCOB.MX
2007-01-16,24.0,24.0,24.0,24.0,400,21.29,BACHOCOB.MX
2007-01-17,22.9,22.9,22.2,22.2,7900,19.7,BACHOCOB.MX
2007-01-18,22.0,22.0,21.78,21.78,0,19.32,BACHOCOB.MX
2007-01-19,22.36,22.36,21.88,21.88,0,19.41,BACHOCOB.MX
2007-01-22,23.26,23.26,20.43,20.43,0,18.13,BACHOCOB.MX
2007-01-23,22.8,22.8,22.8,22.8,4000,20.23,BACHOCOB.MX
2007-01-24,23.48,23.48,23.06,23.06,0,20.46,BACHOCOB.MX
2007-01-25,22.96,23.44,22.96,23.4,92600,20.76,BACHOCOB.MX
2007-01-26,25.58,25.58,23.46,23.46,0,20.81,BACHOCOB.MX
