Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,254.5,254.5,252.61,252.61,0,248.53,BBVA.MX
2006-10-03,254.94,255.55,254.9,255.55,6100,251.42,BBVA.MX
2006-10-04,255.55,259.0,255.55,259.0,14500,254.81,BBVA.MX
2006-10-05,262.93,263.5,260.0,263.5,7300,259.24,BBVA.MX
2006-10-06,263.5,263.5,263.5,263.5,2000,259.24,BBVA.MX
2006-10-09,262.59,262.59,262.59,262.59,15700,258.34,BBVA.MX
2006-10-10,261.2,262.3,261.2,261.6,21700,257.37,BBVA.MX
2006-10-11,261.5,261.5,259.5,259.5,76800,255.3,BBVA.MX
2006-10-12,263.5,264.5,261.48,264.2,68100,259.93,BBVA.MX
2006-10-13,259.5,262.5,259.5,262.5,65000,258.26,BBVA.MX
2006-10-16,259.5,261.3,259.5,260.76,65200,256.54,BBVA.MX
2006-10-17,252.86,255.0,252.86,255.0,26100,250.88,BBVA.MX
2006-10-18,255.0,257.0,254.5,257.0,32900,252.84,BBVA.MX
2006-10-19,259.0,259.0,258.9,259.0,61000,254.81,BBVA.MX
2006-10-20,259.0,259.0,257.06,257.06,0,252.9,BBVA.MX
2006-10-23,260.0,260.0,259.5,259.5,3400,255.3,BBVA.MX
2006-10-24,259.5,259.5,256.01,258.15,17900,253.98,BBVA.MX
2006-10-25,259.0,259.0,259.0,259.0,200,254.81,BBVA.MX
2006-10-26,256.0,256.0,254.01,255.96,4000,251.82,BBVA.MX
2006-10-27,257.3,257.3,257.3,257.3,3000,253.14,BBVA.MX
2006-10-30,259.45,259.45,259.45,259.45,500,255.25,BBVA.MX
2006-10-31,260.0,260.0,258.59,258.59,2800,254.41,BBVA.MX
2006-11-01,260.31,260.31,260.31,260.31,1900,256.1,BBVA.MX
2006-11-03,260.0,260.0,260.0,260.0,2400,255.8,BBVA.MX
2006-11-06,262.5,262.5,262.5,262.5,700,258.26,BBVA.MX
2006-11-07,266.97,266.97,265.5,265.5,14200,261.21,BBVA.MX
2006-11-08,268.0,268.0,267.0,267.0,17500,262.68,BBVA.MX
2006-11-09,268.4,268.4,268.4,268.4,17000,264.06,BBVA.MX
2006-11-10,270.08,270.08,270.08,270.08,700,265.71,BBVA.MX
2006-11-13,270.63,270.79,266.66,270.45,41000,266.08,BBVA.MX
2006-11-14,267.1,267.1,261.24,261.24,0,257.02,BBVA.MX
2006-11-15,269.36,269.36,262.63,262.63,0,258.38,BBVA.MX
2006-11-16,269.99,269.99,261.76,261.76,0,257.53,BBVA.MX
2006-11-17,270.0,270.0,269.09,270.0,24600,265.63,BBVA.MX
2006-11-21,270.45,272.5,270.45,272.5,18700,268.09,BBVA.MX
2006-11-22,275.0,277.5,275.0,277.07,44200,272.59,BBVA.MX
2006-11-23,277.07,277.07,277.07,277.07,0,272.59,BBVA.MX
2006-11-24,277.07,277.07,274.02,275.5,86300,271.05,BBVA.MX
2006-11-27,264.7,265.01,263.01,263.01,90600,258.76,BBVA.MX
2006-11-28,263.5,263.5,263.5,263.5,7000,259.24,BBVA.MX
2006-11-29,264.63,266.21,264.63,266.21,5400,261.91,BBVA.MX
2006-11-30,265.92,266.82,265.92,266.82,4700,262.51,BBVA.MX
