Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-19,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-01-21,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-01-24,10.16,10.16,10.0,10.0,0,8.91,BEVIDESB.MX
2000-01-26,10.3,10.3,10.0,10.0,0,8.91,BEVIDESB.MX
2000-01-27,10.3,10.3,10.0,10.0,0,8.91,BEVIDESB.MX
2000-01-28,10.22,10.22,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-11,10.02,10.02,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-15,10.5,10.5,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-16,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-17,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-18,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-21,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-22,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-23,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-02-29,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-03-01,10.2,10.2,10.0,10.0,0,8.91,BEVIDESB.MX
2000-03-08,10.3,10.3,10.0,10.0,0,8.91,BEVIDESB.MX
2000-03-21,11.0,11.0,11.0,11.0,0,9.81,BEVIDESB.MX
2000-03-22,11.0,11.0,10.3,10.3,0,9.18,BEVIDESB.MX
2000-03-27,11.0,11.0,10.5,10.5,0,9.36,BEVIDESB.MX
2000-03-28,11.0,11.0,10.6,10.6,0,9.45,BEVIDESB.MX
2000-04-03,11.0,11.0,10.6,10.6,0,9.45,BEVIDESB.MX
2000-04-06,10.76,10.76,10.34,10.34,0,9.22,BEVIDESB.MX
2000-04-07,10.8,10.8,10.3,10.3,0,9.18,BEVIDESB.MX
2000-04-10,10.7,10.7,7.7,7.7,0,6.86,BEVIDESB.MX
2000-04-11,10.6,10.6,7.7,7.7,0,6.86,BEVIDESB.MX
2000-04-14,10.7,10.7,7.7,7.7,0,6.86,BEVIDESB.MX
2000-04-17,7.7,7.7,7.7,7.7,0,6.86,BEVIDESB.MX
2000-04-18,10.0,10.0,7.3,7.3,0,6.51,BEVIDESB.MX
2000-04-19,10.0,10.0,7.3,7.3,0,6.51,BEVIDESB.MX
2000-04-20,7.3,7.3,7.3,7.3,0,6.51,BEVIDESB.MX
2000-04-21,7.3,7.3,7.3,7.3,0,6.51,BEVIDESB.MX
2000-04-25,10.0,10.0,7.2,7.2,0,6.42,BEVIDESB.MX
2000-04-26,10.0,10.0,7.2,7.2,0,6.42,BEVIDESB.MX
2000-04-27,9.6,9.6,7.2,7.2,0,6.42,BEVIDESB.MX
2000-04-28,9.4,9.4,7.2,7.2,0,6.42,BEVIDESB.MX
2000-05-01,7.2,7.2,7.2,7.2,0,6.42,BEVIDESB.MX
2000-05-02,9.5,9.5,7.0,7.0,0,6.24,BEVIDESB.MX
2000-05-03,8.8,8.8,7.0,7.0,0,6.24,BEVIDESB.MX
2000-05-05,9.79,9.79,9.79,9.79,0,8.73,BEVIDESB.MX
2000-05-09,10.0,10.0,6.0,6.0,0,5.35,BEVIDESB.MX
2000-05-10,10.0,10.0,6.0,6.0,0,5.35,BEVIDESB.MX
2000-05-11,10.0,10.0,9.3,9.3,0,8.29,BEVIDESB.MX
2000-05-12,9.9,9.9,6.0,6.0,0,5.35,BEVIDESB.MX
2000-05-16,9.8,9.8,9.5,9.5,0,8.47,BEVIDESB.MX
2000-05-17,9.8,9.8,6.3,6.3,0,5.62,BEVIDESB.MX
2000-05-19,9.8,9.8,9.0,9.0,0,8.02,BEVIDESB.MX
2000-05-23,9.7,9.7,6.0,6.0,0,5.35,BEVIDESB.MX
