Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,37.81,37.98,37.2,37.55,3335200,8.77
2006-10-03,37.55,37.55,37.3,37.4,1882800,8.73
2006-10-04,37.4,38.0,37.35,38.0,2543600,8.87
2006-10-05,38.0,38.5,37.99,38.12,2450000,8.9
2006-10-06,38.29,38.5,38.0,38.12,746800,8.9
2006-10-09,38.4,38.4,37.0,37.54,513200,8.76
2006-10-10,37.54,38.7,37.54,38.55,1822400,9.0
2006-10-11,38.53,39.1,38.0,38.03,5742800,8.88
2006-10-12,38.0,38.4,37.9,38.27,8988800,8.93
2006-10-13,38.27,38.9,38.15,38.28,6255200,8.94
2006-10-16,38.43,39.0,38.36,38.53,3577200,8.99
2006-10-17,38.49,39.45,38.3,38.98,1965200,9.1
2006-10-18,39.0,40.0,39.0,39.88,2074000,9.31
2006-10-19,39.71,40.0,39.52,39.99,1194000,9.34
2006-10-20,39.99,41.95,39.99,41.22,2786000,9.62
2006-10-23,41.22,41.22,40.48,40.8,2502800,9.52
2006-10-24,40.51,40.8,40.5,40.56,2126000,9.47
2006-10-25,40.5,41.2,40.5,41.2,1112400,9.62
2006-10-26,41.0,42.5,41.0,42.12,2786800,9.83
2006-10-27,42.0,45.1,42.0,42.11,2620400,9.83
2006-10-30,42.11,42.11,41.3,41.63,3722400,9.72
2006-10-31,41.69,43.5,41.69,43.07,4247600,10.05
2006-11-01,42.19,44.7,42.19,43.93,2129600,10.26
2006-11-02,43.93,43.93,43.93,43.93,0,10.26
2006-11-03,43.9,44.1,43.45,43.51,2826400,10.16
2006-11-06,43.51,44.0,43.51,43.68,1616000,10.2
2006-11-07,43.7,43.85,43.0,43.28,3631600,10.1
2006-11-08,43.28,43.7,43.28,43.64,2876400,10.19
2006-11-09,43.7,44.0,43.5,43.55,1437200,10.17
2006-11-10,43.5,44.1,43.2,43.5,2515200,10.15
2006-11-13,43.5,44.25,43.5,44.08,4095600,10.29
2006-11-14,44.0,44.99,43.7,44.12,6297600,10.3
2006-11-15,44.0,44.1,43.8,43.9,1906000,10.25
2006-11-16,43.9,44.0,43.6,43.91,641600,10.25
2006-11-17,43.6,44.21,43.46,44.0,3610000,10.27
2006-11-20,44.0,44.0,44.0,44.0,0,10.27
2006-11-21,44.0,44.4,43.9,44.11,2661200,10.3
2006-11-22,44.26,44.26,43.98,44.04,631600,10.28
2006-11-23,44.04,45.0,44.04,44.31,36000,10.34
2006-11-24,44.21,44.82,44.15,44.2,318800,10.32
2006-11-27,44.21,44.8,43.8,43.97,1572000,10.26
2006-11-28,43.8,44.5,43.0,43.95,1084000,10.26
2006-11-29,44.0,45.1,44.0,44.98,790400,10.5
2006-11-30,44.76,45.4,44.45,45.04,1487200,10.51
2006-12-01,45.04,45.04,45.04,45.04,0,10.51
2006-12-04,45.0,46.0,44.99,45.76,1350000,10.68
2006-12-05,45.76,47.39,45.76,47.24,2225600,11.03
2006-12-06,47.3,49.5,47.2,49.41,1196800,11.53
2006-12-07,49.4,50.2,48.85,49.06,1737200,11.45
2006-12-08,49.4,49.7,48.5,49.35,1066400,11.52
2006-12-11,49.15,49.3,47.97,48.86,2178400,11.41
2006-12-12,48.86,48.86,48.86,48.86,0,11.41
2006-12-13,48.86,49.21,48.5,48.63,4580800,11.35
2006-12-14,48.63,49.29,48.63,49.17,5562800,11.48
2006-12-15,49.3,49.4,49.1,49.2,3261200,11.49
2006-12-18,49.45,50.01,49.39,49.5,845200,11.56
2006-12-19,49.48,49.48,48.64,48.98,2341200,11.43
2006-12-20,48.98,49.46,48.7,49.2,1707600,11.49
2006-12-21,49.33,52.0,49.2,51.28,1967600,11.97
2006-12-22,51.28,52.01,50.57,51.49,793200,12.02
2006-12-25,51.49,51.49,51.49,51.49,0,12.02
2006-12-26,51.69,54.99,51.69,52.79,364800,12.32
2006-12-27,52.79,54.0,52.79,53.13,391200,12.4
2006-12-28,53.13,53.2,52.5,52.97,219200,12.37
2006-12-29,52.97,54.01,52.7,54.0,754000,12.61
2007-01-01,54.0,54.0,54.0,54.0,0,12.61
2007-01-02,54.0,54.0,53.2,53.2,235600,12.42
2007-01-03,53.2,55.5,52.8,55.01,479600,12.84
2007-01-04,54.79,55.3,54.49,55.16,1111200,12.88
2007-01-05,55.14,55.14,53.4,53.78,3549200,12.55
2007-01-08,53.79,54.2,53.4,53.63,2084000,12.52
2007-01-09,53.63,53.63,52.24,52.9,3684800,12.35
2007-01-10,52.5,54.96,50.67,52.95,1318400,12.36
2007-01-11,52.95,54.4,52.95,53.96,2120400,12.6
2007-01-12,53.9,55.7,53.5,55.0,1251600,12.84
2007-01-15,55.0,55.0,54.5,54.99,349200,12.84
2007-01-16,54.99,56.0,54.99,55.99,1094000,13.07
2007-01-17,56.0,56.2,55.1,55.22,1986000,12.89
2007-01-18,55.22,55.5,52.51,54.04,2160400,12.62
2007-01-19,54.02,54.32,52.63,53.26,1836800,12.43
2007-01-22,53.26,54.6,52.41,54.48,1073600,12.72
2007-01-23,53.52,55.51,53.51,54.75,5249600,12.78
2007-01-24,55.0,56.0,54.7,55.96,12147600,13.06
2007-01-25,55.96,56.3,55.03,55.26,6528400,12.9
2007-01-26,55.0,56.05,54.7,55.88,3187600,13.04
2007-01-29,55.6,56.0,52.9,54.76,2184800,12.78
2007-01-30,54.76,55.99,54.71,55.31,1709200,12.91
2007-01-31,55.31,55.41,54.8,55.1,13322400,12.86
2007-02-01,55.1,57.82,55.0,57.24,5742800,13.36
2007-02-02,57.1,57.6,56.15,56.84,5246800,13.27
2007-02-05,56.84,56.84,56.84,56.84,0,13.27
2007-02-06,56.84,57.0,55.95,56.79,1116800,13.26
2007-02-07,56.74,57.35,55.4,56.09,1025600,13.09
2007-02-08,56.08,56.5,55.0,55.65,1811600,12.99
2007-02-09,55.65,56.57,54.75,55.83,1100800,13.03
2007-02-12,55.83,56.0,53.33,55.94,1431600,13.06
2007-02-13,55.94,56.0,55.0,55.2,1973200,12.89
2007-02-14,55.19,56.0,55.19,55.38,2020000,12.93
2007-02-15,55.38,55.95,55.2,55.58,2101600,12.97
2007-02-16,55.66,55.66,55.16,55.49,867200,12.95
2007-02-19,55.49,55.5,54.85,55.45,13699600,12.94
2007-02-20,55.45,55.9,55.3,55.5,2024000,12.96
2007-02-21,55.5,55.5,54.94,55.39,4160000,12.93
2007-02-22,55.39,55.99,54.3,54.82,2132800,12.8
2007-02-23,54.82,54.99,53.15,54.74,2099200,12.78
2007-02-26,54.5,55.25,53.5,54.98,1324000,12.83
2007-02-27,54.0,54.5,52.34,52.96,4757600,12.36
2007-02-28,53.01,53.8,45.51,51.87,3179600,12.11
2007-03-01,51.01,52.9,45.81,51.07,2965200,11.92
2007-03-02,50.15,51.6,49.6,51.08,2228400,11.92
2007-03-05,50.0,51.08,49.0,50.13,2698400,11.7
2007-03-06,50.13,52.47,50.13,51.17,1538000,11.95
2007-03-07,51.5,51.5,49.52,50.33,2007200,11.75
