Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2008-06-13,18.2,20.0,16.4,16.49,125989800,13.7,BOLSAA.MX
2008-06-16,16.5,16.98,16.2,16.36,15919100,13.59,BOLSAA.MX
2008-06-17,16.4,16.44,15.4,15.51,18128400,12.88,BOLSAA.MX
2008-06-18,15.6,15.7,15.1,15.54,7887700,12.91,BOLSAA.MX
2008-06-19,15.52,15.88,15.22,15.54,6927200,12.91,BOLSAA.MX
2008-06-20,15.59,15.94,15.5,15.87,5192500,13.18,BOLSAA.MX
2008-06-23,15.98,16.06,15.15,15.21,2581600,12.63,BOLSAA.MX
2008-06-24,15.2,15.2,14.55,15.01,3129700,12.47,BOLSAA.MX
2008-06-25,15.0,15.3,14.7,14.91,2892000,12.39,BOLSAA.MX
2008-06-26,14.65,14.93,14.61,14.87,3785800,12.35,BOLSAA.MX
2008-06-27,14.75,14.98,14.74,14.9,1824900,12.38,BOLSAA.MX
2008-06-30,14.9,15.0,14.5,14.55,2109300,12.09,BOLSAA.MX
2008-07-01,14.48,14.5,14.11,14.41,4075600,11.97,BOLSAA.MX
2008-07-02,14.3,14.49,13.5,13.85,3548800,11.5,BOLSAA.MX
2008-07-03,13.9,14.0,13.7,13.98,3177400,11.61,BOLSAA.MX
2008-07-04,13.7,14.14,13.7,14.02,1282000,11.65,BOLSAA.MX
2008-07-07,14.05,14.15,13.7,13.86,2981600,11.51,BOLSAA.MX
2008-07-08,13.89,13.99,13.5,13.85,2345100,11.5,BOLSAA.MX
2008-07-09,14.0,14.0,13.56,13.73,2716700,11.41,BOLSAA.MX
2008-07-10,13.56,13.9,13.56,13.68,1393200,11.36,BOLSAA.MX
2008-07-11,13.6,14.45,13.55,14.12,1460300,11.73,BOLSAA.MX
2008-07-14,14.21,14.3,13.6,13.75,315100,11.42,BOLSAA.MX
2008-07-15,13.6,13.7,13.47,13.54,523000,11.25,BOLSAA.MX
2008-07-16,13.54,13.78,13.4,13.67,415600,11.36,BOLSAA.MX
2008-07-17,13.79,13.8,13.4,13.5,674100,11.21,BOLSAA.MX
2008-07-18,13.5,13.71,13.4,13.5,1039700,11.21,BOLSAA.MX
2008-07-21,13.22,13.59,13.2,13.25,683900,11.01,BOLSAA.MX
2008-07-22,13.07,13.2,12.6,12.79,2666000,10.62,BOLSAA.MX
2008-07-23,12.94,12.95,12.5,12.85,1136500,10.67,BOLSAA.MX
2008-07-24,12.85,13.0,12.5,12.67,1185300,10.52,BOLSAA.MX
2008-07-25,12.67,12.99,12.5,12.76,644100,10.6,BOLSAA.MX
2008-07-28,12.99,13.2,12.7,12.95,717800,10.76,BOLSAA.MX
2008-07-29,12.5,13.48,12.5,13.41,1327000,11.14,BOLSAA.MX
2008-07-30,13.49,13.6,13.1,13.5,929200,11.21,BOLSAA.MX
2008-07-31,13.5,14.15,13.5,13.7,694500,11.38,BOLSAA.MX
2008-08-01,13.93,13.93,13.4,13.47,530900,11.19,BOLSAA.MX
2008-08-04,13.47,13.5,13.11,13.12,346700,10.9,BOLSAA.MX
2008-08-05,13.18,13.18,12.7,12.96,1083700,10.77,BOLSAA.MX
2008-08-06,12.95,12.95,12.7,12.87,327500,10.69,BOLSAA.MX
2008-08-07,12.75,12.78,12.6,12.7,314200,10.55,BOLSAA.MX
2008-08-08,12.6,12.89,12.6,12.7,75400,10.55,BOLSAA.MX
2008-08-11,12.7,12.77,12.7,12.7,150500,10.55,BOLSAA.MX
2008-08-12,12.7,13.0,12.66,12.9,2447700,10.72,BOLSAA.MX
2008-08-13,12.8,13.16,12.8,13.04,1473500,10.83,BOLSAA.MX
2008-08-14,13.1,13.48,13.1,13.3,640000,11.05,BOLSAA.MX
2008-08-15,13.3,13.3,13.0,13.13,262600,10.91,BOLSAA.MX
2008-08-18,13.0,13.15,12.81,12.9,417400,10.72,BOLSAA.MX
2008-08-19,12.8,12.9,12.8,12.85,253800,10.67,BOLSAA.MX
2008-08-20,12.85,12.9,12.7,12.82,1791300,10.65,BOLSAA.MX
2008-08-21,12.8,12.95,12.8,12.93,649300,10.74,BOLSAA.MX
2008-08-22,13.0,13.0,12.73,12.82,579500,10.65,BOLSAA.MX
2008-08-25,12.82,12.85,12.5,12.52,1292200,10.4,BOLSAA.MX
2008-08-26,12.79,12.79,12.01,12.09,1366600,10.04,BOLSAA.MX
2008-08-27,12.2,12.2,11.8,11.82,1202200,9.82,BOLSAA.MX
2008-08-28,11.85,12.21,11.82,11.94,856200,9.92,BOLSAA.MX
2008-08-29,11.95,11.95,11.8,11.81,570600,9.81,BOLSAA.MX
2008-09-01,11.7,11.82,11.7,11.76,30100,9.77,BOLSAA.MX
2008-09-02,11.8,11.86,11.5,11.61,1145900,9.64,BOLSAA.MX
2008-09-03,11.61,11.81,11.48,11.5,958900,9.55,BOLSAA.MX
2008-09-04,11.4,11.49,11.2,11.25,3689700,9.35,BOLSAA.MX
2008-09-05,11.16,11.16,10.9,11.03,1370400,9.16,BOLSAA.MX
2008-09-08,11.03,11.18,10.8,10.81,1188300,8.98,BOLSAA.MX
2008-09-09,10.8,10.8,10.45,10.45,787400,8.68,BOLSAA.MX
2008-09-10,10.45,10.46,10.31,10.35,177700,8.6,BOLSAA.MX
2008-09-11,10.34,10.4,10.2,10.26,1303700,8.52,BOLSAA.MX
2008-09-12,10.2,10.2,9.8,10.11,1134400,8.4,BOLSAA.MX
2008-09-15,9.8,9.85,9.58,9.61,490600,7.98,BOLSAA.MX
2008-09-17,9.55,9.7,9.22,9.36,2292600,7.78,BOLSAA.MX
2008-09-18,9.45,9.8,9.0,9.51,1378800,7.9,BOLSAA.MX
2008-09-19,10.0,10.0,9.4,9.78,2878600,8.12,BOLSAA.MX
2008-09-22,9.8,9.8,9.4,9.6,1199500,7.97,BOLSAA.MX
2008-09-23,9.6,9.8,9.5,9.59,1145000,7.97,BOLSAA.MX
2008-09-24,9.4,9.69,9.4,9.63,144200,8.0,BOLSAA.MX
2008-09-25,9.65,9.81,9.5,9.72,677800,8.07,BOLSAA.MX
2008-09-26,9.65,9.65,9.5,9.5,757700,7.89,BOLSAA.MX
