Date,Open,High,Low,Close,Volume,Adj Close
2006-11-23,556.6,556.6,530.0,530.0,0,3982.96
2007-11-22,358.9,358.9,345.0,345.0,0,2592.68
2007-12-31,315.85,322.27,315.5,322.27,200,2421.87
2008-01-02,317.37,317.37,316.47,316.47,0,2378.28
2008-01-03,317.0,319.5,315.0,315.0,300,2367.23
2008-01-04,314.0,314.0,308.0,308.98,100,2321.99
2008-01-07,308.0,313.89,308.0,309.0,500,2322.14
2008-01-08,300.0,301.81,297.0,297.0,3600,2231.96
2008-01-09,297.0,301.3,290.73,301.3,1900,2264.28
2008-01-10,300.12,310.0,299.0,306.0,5800,2299.6
2008-01-11,306.0,319.07,305.87,312.5,5800,2348.45
2008-01-14,312.8,317.0,312.0,316.75,400,2380.38
2008-01-15,308.03,308.03,293.0,294.82,10900,2215.58
2008-01-16,293.5,293.5,283.8,288.15,15100,2165.46
2008-01-17,290.0,291.03,270.27,272.92,3200,2051.0
2008-01-18,270.0,275.65,263.0,266.25,12000,2000.88
2008-01-21,266.0,269.0,265.0,265.0,200,1991.48
2008-01-22,250.0,276.0,250.0,266.0,19100,1999.0
2008-01-23,265.5,292.5,265.5,290.52,16900,2183.27
2008-01-24,293.0,299.0,292.0,299.0,25400,2246.99
2008-01-25,300.0,300.0,288.5,291.28,5200,2188.98
2008-01-28,290.37,300.0,287.88,299.21,6900,2248.57
2008-01-29,305.0,307.06,300.0,302.22,10200,2271.19
2008-01-30,297.0,311.5,294.33,300.58,8300,2258.87
2008-01-31,292.0,309.0,280.0,305.24,6500,2294.13
2008-02-01,308.0,320.0,308.0,318.62,6700,2394.69
2008-02-05,308.0,308.0,293.0,294.06,4700,2210.1
2008-02-06,291.0,299.0,291.0,291.0,1300,2187.11
2008-02-07,286.0,292.0,286.0,288.0,1100,2164.56
2008-02-08,285.0,291.79,277.0,280.96,4700,2111.65
2008-02-11,278.0,282.5,274.7,278.18,11200,2090.75
2008-02-12,283.5,287.7,279.8,281.84,13900,2118.26
2008-02-13,285.8,285.8,278.2,283.38,7500,2129.84
2008-02-14,279.0,280.1,277.31,277.31,5000,2084.21
2008-02-15,275.0,275.0,269.5,272.78,5500,2050.17
2008-02-18,273.5,273.5,273.5,273.5,0,2055.58
2008-02-19,277.0,277.0,270.65,272.94,11400,2051.37
2008-02-20,271.0,277.43,270.62,274.8,1700,2065.35
2008-02-21,276.5,276.5,270.0,271.0,1900,2036.79
2008-02-22,270.0,270.5,262.0,268.84,5400,2020.55
2008-02-25,267.0,268.1,261.5,266.4,21000,2002.22
2008-02-26,266.0,273.0,266.0,268.06,7100,2014.69
2008-02-27,269.0,277.5,269.0,275.52,5200,2070.76
2008-02-28,270.0,272.3,266.35,266.6,11300,2003.72
2008-02-29,266.6,266.6,253.0,254.94,40400,1916.08
2008-03-03,250.0,250.12,245.0,247.5,30300,1860.17
2008-03-04,243.9,243.9,228.0,237.0,40000,1781.25
