Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,33.0,33.42,32.68,32.77,20261000,30.57,CEMEXCPO.MX
2006-10-03,32.77,33.2,32.6,33.04,7687600,30.82,CEMEXCPO.MX
2006-10-04,32.9,33.95,32.9,33.85,14932800,31.58,CEMEXCPO.MX
2006-10-05,33.9,34.5,33.9,34.36,21348400,32.05,CEMEXCPO.MX
2006-10-06,34.36,34.66,33.9,34.3,7785900,31.99,CEMEXCPO.MX
2006-10-09,34.3,34.6,34.0,34.09,6872600,31.8,CEMEXCPO.MX
2006-10-10,34.02,34.85,33.98,34.35,12394700,32.04,CEMEXCPO.MX
2006-10-11,34.36,34.4,33.8,33.93,16057700,31.65,CEMEXCPO.MX
2006-10-12,34.1,35.05,34.1,34.96,22886200,32.61,CEMEXCPO.MX
2006-10-13,35.0,35.85,35.0,35.23,20826200,32.86,CEMEXCPO.MX
2006-10-16,35.26,35.79,35.26,35.64,8627300,33.24,CEMEXCPO.MX
2006-10-17,35.5,35.5,34.85,35.14,37249600,32.78,CEMEXCPO.MX
2006-10-18,35.31,35.68,35.08,35.36,16295100,32.98,CEMEXCPO.MX
2006-10-19,35.15,35.35,34.5,35.19,24954500,32.83,CEMEXCPO.MX
2006-10-20,34.99,35.34,34.65,35.03,8828300,32.68,CEMEXCPO.MX
2006-10-23,34.98,35.2,34.77,34.89,7073400,32.55,CEMEXCPO.MX
2006-10-24,34.79,35.11,34.68,35.0,10047600,32.65,CEMEXCPO.MX
2006-10-25,35.01,35.34,35.0,35.28,10259600,32.91,CEMEXCPO.MX
2006-10-26,35.45,35.45,34.01,34.44,22246300,32.13,CEMEXCPO.MX
2006-10-27,33.38,34.61,32.68,32.83,33750100,30.62,CEMEXCPO.MX
2006-10-30,32.89,33.21,32.3,32.33,17487200,30.16,CEMEXCPO.MX
2006-10-31,32.4,33.3,32.33,33.15,17134100,30.92,CEMEXCPO.MX
2006-11-01,33.3,33.56,32.87,32.92,16138700,30.71,CEMEXCPO.MX
2006-11-03,32.92,33.01,32.5,32.76,12097600,30.56,CEMEXCPO.MX
2006-11-06,32.81,33.57,32.81,33.47,11451900,31.22,CEMEXCPO.MX
2006-11-07,33.5,34.0,33.15,33.24,13741900,31.01,CEMEXCPO.MX
2006-11-08,33.01,33.47,32.98,33.34,7381700,31.1,CEMEXCPO.MX
2006-11-09,33.57,33.9,33.5,33.7,16601800,31.44,CEMEXCPO.MX
2006-11-10,33.8,34.36,33.5,34.01,12533900,31.72,CEMEXCPO.MX
2006-11-13,34.1,34.3,33.9,34.21,5032800,31.91,CEMEXCPO.MX
2006-11-14,34.5,34.64,34.27,34.58,16679200,32.26,CEMEXCPO.MX
2006-11-15,34.58,35.09,34.3,35.04,13344100,32.69,CEMEXCPO.MX
2006-11-16,35.2,35.5,34.8,34.84,14761300,32.5,CEMEXCPO.MX
2006-11-17,34.51,35.1,34.5,35.03,9814000,32.68,CEMEXCPO.MX
2006-11-21,35.2,35.63,35.17,35.56,17077600,33.17,CEMEXCPO.MX
2006-11-22,35.64,35.75,35.25,35.44,15402200,33.06,CEMEXCPO.MX
