Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2002-01-24,2.19,2.19,1.35,1.35,0,1.3,CIDMEGA.MX
2002-01-25,2.1,2.1,2.1,2.1,100,2.03,CIDMEGA.MX
2002-01-28,2.0,2.0,2.0,2.0,100,1.93,CIDMEGA.MX
2002-01-29,1.7,1.7,1.7,1.7,10000,1.64,CIDMEGA.MX
2002-01-30,1.86,1.95,1.86,1.95,4400,1.88,CIDMEGA.MX
2002-01-31,1.94,1.94,1.29,1.29,0,1.25,CIDMEGA.MX
2002-02-01,1.94,1.94,1.66,1.66,0,1.6,CIDMEGA.MX
2002-02-04,1.95,1.95,1.2,1.2,0,1.16,CIDMEGA.MX
2002-02-05,1.2,1.2,1.2,1.2,0,1.16,CIDMEGA.MX
2002-02-06,1.94,1.94,1.2,1.2,0,1.16,CIDMEGA.MX
2002-02-07,1.8,1.8,1.2,1.2,0,1.16,CIDMEGA.MX
2002-02-08,1.66,1.66,1.2,1.2,0,1.16,CIDMEGA.MX
2002-02-11,1.7,1.7,1.2,1.2,0,1.16,CIDMEGA.MX
2002-02-12,1.66,1.66,1.66,1.66,400,1.6,CIDMEGA.MX
2002-02-13,1.66,1.85,1.66,1.85,6500,1.79,CIDMEGA.MX
2002-02-14,1.84,1.84,1.75,1.75,1100,1.69,CIDMEGA.MX
2002-02-15,1.75,1.75,1.75,1.75,7000,1.69,CIDMEGA.MX
2002-02-18,1.75,1.75,1.75,1.75,2600,1.69,CIDMEGA.MX
2002-02-19,1.8,1.8,1.76,1.76,0,1.7,CIDMEGA.MX
2002-02-20,1.78,1.78,1.78,1.78,20000,1.72,CIDMEGA.MX
2002-02-21,1.78,1.78,1.75,1.75,0,1.69,CIDMEGA.MX
2002-02-22,1.8,1.84,1.8,1.84,1000,1.78,CIDMEGA.MX
2002-02-25,1.85,1.85,1.85,1.85,6000,1.79,CIDMEGA.MX
2002-02-26,1.75,1.8,1.75,1.8,11000,1.74,CIDMEGA.MX
2002-02-27,1.85,1.85,1.85,1.85,1000,1.79,CIDMEGA.MX
2002-02-28,1.85,1.85,1.85,1.85,0,1.79,CIDMEGA.MX
2002-03-01,1.85,1.85,1.85,1.85,1000,1.79,CIDMEGA.MX
2002-03-04,1.85,1.85,1.85,1.85,1000,1.79,CIDMEGA.MX
2002-03-05,1.85,1.85,1.85,1.85,1000,1.79,CIDMEGA.MX
2002-03-06,1.85,1.85,1.85,1.85,1000,1.79,CIDMEGA.MX
