Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-03-21,47.25,47.25,47.25,47.25,0,47.25,CIEB.MX
2000-04-20,39.95,39.95,39.95,39.95,0,39.95,CIEB.MX
2000-04-21,39.95,39.95,39.95,39.95,0,39.95,CIEB.MX
2000-05-01,38.6,38.6,38.6,38.6,0,38.6,CIEB.MX
2000-05-05,40.5,40.5,40.5,40.5,0,40.5,CIEB.MX
2000-06-06,40.2,40.2,40.2,40.2,0,40.2,CIEB.MX
2000-10-05,45.4,45.4,45.4,45.4,0,45.4,CIEB.MX
2000-10-24,44.0,44.0,44.0,44.0,0,44.0,CIEB.MX
2000-11-02,42.1,42.1,42.1,42.1,0,42.1,CIEB.MX
2000-11-14,41.5,41.5,41.5,41.5,0,41.5,CIEB.MX
2000-11-20,44.0,44.0,44.0,44.0,0,44.0,CIEB.MX
2001-01-15,35.0,35.0,34.8,34.8,0,34.8,CIEB.MX
2002-03-21,22.9,22.9,22.9,22.9,0,22.9,CIEB.MX
2002-03-28,23.15,23.15,23.15,23.15,0,23.15,CIEB.MX
2002-03-29,23.15,23.15,23.15,23.15,0,23.15,CIEB.MX
2002-05-01,25.47,25.47,25.47,25.47,0,25.47,CIEB.MX
2002-09-16,17.11,17.11,17.11,17.11,0,17.11,CIEB.MX
2002-11-20,14.9,14.9,14.9,14.9,0,14.9,CIEB.MX
2002-12-12,17.65,17.65,17.65,17.65,0,17.65,CIEB.MX
2002-12-24,17.8,17.8,17.6,17.6,0,17.6,CIEB.MX
2002-12-25,17.6,17.6,17.6,17.6,0,17.6,CIEB.MX
2003-01-01,17.2,17.2,17.2,17.2,0,17.2,CIEB.MX
2003-01-15,16.73,16.87,16.73,16.87,158100,16.87,CIEB.MX
2003-02-05,16.53,16.53,16.53,16.53,0,16.53,CIEB.MX
2003-03-21,16.74,16.74,16.74,16.74,0,16.74,CIEB.MX
2003-04-17,18.02,18.02,18.02,18.02,0,18.02,CIEB.MX
2003-04-18,18.02,18.02,18.02,18.02,0,18.02,CIEB.MX
2003-05-01,18.1,18.1,18.1,18.1,0,18.1,CIEB.MX
2003-08-04,18.85,18.85,18.85,18.85,575000,18.85,CIEB.MX
2003-08-05,19.0,19.0,19.0,19.0,572000,19.0,CIEB.MX
2003-09-16,19.0,19.0,19.0,19.0,0,19.0,CIEB.MX
2003-11-20,20.0,20.0,20.0,20.0,0,20.0,CIEB.MX
2003-12-12,20.5,20.5,20.5,20.5,0,20.5,CIEB.MX
2003-12-25,20.42,20.42,20.42,20.42,0,20.42,CIEB.MX
2004-01-01,21.29,21.29,21.29,21.29,0,21.29,CIEB.MX
2004-02-05,23.57,23.57,23.57,23.57,0,23.57,CIEB.MX
2004-04-08,24.33,24.33,24.33,24.33,0,24.33,CIEB.MX
2004-04-09,24.33,24.33,24.33,24.33,0,24.33,CIEB.MX
2004-04-23,24.61,24.61,24.61,24.61,0,24.61,CIEB.MX
2004-06-11,24.0,24.0,23.9,23.9,0,23.9,CIEB.MX
2004-09-13,24.5,24.5,24.25,24.25,0,24.25,CIEB.MX
2004-09-16,24.04,24.04,24.04,24.04,0,24.04,CIEB.MX
2005-03-21,25.99,25.99,25.99,25.99,0,25.99,CIEB.MX
2005-03-24,24.84,24.84,24.84,24.84,0,24.84,CIEB.MX
2005-03-25,24.84,24.84,24.84,24.84,0,24.84,CIEB.MX
2005-04-22,21.37,21.37,21.3,21.3,94100,21.3,CIEB.MX
2005-09-16,23.93,23.93,23.93,23.93,0,23.93,CIEB.MX
2005-12-12,24.6,24.6,24.6,24.6,0,24.6,CIEB.MX
2005-12-29,23.45,23.45,23.0,23.0,0,23.0,CIEB.MX
2005-12-30,23.44,23.44,22.8,22.8,0,22.8,CIEB.MX
2006-02-06,22.48,22.48,22.48,22.48,0,22.48,CIEB.MX
2006-02-20,22.9,22.9,22.3,22.3,0,22.3,CIEB.MX
2006-03-02,21.6,21.6,21.15,21.15,0,21.15,CIEB.MX
2006-03-08,21.0,21.0,19.85,19.85,0,19.85,CIEB.MX
2006-03-10,21.6,21.6,21.0,21.0,0,21.0,CIEB.MX
