Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,3.35,3.35,3.35,3.35,100000,3.32,CMRB.MX
2006-10-03,3.35,3.35,3.35,3.35,198000,3.32,CMRB.MX
2006-10-04,3.39,3.4,3.39,3.4,26900,3.36,CMRB.MX
2006-10-05,3.45,3.45,3.39,3.45,29400,3.41,CMRB.MX
2006-10-06,3.5,3.5,3.45,3.45,0,3.41,CMRB.MX
2006-10-09,3.45,3.45,3.45,3.45,0,3.41,CMRB.MX
2006-10-10,3.45,3.6,3.45,3.6,207300,3.56,CMRB.MX
2006-10-11,3.6,3.6,3.6,3.6,10000,3.56,CMRB.MX
2006-10-12,3.65,3.65,3.65,3.65,2000,3.61,CMRB.MX
2006-10-13,3.6,3.8,3.6,3.8,5700,3.76,CMRB.MX
2006-10-16,3.7,3.8,3.7,3.8,142000,3.76,CMRB.MX
2006-10-17,3.75,3.8,3.75,3.8,13600,3.76,CMRB.MX
2006-10-18,4.0,4.0,4.0,4.0,3000,3.96,CMRB.MX
2006-10-19,3.99,3.99,3.0,3.0,0,2.97,CMRB.MX
2006-10-20,3.95,3.99,3.95,3.99,17500,3.95,CMRB.MX
2006-10-23,3.95,4.0,3.95,4.0,4000,3.96,CMRB.MX
2006-10-24,3.9,3.9,3.0,3.0,0,2.97,CMRB.MX
2006-10-25,3.9,3.9,3.75,3.75,0,3.71,CMRB.MX
2006-10-26,3.75,3.9,3.75,3.9,1114700,3.86,CMRB.MX
2006-10-27,3.9,3.9,3.75,3.75,0,3.71,CMRB.MX
2006-10-30,3.9,3.9,3.75,3.75,0,3.71,CMRB.MX
2006-10-31,3.9,3.9,3.0,3.0,0,2.97,CMRB.MX
2006-11-01,3.75,3.9,3.75,3.9,4700,3.86,CMRB.MX
2006-11-02,3.9,3.9,3.9,3.9,0,3.86,CMRB.MX
2006-11-03,3.9,3.9,3.75,3.75,0,3.71,CMRB.MX
2006-11-06,3.9,3.9,3.75,3.75,0,3.71,CMRB.MX
2006-11-07,3.9,3.9,3.9,3.9,997500,3.86,CMRB.MX
2006-11-08,4.0,4.0,4.0,4.0,5000,3.96,CMRB.MX
2006-11-09,4.0,4.0,4.0,4.0,27500,3.96,CMRB.MX
2006-11-10,4.0,4.0,4.0,4.0,28300,3.96,CMRB.MX
2006-11-13,4.0,4.0,4.0,4.0,5100,3.96,CMRB.MX
2006-11-14,4.0,4.0,3.9,3.9,0,3.86,CMRB.MX
2006-11-15,3.9,3.99,3.9,3.99,6000,3.95,CMRB.MX
2006-11-16,3.9,3.99,3.9,3.99,8000,3.95,CMRB.MX
2006-11-17,4.0,4.0,4.0,4.0,3000,3.96,CMRB.MX
2006-11-20,4.0,4.0,4.0,4.0,0,3.96,CMRB.MX
2006-11-21,3.95,3.95,3.9,3.9,16900,3.86,CMRB.MX
2006-11-22,3.8,3.9,3.8,3.9,5000,3.86,CMRB.MX
2006-11-23,3.9,3.9,3.9,3.9,5000,3.86,CMRB.MX
2006-11-24,4.4,4.4,3.9,3.9,0,3.86,CMRB.MX
2006-11-27,4.1,4.4,4.1,4.4,8700,4.35,CMRB.MX
2006-11-28,4.4,4.4,4.4,4.4,0,4.35,CMRB.MX
2006-11-29,4.5,4.5,4.1,4.1,0,4.06,CMRB.MX
2006-11-30,4.4,4.4,4.4,4.4,22700,4.35,CMRB.MX
2006-12-01,4.4,4.4,4.4,4.4,0,4.35,CMRB.MX
2006-12-04,4.4,4.4,4.4,4.4,0,4.35,CMRB.MX
2006-12-05,4.4,4.4,4.4,4.4,100,4.35,CMRB.MX
2006-12-06,4.4,4.4,4.4,4.4,100,4.35,CMRB.MX
2006-12-07,4.4,4.4,4.2,4.2,0,4.16,CMRB.MX
2006-12-08,4.5,4.5,4.3,4.3,0,4.26,CMRB.MX
2006-12-11,4.5,4.5,4.5,4.5,0,4.45,CMRB.MX
2006-12-12,4.5,4.5,4.5,4.5,0,4.45,CMRB.MX
2006-12-13,4.5,4.5,4.5,4.5,0,4.45,CMRB.MX
2006-12-14,4.4,4.4,4.4,4.4,300,4.35,CMRB.MX
2006-12-15,4.4,4.4,4.4,4.4,9500,4.35,CMRB.MX
2006-12-18,4.4,4.4,4.4,4.4,5000,4.35,CMRB.MX
2006-12-19,4.4,4.4,4.4,4.4,0,4.35,CMRB.MX
2006-12-20,4.4,4.4,4.4,4.4,0,4.35,CMRB.MX
2006-12-21,4.4,4.4,4.1,4.1,0,4.06,CMRB.MX
2006-12-22,4.4,4.5,4.4,4.5,65000,4.45,CMRB.MX
2006-12-25,4.5,4.5,4.5,4.5,0,4.45,CMRB.MX
2006-12-26,4.5,4.5,4.5,4.5,90000,4.45,CMRB.MX
2006-12-27,5.5,5.5,5.5,5.5,0,5.44,CMRB.MX
2006-12-28,5.5,5.5,5.5,5.5,0,5.44,CMRB.MX
2006-12-29,4.0,4.0,4.0,4.0,0,3.96,CMRB.MX
2007-01-01,4.0,4.0,4.0,4.0,0,3.96,CMRB.MX
2007-01-02,4.9,4.9,4.9,4.9,0,4.85,CMRB.MX
2007-01-03,4.5,4.5,4.5,4.5,16300,4.45,CMRB.MX
2007-01-04,4.5,4.5,4.5,4.5,500,4.45,CMRB.MX
2007-01-05,4.5,4.5,4.5,4.5,0,4.45,CMRB.MX
2007-01-08,4.5,4.5,4.5,4.5,0,4.45,CMRB.MX
2007-01-09,4.5,4.5,4.5,4.5,2900,4.45,CMRB.MX
2007-01-10,4.5,4.5,4.5,4.5,125000,4.45,CMRB.MX
2007-01-11,4.5,4.5,4.5,4.5,2000,4.45,CMRB.MX
2007-01-12,4.5,4.6,4.5,4.5,202100,4.45,CMRB.MX
2007-01-15,4.5,4.5,4.5,4.5,1000,4.45,CMRB.MX
