Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,21.8,21.8,21.0,21.29,2865700,20.74,COMERCIUBC.MX
2006-10-03,21.2,21.7,21.2,21.53,1369900,20.97,COMERCIUBC.MX
2006-10-04,21.53,22.0,21.3,21.82,2610000,21.25,COMERCIUBC.MX
2006-10-05,21.82,22.2,21.82,22.0,4630800,21.43,COMERCIUBC.MX
2006-10-06,22.1,22.25,21.96,22.08,827300,21.51,COMERCIUBC.MX
2006-10-09,22.11,22.15,21.79,21.93,754400,21.36,COMERCIUBC.MX
2006-10-10,21.93,22.01,21.8,21.89,1917900,21.32,COMERCIUBC.MX
2006-10-11,21.9,21.9,21.43,21.49,2607900,20.93,COMERCIUBC.MX
2006-10-12,21.65,21.99,21.52,21.7,1349000,21.14,COMERCIUBC.MX
2006-10-13,21.8,22.41,21.8,22.23,3642500,21.65,COMERCIUBC.MX
2006-10-16,22.23,23.4,22.23,23.31,3160300,22.7,COMERCIUBC.MX
2006-10-17,23.1,23.2,22.6,23.11,1420100,22.51,COMERCIUBC.MX
2006-10-18,23.31,23.6,23.2,23.48,2076700,22.87,COMERCIUBC.MX
2006-10-19,23.48,23.48,22.95,23.34,1795600,22.73,COMERCIUBC.MX
2006-10-20,23.3,23.43,23.0,23.1,742200,22.5,COMERCIUBC.MX
2006-10-23,23.1,23.25,23.0,23.19,324500,22.59,COMERCIUBC.MX
2006-10-24,23.19,23.19,22.9,23.04,478800,22.44,COMERCIUBC.MX
2006-10-25,23.04,23.2,22.7,22.73,456900,22.14,COMERCIUBC.MX
2006-10-26,23.0,23.14,22.6,22.99,434300,22.39,COMERCIUBC.MX
2006-10-27,22.76,22.78,22.0,22.0,3078500,21.43,COMERCIUBC.MX
2006-10-30,21.82,21.82,21.0,21.15,832800,20.6,COMERCIUBC.MX
2006-10-31,21.21,22.0,21.1,21.86,3235000,21.29,COMERCIUBC.MX
2006-11-01,22.0,22.4,22.0,22.06,1820300,21.49,COMERCIUBC.MX
2006-11-03,22.24,22.6,22.19,22.38,544100,21.8,COMERCIUBC.MX
2006-11-06,22.45,22.8,22.45,22.63,984800,22.04,COMERCIUBC.MX
2006-11-07,22.61,22.86,22.11,22.42,1226600,21.84,COMERCIUBC.MX
2006-11-08,22.4,22.59,22.2,22.57,415700,21.98,COMERCIUBC.MX
2006-11-09,22.57,23.1,22.55,22.59,792800,22.0,COMERCIUBC.MX
2006-11-10,22.51,23.1,22.51,23.04,1496100,22.44,COMERCIUBC.MX
2006-11-13,23.04,23.04,22.69,22.8,330500,22.21,COMERCIUBC.MX
2006-11-14,23.0,23.0,22.48,22.63,905100,22.04,COMERCIUBC.MX
2006-11-15,22.63,22.74,22.49,22.57,436300,21.98,COMERCIUBC.MX
2006-11-16,22.57,23.0,22.57,22.95,864100,22.35,COMERCIUBC.MX
2006-11-17,22.8,23.05,22.8,22.9,632800,22.3,COMERCIUBC.MX
2006-11-21,22.9,22.9,22.0,22.12,3309600,21.54,COMERCIUBC.MX
2006-11-22,22.2,22.27,21.99,22.0,1878900,21.43,COMERCIUBC.MX
2006-11-23,22.1,22.14,22.02,22.1,30300,21.52,COMERCIUBC.MX
2006-11-24,22.1,22.37,22.0,22.35,2006100,21.77,COMERCIUBC.MX
2006-11-27,22.35,22.35,21.59,21.68,1287000,21.12,COMERCIUBC.MX
