Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-06,12.5,12.5,12.5,12.5,6000,1.92,CULTIBAB.MX
2000-01-07,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-01-10,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-01-11,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-01-12,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-01-13,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-01-14,13.0,13.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-17,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-18,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-19,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-20,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-21,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-24,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-25,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-26,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-27,10.0,10.0,10.0,10.0,0,1.54,CULTIBAB.MX
2000-01-28,13.5,13.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-01-31,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-01,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-02,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-03,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-04,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-07,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-08,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-09,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-10,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-11,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-14,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-15,12.5,12.5,12.5,12.5,0,1.92,CULTIBAB.MX
2000-02-16,12.48,12.48,12.48,12.48,228000,1.92,CULTIBAB.MX
2000-02-17,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-02-18,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-02-21,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-02-22,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-02-23,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-02-24,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-02-25,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-02-28,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-02-29,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-03-01,12.48,12.48,12.48,12.48,0,1.92,CULTIBAB.MX
2000-03-02,12.4,12.4,12.4,12.4,300000,1.91,CULTIBAB.MX
2000-03-03,12.3,12.4,12.3,12.4,240000,1.91,CULTIBAB.MX
2000-03-06,12.4,12.4,12.4,12.4,60000,1.91,CULTIBAB.MX
2000-03-07,13.5,13.5,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-08,12.4,12.4,12.4,12.4,360000,1.91,CULTIBAB.MX
2000-03-09,12.4,12.4,12.4,12.4,60000,1.91,CULTIBAB.MX
2000-03-10,12.4,12.4,12.2,12.2,2304000,1.88,CULTIBAB.MX
2000-03-13,12.2,12.2,12.2,12.2,12000,1.88,CULTIBAB.MX
2000-03-14,12.2,12.2,12.2,12.2,0,1.88,CULTIBAB.MX
2000-03-15,12.2,12.2,12.2,12.2,0,1.88,CULTIBAB.MX
2000-03-16,12.2,12.2,12.2,12.2,4062000,1.88,CULTIBAB.MX
2000-03-17,12.3,12.3,12.3,12.3,3102000,1.89,CULTIBAB.MX
2000-03-20,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-21,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-22,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-23,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-24,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-27,12.3,12.3,12.3,12.3,6000,1.89,CULTIBAB.MX
2000-03-28,13.5,13.5,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-29,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-30,13.5,13.5,12.3,12.3,0,1.89,CULTIBAB.MX
2000-03-31,12.3,12.3,12.3,12.3,6000,1.89,CULTIBAB.MX
2000-04-03,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-04,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-05,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-06,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-07,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-10,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-11,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-12,12.3,12.3,12.3,12.3,180000,1.89,CULTIBAB.MX
2000-04-13,12.3,12.3,12.3,12.3,72000,1.89,CULTIBAB.MX
2000-04-14,12.3,12.3,12.3,12.3,228000,1.89,CULTIBAB.MX
2000-04-17,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-18,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-19,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-20,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
2000-04-21,12.3,12.3,12.3,12.3,0,1.89,CULTIBAB.MX
