Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,9.0,9.0,8.8,8.8,0,2.11,CYDSASAA.MX
2000-01-04,9.06,9.06,9.0,9.0,79200,2.16,CYDSASAA.MX
2000-01-05,9.0,9.0,9.0,9.0,254600,2.16,CYDSASAA.MX
2000-01-06,9.0,9.0,8.5,8.5,0,2.04,CYDSASAA.MX
2000-01-07,8.5,8.5,8.5,8.5,164100,2.04,CYDSASAA.MX
2000-01-10,9.0,9.0,8.7,8.7,0,2.09,CYDSASAA.MX
2000-01-11,8.6,8.6,8.5,8.5,175400,2.04,CYDSASAA.MX
2000-01-12,8.5,9.0,8.5,8.72,297100,2.09,CYDSASAA.MX
2000-01-13,8.7,8.7,8.7,8.7,16900,2.09,CYDSASAA.MX
2000-01-14,8.7,9.1,8.7,9.1,370600,2.18,CYDSASAA.MX
2000-01-17,9.14,9.14,9.1,9.1,59400,2.18,CYDSASAA.MX
2000-01-18,10.0,10.0,9.48,9.5,73500,2.28,CYDSASAA.MX
2000-01-19,9.8,9.8,9.3,9.3,172600,2.23,CYDSASAA.MX
2000-01-20,9.3,9.3,9.3,9.3,31100,2.23,CYDSASAA.MX
2000-01-21,9.5,9.5,8.6,8.6,0,2.06,CYDSASAA.MX
2000-01-24,9.5,9.5,9.5,9.5,11300,2.28,CYDSASAA.MX
2000-01-25,9.5,9.5,9.5,9.5,141400,2.28,CYDSASAA.MX
2000-01-26,9.4,9.4,8.42,8.42,0,2.02,CYDSASAA.MX
2000-01-27,9.4,9.4,8.4,8.4,0,2.02,CYDSASAA.MX
2000-01-28,8.4,8.4,8.4,8.4,11300,2.02,CYDSASAA.MX
2000-01-31,9.5,9.5,8.5,8.5,0,2.04,CYDSASAA.MX
2000-02-01,9.5,9.5,9.0,9.0,0,2.16,CYDSASAA.MX
2000-02-02,9.0,9.0,9.0,9.0,2800,2.16,CYDSASAA.MX
2000-02-03,9.1,9.1,9.0,9.0,285700,2.16,CYDSASAA.MX
2000-02-04,9.0,9.0,9.0,9.0,73500,2.16,CYDSASAA.MX
2000-02-07,9.0,9.0,8.6,8.6,0,2.06,CYDSASAA.MX
2000-02-08,9.0,9.0,9.0,9.0,3471800,2.16,CYDSASAA.MX
2000-02-09,9.0,9.0,8.4,8.4,0,2.02,CYDSASAA.MX
2000-02-10,9.0,9.0,8.4,8.4,0,2.02,CYDSASAA.MX
2000-02-11,8.88,8.88,8.88,8.88,8400,2.13,CYDSASAA.MX
2000-02-14,8.42,8.42,8.42,8.42,5600,2.02,CYDSASAA.MX
2000-02-15,8.88,8.88,8.4,8.4,0,2.02,CYDSASAA.MX
2000-02-16,8.4,8.4,8.4,8.4,2800,2.02,CYDSASAA.MX
2000-02-17,8.8,8.8,8.5,8.5,0,2.04,CYDSASAA.MX
2000-02-18,8.6,8.6,8.4,8.4,209300,2.02,CYDSASAA.MX
2000-02-21,8.8,8.8,8.0,8.0,0,1.92,CYDSASAA.MX
2000-02-22,8.34,8.34,8.34,8.34,28200,2.0,CYDSASAA.MX
2000-02-23,8.34,8.34,8.02,8.02,0,1.92,CYDSASAA.MX
2000-02-24,8.6,8.6,8.02,8.02,0,1.92,CYDSASAA.MX
2000-02-25,8.0,8.0,8.0,8.0,2800,1.92,CYDSASAA.MX
2000-02-28,8.2,8.2,8.02,8.02,0,1.92,CYDSASAA.MX
2000-02-29,8.6,8.6,8.02,8.02,0,1.92,CYDSASAA.MX
2000-03-01,8.0,8.0,8.0,8.0,53700,1.92,CYDSASAA.MX
2000-03-02,7.9,7.9,7.9,7.9,5600,1.9,CYDSASAA.MX
2000-03-03,8.0,8.0,7.8,7.8,0,1.87,CYDSASAA.MX
2000-03-06,8.0,8.0,7.8,7.8,0,1.87,CYDSASAA.MX
2000-03-07,8.0,8.08,8.0,8.08,19800,1.94,CYDSASAA.MX
2000-03-08,8.0,8.0,8.0,8.0,87700,1.92,CYDSASAA.MX
2000-03-09,8.0,8.0,8.0,8.0,11300,1.92,CYDSASAA.MX
2000-03-10,8.0,8.0,8.0,8.0,251800,1.92,CYDSASAA.MX
2000-03-13,8.0,8.0,8.0,8.0,0,1.92,CYDSASAA.MX
2000-03-14,7.0,7.0,7.0,7.0,8400,1.68,CYDSASAA.MX
2000-03-15,6.8,6.8,6.6,6.6,93300,1.58,CYDSASAA.MX
2000-03-16,6.6,6.6,6.4,6.4,25400,1.54,CYDSASAA.MX
2000-03-17,8.0,8.0,7.0,7.0,0,1.68,CYDSASAA.MX
2000-03-20,9.0,9.0,6.12,6.12,0,1.47,CYDSASAA.MX
2000-03-21,6.12,6.12,6.12,6.12,0,1.47,CYDSASAA.MX
2000-03-22,6.4,6.5,6.4,6.5,118800,1.56,CYDSASAA.MX
2000-03-23,6.4,6.4,6.4,6.4,2800,1.54,CYDSASAA.MX
2000-03-24,6.52,6.54,6.5,6.54,336700,1.57,CYDSASAA.MX
2000-03-27,6.7,6.7,6.7,6.7,141400,1.61,CYDSASAA.MX
2000-03-28,8.0,8.0,6.76,6.76,0,1.62,CYDSASAA.MX
2000-03-29,7.98,7.98,7.4,7.4,59400,1.78,CYDSASAA.MX
2000-03-30,7.4,7.6,7.4,7.5,166900,1.8,CYDSASAA.MX
2000-03-31,7.52,7.52,7.5,7.5,28200,1.8,CYDSASAA.MX
2000-04-03,7.5,7.5,7.5,7.5,8400,1.8,CYDSASAA.MX
2000-04-04,7.2,7.2,7.14,7.14,28200,1.71,CYDSASAA.MX
2000-04-05,7.0,7.1,7.0,7.1,33900,1.7,CYDSASAA.MX
2000-04-06,7.9,7.9,7.1,7.1,0,1.7,CYDSASAA.MX
2000-04-07,7.9,7.9,7.1,7.1,0,1.7,CYDSASAA.MX
2000-04-10,7.4,7.4,7.0,7.0,0,1.68,CYDSASAA.MX
2000-04-11,7.2,7.2,7.16,7.16,16900,1.72,CYDSASAA.MX
2000-04-12,7.16,7.16,7.16,7.16,14100,1.72,CYDSASAA.MX
2000-04-13,7.2,7.2,7.1,7.1,0,1.7,CYDSASAA.MX
2000-04-14,7.0,7.0,7.0,7.0,25400,1.68,CYDSASAA.MX
2000-04-17,8.1,8.1,6.02,6.02,0,1.44,CYDSASAA.MX
2000-04-18,13.4,13.4,7.0,7.0,0,1.68,CYDSASAA.MX
2000-04-19,7.8,7.8,7.0,7.0,0,1.68,CYDSASAA.MX
2000-04-20,7.0,7.0,7.0,7.0,0,1.68,CYDSASAA.MX
2000-04-21,7.0,7.0,7.0,7.0,0,1.68,CYDSASAA.MX
2000-04-24,7.0,7.0,5.1,5.1,0,1.22,CYDSASAA.MX
2000-04-25,6.98,6.98,6.98,6.98,5600,1.68,CYDSASAA.MX
2000-04-26,6.98,7.0,6.98,7.0,67900,1.68,CYDSASAA.MX
2000-04-27,7.9,7.9,7.0,7.0,0,1.68,CYDSASAA.MX
2000-04-28,7.9,7.9,7.0,7.0,0,1.68,CYDSASAA.MX
2000-05-01,7.0,7.0,7.0,7.0,0,1.68,CYDSASAA.MX
2000-05-02,7.9,7.9,7.0,7.0,0,1.68,CYDSASAA.MX
2000-05-03,7.0,7.1,7.0,7.1,1007300,1.7,CYDSASAA.MX
2000-05-04,7.9,7.9,7.1,7.1,0,1.7,CYDSASAA.MX
2000-05-05,7.1,7.1,7.1,7.1,0,1.7,CYDSASAA.MX
2000-05-08,7.0,7.0,7.0,7.0,70700,1.68,CYDSASAA.MX
2000-05-09,7.02,7.1,7.02,7.1,11300,1.7,CYDSASAA.MX
2000-05-10,7.88,7.88,7.0,7.0,0,1.68,CYDSASAA.MX
2000-05-11,7.3,7.3,7.0,7.0,0,1.68,CYDSASAA.MX
2000-05-12,7.1,7.1,7.1,7.1,141400,1.7,CYDSASAA.MX
2000-05-15,7.1,7.1,7.1,7.1,147100,1.7,CYDSASAA.MX
2000-05-16,7.9,7.9,7.1,7.1,0,1.7,CYDSASAA.MX
2000-05-17,7.1,7.1,7.1,7.1,5600,1.7,CYDSASAA.MX
2000-05-18,7.9,7.9,7.1,7.1,0,1.7,CYDSASAA.MX
2000-05-19,7.1,7.1,7.0,7.0,299900,1.68,CYDSASAA.MX
2000-05-22,7.0,7.0,7.0,7.0,84800,1.68,CYDSASAA.MX
2000-05-23,7.9,7.9,5.2,5.2,0,1.25,CYDSASAA.MX
2000-05-24,7.9,7.9,6.6,6.6,0,1.58,CYDSASAA.MX
2000-05-25,7.0,7.0,6.5,6.5,0,1.56,CYDSASAA.MX
2000-05-26,6.7,6.7,6.7,6.7,62200,1.61,CYDSASAA.MX
2000-05-29,7.9,7.9,6.8,6.8,0,1.63,CYDSASAA.MX
2000-05-30,6.7,6.9,6.7,6.9,14100,1.66,CYDSASAA.MX
2000-05-31,6.9,6.9,6.9,6.9,14100,1.66,CYDSASAA.MX
2000-06-01,6.9,6.9,6.5,6.5,0,1.56,CYDSASAA.MX
2000-06-02,6.9,6.9,6.9,6.9,31100,1.66,CYDSASAA.MX
2000-06-05,6.9,7.0,6.9,7.0,28200,1.68,CYDSASAA.MX
2000-06-06,7.0,7.0,7.0,7.0,0,1.68,CYDSASAA.MX
2000-06-07,7.2,7.2,7.0,7.0,0,1.68,CYDSASAA.MX
2000-06-08,7.0,7.0,7.0,7.0,28200,1.68,CYDSASAA.MX
2000-06-09,7.88,7.88,7.0,7.0,0,1.68,CYDSASAA.MX
2000-06-12,7.0,7.0,7.0,7.0,25400,1.68,CYDSASAA.MX
2000-06-13,7.2,7.2,7.2,7.2,141400,1.73,CYDSASAA.MX
2000-06-14,7.9,7.9,6.8,6.8,0,1.63,CYDSASAA.MX
2000-06-15,7.9,7.9,7.2,7.2,0,1.73,CYDSASAA.MX
2000-06-16,7.2,7.2,6.0,6.0,0,1.44,CYDSASAA.MX
2000-06-19,7.2,7.2,7.0,7.0,0,1.68,CYDSASAA.MX
2000-06-20,7.2,7.2,7.0,7.0,0,1.68,CYDSASAA.MX
2000-06-21,7.2,7.2,7.0,7.0,0,1.68,CYDSASAA.MX
