Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,105.71,106.3,105.71,105.94,118800,103.72
2006-10-03,106.5,106.5,106.01,106.12,48000,103.9
2006-10-04,106.0,106.5,106.0,106.29,56400,104.06
2006-10-05,106.29,107.5,106.29,106.51,43700,104.28
2006-10-06,106.51,107.1,106.2,106.35,5800,104.12
2006-10-09,106.26,108.01,106.26,108.0,59400,105.74
2006-10-10,108.0,111.01,107.7,111.0,2195300,108.67
2006-10-11,111.99,111.99,110.0,110.05,104300,107.74
2006-10-12,111.0,112.0,108.0,110.06,55100,107.75
2006-10-13,110.06,111.0,109.1,110.46,59700,108.14
2006-10-16,110.46,110.46,110.0,110.0,29900,107.69
2006-10-17,110.01,111.0,109.5,110.17,72000,107.86
2006-10-18,110.0,112.0,110.0,112.0,26200,109.65
2006-10-19,112.0,113.0,112.0,112.96,36900,110.59
2006-10-20,113.0,115.75,113.0,115.12,22700,112.71
2006-10-23,115.12,117.0,115.12,116.32,44400,113.88
2006-10-24,117.0,117.0,114.81,115.43,92500,113.01
2006-10-25,114.99,115.0,114.8,115.0,20500,112.59
2006-10-26,115.5,116.0,114.5,114.5,26500,112.1
2006-10-27,114.47,114.51,106.0,109.85,118000,107.55
2006-10-30,110.0,112.5,109.84,111.1,59300,108.77
2006-10-31,111.1,115.01,111.1,114.09,1568400,111.7
2006-11-01,114.5,115.7,113.9,115.45,36200,113.03
2006-11-02,115.45,115.45,115.45,115.45,0,113.03
2006-11-03,115.09,115.1,114.29,114.62,14300,112.22
2006-11-06,114.61,116.0,113.5,114.61,125100,112.21
2006-11-07,114.2,116.0,114.2,114.9,42100,112.49
2006-11-08,114.02,115.5,113.99,114.92,20200,112.51
2006-11-09,115.0,115.0,114.5,114.86,99900,112.45
2006-11-10,115.0,115.3,114.0,115.0,32400,112.59
2006-11-13,115.0,115.3,114.01,115.02,41600,112.61
2006-11-14,115.2,115.2,112.2,114.14,1061900,111.75
2006-11-15,114.14,114.56,113.9,114.45,10000,112.05
2006-11-16,114.3,114.3,112.4,113.14,12700,110.77
2006-11-17,113.14,113.14,111.3,111.36,28200,109.03
2006-11-20,111.36,111.36,111.36,111.36,0,109.03
2006-11-21,110.99,113.0,110.5,112.11,39200,109.76
2006-11-22,111.98,113.0,110.03,111.6,61900,109.26
2006-11-23,112.0,112.95,112.0,112.95,10900,110.58
2006-11-24,113.0,113.5,113.0,113.0,8500,110.63
2006-11-27,112.0,114.0,112.0,114.0,85000,111.61
2006-11-28,112.5,115.5,112.5,114.67,168700,112.27
2006-11-29,114.67,115.5,114.67,115.5,22400,113.08
2006-11-30,115.0,116.0,114.9,115.17,97800,112.76
2006-12-01,115.17,115.17,115.17,115.17,0,112.76
2006-12-04,115.2,116.75,115.2,116.51,60900,114.07
2006-12-05,116.51,118.5,116.51,118.05,181800,115.58
2006-12-06,118.05,120.01,118.05,119.7,83500,117.19
2006-12-07,119.75,120.1,119.2,119.47,177100,116.97
2006-12-08,119.45,119.5,119.0,119.43,110600,116.93
2006-12-11,119.42,121.61,119.42,120.02,598700,117.5
2006-12-12,120.02,120.02,120.02,120.02,0,117.5
2006-12-13,120.02,120.2,119.0,120.0,623500,117.48
2006-12-14,120.5,120.5,119.0,119.99,2213700,117.47
2006-12-15,120.0,122.0,120.0,121.99,220100,119.43
2006-12-18,124.99,125.25,124.0,124.26,27000,121.66
2006-12-19,124.4,124.4,122.05,122.65,80400,120.08
2006-12-20,122.1,126.0,122.1,125.64,64700,123.01
2006-12-21,125.98,130.0,125.98,129.59,176200,126.87
2006-12-22,129.0,132.5,129.0,130.3,397000,127.57
