Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,106.55,107.23,105.53,105.84,2306100,32.8
2006-10-03,105.28,106.32,105.0,105.85,1808700,32.8
2006-10-04,105.85,109.32,105.8,109.04,1678800,33.79
2006-10-05,109.0,110.47,108.8,110.23,2138700,34.16
2006-10-06,109.68,109.68,108.2,109.0,1694400,33.78
2006-10-09,109.19,110.0,108.8,108.93,744300,33.76
2006-10-10,108.7,109.28,108.44,109.01,1545600,33.78
2006-10-11,108.99,109.45,108.0,108.12,2729100,33.51
2006-10-12,108.15,109.4,107.99,109.06,2467200,33.8
2006-10-13,109.42,110.8,108.4,110.1,3695700,34.12
2006-10-16,110.1,111.11,110.1,110.61,2470800,34.28
2006-10-17,109.93,109.93,107.2,108.23,2667300,33.54
2006-10-18,109.79,109.79,107.95,108.56,2913600,33.64
2006-10-19,108.44,108.77,108.0,108.23,2104200,33.54
2006-10-20,108.02,108.02,106.1,106.78,4532400,33.09
2006-10-23,106.78,107.91,106.5,107.55,1712100,33.33
2006-10-24,107.99,107.99,105.01,105.72,3693900,32.76
2006-10-25,105.72,106.43,105.72,106.16,2198400,32.9
2006-10-26,106.1,106.7,105.15,106.59,2049000,33.03
2006-10-27,106.5,106.9,105.34,105.5,2272500,32.69
2006-10-30,105.5,105.5,101.8,102.61,3861300,31.8
2006-10-31,102.87,104.39,102.87,104.15,4192500,32.28
2006-11-01,104.01,107.5,104.01,105.95,3217500,32.83
2006-11-03,105.9,106.5,105.28,106.16,852900,32.9
2006-11-06,106.89,109.35,106.89,109.14,2311500,33.82
2006-11-07,109.35,111.02,108.44,108.66,6805800,33.67
2006-11-08,108.57,110.86,108.0,110.59,2525400,34.27
2006-11-09,110.95,111.0,109.7,109.85,2493000,34.04
2006-11-10,109.99,111.68,109.59,111.51,1865700,34.56
2006-11-13,111.51,111.7,109.75,110.8,1616700,34.34
2006-11-14,110.8,111.97,110.5,111.64,2730600,34.6
2006-11-15,111.64,112.0,110.0,111.36,1726200,34.51
2006-11-16,112.0,113.47,112.0,113.09,3907200,35.05
2006-11-17,113.0,113.61,111.99,113.5,2433000,35.17
2006-11-21,115.0,117.0,115.0,115.28,3969300,35.73
2006-11-22,115.61,116.0,115.13,115.25,5349600,35.72
2006-11-23,115.25,115.25,114.15,114.51,111900,35.49
2006-11-24,114.51,117.41,114.51,114.98,9578700,35.63
2006-11-27,115.5,115.5,113.25,113.45,2103900,35.16
2006-11-28,113.1,113.1,111.55,112.11,1674900,34.74
2006-11-29,114.59,115.05,113.66,114.7,2060700,35.55
2006-11-30,114.7,116.15,114.35,115.59,1217400,35.82
