Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,5.01,5.01,5.01,5.01,0,2.02
2006-10-03,5.01,5.01,5.01,5.01,0,2.02
2006-10-04,5.01,5.01,5.01,5.01,0,2.02
2006-10-05,5.01,5.01,5.01,5.01,0,2.02
2006-10-06,5.01,5.01,5.01,5.01,0,2.02
2006-10-09,5.01,5.01,5.01,5.01,0,2.02
2006-10-26,5.0,5.0,5.0,5.0,0,2.01
2006-10-27,5.0,5.0,5.0,5.0,3000,2.01
2006-10-30,5.0,5.0,5.0,5.0,0,2.01
2006-10-31,5.0,5.0,5.0,5.0,0,2.01
2006-11-01,5.0,5.0,5.0,5.0,0,2.01
2006-11-02,5.0,5.0,5.0,5.0,0,2.01
2006-11-03,5.0,5.0,5.0,5.0,0,2.01
2006-11-06,5.0,5.0,5.0,5.0,0,2.01
2006-11-07,5.0,5.0,5.0,5.0,0,2.01
2006-11-08,6.0,6.0,5.0,5.0,0,2.01
2006-11-09,6.0,6.0,5.0,5.0,0,2.01
2006-11-10,6.0,6.0,5.0,5.0,0,2.01
2006-11-13,6.0,6.0,5.1,5.1,0,2.05
2006-11-14,5.1,5.31,5.1,5.3,59000,2.13
2006-11-15,6.0,6.0,5.31,5.31,0,2.14
2006-11-16,6.0,6.0,5.31,5.31,0,2.14
2006-11-17,6.0,7.08,6.0,7.08,4735200,2.85
2006-11-20,7.08,7.08,7.08,7.08,0,2.85
2006-11-21,7.08,7.08,7.08,7.08,0,2.85
2006-11-22,7.08,7.08,7.08,7.08,0,2.85
2006-11-23,7.08,7.08,7.08,7.08,0,2.85
2006-11-24,7.08,7.08,7.08,7.08,0,2.85
2006-11-27,7.08,7.08,7.08,7.08,0,2.85
2006-11-28,7.08,7.08,7.08,7.08,0,2.85
2006-11-29,7.08,7.08,7.08,7.08,0,2.85
2006-11-30,7.08,7.08,7.08,7.08,0,2.85
2006-12-01,7.08,7.08,7.08,7.08,0,2.85
2006-12-04,11.08,11.08,7.08,7.08,0,2.85
2006-12-05,7.09,7.09,7.09,7.09,6463500,2.85
2006-12-06,7.09,7.09,7.09,7.09,0,2.85
2006-12-07,7.09,7.09,7.09,7.09,21700,2.85
2006-12-08,7.2,7.2,7.2,7.2,0,2.9
2006-12-11,7.3,7.3,7.3,7.3,17400,2.94
2006-12-12,7.3,7.3,7.3,7.3,0,2.94
2006-12-13,7.3,8.1,7.3,8.1,30900,3.26
2006-12-14,8.3,8.3,8.3,8.3,32800,3.34
2006-12-15,9.0,9.0,8.1,8.1,0,3.26
2006-12-18,8.5,8.7,8.5,8.7,32600,3.5
2006-12-19,8.9,8.9,6.0,6.0,0,2.42
2006-12-20,8.75,8.75,8.3,8.3,0,3.34
2006-12-21,8.75,8.75,8.3,8.3,0,3.34
2006-12-22,8.75,8.75,8.3,8.3,0,3.34
2006-12-25,8.3,8.3,8.3,8.3,0,3.34
2006-12-26,8.75,8.79,8.75,8.79,43500,3.54
2006-12-27,8.79,8.79,8.79,8.79,65300,3.54
2006-12-28,9.0,9.0,9.0,9.0,0,3.62
2006-12-29,9.0,9.0,9.0,9.0,0,3.62
2007-01-01,9.0,9.0,9.0,9.0,0,3.62
2007-01-02,9.0,9.0,9.0,9.0,0,3.62
2007-01-03,9.0,9.0,9.0,9.0,0,3.62
2007-01-04,8.9,8.9,8.9,8.9,0,3.58
2007-01-05,8.65,8.65,8.65,8.65,0,3.48
2007-01-08,8.65,8.65,8.65,8.65,0,3.48
2007-01-09,8.65,8.65,8.65,8.65,0,3.48
2007-01-10,8.65,8.65,8.65,8.65,0,3.48
2007-01-11,8.65,8.65,8.65,8.65,0,3.48
2007-01-12,8.85,8.85,8.85,8.85,0,3.56
2007-01-15,8.85,8.85,8.85,8.85,0,3.56
2007-01-16,8.85,8.85,8.85,8.85,0,3.56
2007-01-17,8.75,8.75,8.75,8.75,0,3.52
