Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,64.0,64.0,60.0,60.0,0,58.11,FRAGUAB.MX
2006-10-03,64.0,64.0,60.0,60.0,0,58.11,FRAGUAB.MX
2006-10-11,63.05,63.05,63.05,63.05,0,61.07,FRAGUAB.MX
2006-10-23,71.0,71.0,62.0,62.0,0,60.05,FRAGUAB.MX
2006-10-26,74.0,74.0,69.0,69.0,0,66.83,FRAGUAB.MX
2006-10-27,74.0,74.0,62.0,62.0,0,60.05,FRAGUAB.MX
2006-10-31,70.5,70.5,63.0,63.0,0,61.02,FRAGUAB.MX
2006-11-02,69.0,69.0,69.0,69.0,0,66.83,FRAGUAB.MX
2006-11-03,74.0,74.0,63.0,63.0,0,61.02,FRAGUAB.MX
2006-11-06,74.0,74.0,63.0,63.0,0,61.02,FRAGUAB.MX
2006-11-13,72.0,72.0,72.0,72.0,0,69.74,FRAGUAB.MX
2006-11-14,68.5,68.5,66.0,66.0,0,63.92,FRAGUAB.MX
2006-11-20,68.0,68.0,68.0,68.0,0,65.86,FRAGUAB.MX
2006-11-21,67.0,67.0,62.0,62.0,0,60.05,FRAGUAB.MX
2006-11-23,68.5,68.5,67.0,67.0,0,64.89,FRAGUAB.MX
2006-11-24,68.5,68.5,67.0,67.0,0,64.89,FRAGUAB.MX
2006-11-28,68.5,68.5,67.5,67.5,0,65.38,FRAGUAB.MX
2006-11-30,68.5,68.5,68.0,68.0,0,65.86,FRAGUAB.MX
2006-12-01,68.0,68.0,68.0,68.0,0,65.86,FRAGUAB.MX
2006-12-07,69.5,69.5,62.0,62.0,0,60.05,FRAGUAB.MX
2006-12-08,69.5,69.5,62.0,62.0,0,60.05,FRAGUAB.MX
2006-12-12,69.75,69.75,69.75,69.75,0,67.56,FRAGUAB.MX
2006-12-15,70.0,70.0,62.0,62.0,0,60.05,FRAGUAB.MX
2006-12-25,74.0,74.0,74.0,74.0,0,71.67,FRAGUAB.MX
2006-12-28,79.0,79.0,79.0,79.0,0,76.52,FRAGUAB.MX
2006-12-29,79.0,79.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-01-01,79.0,79.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-01-02,79.0,79.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-01-08,74.0,74.0,70.0,70.0,0,67.8,FRAGUAB.MX
2007-01-09,74.0,74.0,74.0,74.0,0,71.67,FRAGUAB.MX
2007-01-10,74.0,74.0,72.0,72.0,0,69.74,FRAGUAB.MX
2007-01-11,74.0,74.0,72.0,72.0,0,69.74,FRAGUAB.MX
2007-01-15,74.0,74.0,72.0,72.0,0,69.74,FRAGUAB.MX
2007-01-18,76.0,76.0,73.0,73.0,0,70.7,FRAGUAB.MX
2007-01-19,76.0,76.0,72.0,72.0,0,69.74,FRAGUAB.MX
2007-01-26,77.0,77.0,76.0,76.0,0,73.61,FRAGUAB.MX
2007-01-30,77.0,77.0,75.5,75.5,0,73.13,FRAGUAB.MX
2007-02-01,77.0,77.0,76.5,76.5,0,74.09,FRAGUAB.MX
2007-02-02,77.0,77.0,76.5,76.5,0,74.09,FRAGUAB.MX
2007-02-05,76.5,76.5,76.5,76.5,0,74.09,FRAGUAB.MX
2007-02-08,77.5,77.5,76.0,76.0,0,73.61,FRAGUAB.MX
2007-02-09,77.5,77.5,76.0,76.0,0,73.61,FRAGUAB.MX
2007-02-12,76.2,76.2,76.2,76.2,0,73.8,FRAGUAB.MX
2007-02-15,79.0,79.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-02-22,79.0,79.0,77.0,77.0,0,74.58,FRAGUAB.MX
2007-02-26,78.0,78.0,76.0,76.0,0,73.61,FRAGUAB.MX
2007-03-08,75.0,75.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-09,79.0,79.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-12,77.0,77.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-14,77.0,77.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-16,77.0,77.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-19,75.0,75.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-20,77.0,77.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-22,77.0,77.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-26,83.0,83.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-27,78.0,78.0,78.0,78.0,0,75.55,FRAGUAB.MX
2007-03-28,75.0,75.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-03-29,81.0,81.0,76.0,76.0,0,73.61,FRAGUAB.MX
2007-03-30,81.0,81.0,76.0,76.0,0,73.61,FRAGUAB.MX
2007-04-02,81.0,81.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-04-03,81.0,81.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-04-04,82.0,82.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-04-05,79.0,79.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-04-06,79.0,79.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-04-09,79.0,79.0,79.0,79.0,0,76.52,FRAGUAB.MX
2007-04-10,82.0,82.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-04-12,82.0,82.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-04-13,82.0,82.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-04-16,82.0,82.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-04-17,82.0,82.0,75.0,75.0,0,72.64,FRAGUAB.MX
2007-04-27,89.0,89.0,86.0,86.0,0,83.3,FRAGUAB.MX
2007-05-01,86.0,86.0,86.0,86.0,0,83.3,FRAGUAB.MX
2007-05-02,87.0,87.0,87.0,87.0,0,84.26,FRAGUAB.MX
2007-05-03,87.0,87.0,87.0,87.0,0,84.26,FRAGUAB.MX
2007-05-08,87.5,87.5,87.5,87.5,0,84.75,FRAGUAB.MX
2007-05-09,90.0,90.0,87.5,87.5,0,84.75,FRAGUAB.MX
2007-05-14,91.0,91.0,89.0,89.0,0,86.2,FRAGUAB.MX
2007-05-16,92.0,92.0,92.0,92.0,0,89.11,FRAGUAB.MX
2007-05-17,92.0,92.0,92.0,92.0,0,89.11,FRAGUAB.MX
2007-05-18,92.0,92.0,92.0,92.0,0,89.11,FRAGUAB.MX
2007-05-22,92.0,92.0,92.0,92.0,0,89.11,FRAGUAB.MX
2007-05-23,95.0,95.0,92.0,92.0,0,89.11,FRAGUAB.MX
2007-05-24,92.0,92.0,92.0,92.0,0,89.11,FRAGUAB.MX
2007-05-28,100.0,100.0,95.0,95.0,0,92.01,FRAGUAB.MX
2007-05-31,100.0,100.0,100.0,100.0,0,96.85,FRAGUAB.MX
2007-06-01,100.0,100.0,95.0,95.0,0,92.01,FRAGUAB.MX
2007-06-04,100.0,100.0,97.0,97.0,0,93.95,FRAGUAB.MX
2007-06-05,100.0,100.0,100.0,100.0,0,96.85,FRAGUAB.MX
2007-06-06,100.0,100.0,86.0,86.0,0,83.3,FRAGUAB.MX
2007-06-07,100.0,100.0,89.0,89.0,0,86.2,FRAGUAB.MX
2007-06-08,100.0,100.0,100.0,100.0,0,96.85,FRAGUAB.MX
2007-06-12,100.0,100.0,95.0,95.0,0,92.01,FRAGUAB.MX
2007-06-14,100.0,100.0,100.0,100.0,0,96.85,FRAGUAB.MX
2007-06-15,103.0,103.0,100.0,100.0,0,96.85,FRAGUAB.MX
2007-06-22,103.0,103.0,100.0,100.0,0,96.85,FRAGUAB.MX
2007-06-27,100.5,100.5,100.5,100.5,0,97.34,FRAGUAB.MX
2007-06-28,103.0,103.0,100.5,100.5,0,97.34,FRAGUAB.MX
2007-06-29,103.0,103.0,100.5,100.5,0,97.34,FRAGUAB.MX
2007-07-02,100.5,100.5,100.5,100.5,0,97.34,FRAGUAB.MX
2007-07-03,103.0,103.0,100.5,100.5,0,97.34,FRAGUAB.MX
2007-07-05,105.0,105.0,103.0,103.0,0,99.76,FRAGUAB.MX
