Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-02-27,29.53,30.5,29.5,30.2,18404600,20.15,GAPB.MX
2006-02-28,30.0,30.4,29.0,30.03,9699400,20.04,GAPB.MX
2006-03-01,30.03,31.7,30.03,31.17,3748300,20.8,GAPB.MX
2006-03-02,31.48,31.8,31.25,31.7,3410700,21.15,GAPB.MX
2006-03-03,31.5,31.81,30.99,31.17,2939400,20.8,GAPB.MX
2006-03-06,31.72,31.72,30.9,31.19,1511700,20.81,GAPB.MX
2006-03-07,30.8,31.11,30.66,30.84,1979300,20.58,GAPB.MX
2006-03-08,31.1,31.18,30.9,30.9,1640300,20.62,GAPB.MX
2006-03-09,31.0,31.78,31.0,31.62,5212800,21.1,GAPB.MX
2006-03-10,31.68,31.68,31.28,31.6,447800,21.08,GAPB.MX
2006-03-13,31.6,33.0,31.6,32.51,265900,21.69,GAPB.MX
2006-03-14,32.4,32.6,32.1,32.56,2367700,21.72,GAPB.MX
2006-03-15,32.6,34.5,32.6,34.03,2185400,22.71,GAPB.MX
2006-03-16,33.9,34.98,33.9,34.9,1425000,23.29,GAPB.MX
2006-03-17,35.0,35.42,34.4,35.0,336100,23.35,GAPB.MX
2006-03-20,35.2,35.79,34.99,35.79,361800,23.88,GAPB.MX
2006-03-22,35.79,36.95,35.79,36.88,887800,24.61,GAPB.MX
2006-03-23,36.89,37.0,36.4,36.7,913500,24.49,GAPB.MX
2006-03-24,37.0,37.0,35.0,35.31,923900,23.56,GAPB.MX
2006-03-27,35.0,35.0,33.8,33.8,623300,22.55,GAPB.MX
2006-03-28,33.7,35.55,33.7,35.45,948500,23.65,GAPB.MX
2006-03-29,35.9,36.8,34.56,35.9,1266800,23.95,GAPB.MX
2006-03-30,35.9,35.9,34.9,34.99,713000,23.35,GAPB.MX
2006-03-31,34.99,35.2,34.4,34.75,580100,23.19,GAPB.MX
2006-04-03,34.75,35.05,34.49,34.49,201600,23.01,GAPB.MX
2006-04-04,34.3,34.56,33.8,34.19,845100,22.81,GAPB.MX
2006-04-05,33.85,34.35,33.81,34.34,618800,22.91,GAPB.MX
2006-04-06,34.34,34.45,34.2,34.38,698000,22.94,GAPB.MX
2006-04-07,34.7,35.15,34.7,34.96,534700,23.33,GAPB.MX
2006-04-10,34.4,34.55,34.4,34.45,50000,22.99,GAPB.MX
2006-04-11,34.0,34.0,32.65,32.81,807400,21.89,GAPB.MX
2006-04-12,33.1,33.2,32.0,32.36,193600,21.59,GAPB.MX
2006-04-17,32.4,33.5,32.4,32.45,223700,21.65,GAPB.MX
2006-04-18,32.0,33.1,32.0,32.82,156600,21.9,GAPB.MX
2006-04-19,33.15,33.33,33.15,33.33,222500,22.24,GAPB.MX
2006-04-20,33.35,33.59,33.35,33.5,178500,22.35,GAPB.MX
2006-04-21,33.6,34.4,33.6,34.02,349300,22.7,GAPB.MX
2006-04-24,34.11,34.6,34.11,34.59,207500,23.08,GAPB.MX
2006-04-25,34.9,34.9,34.6,34.79,246500,23.21,GAPB.MX
2006-04-26,34.9,35.4,34.9,35.24,707400,23.51,GAPB.MX
2006-04-27,35.24,38.0,35.2,37.87,2355100,25.27,GAPB.MX
2006-04-28,38.0,38.01,36.62,36.71,736800,24.49,GAPB.MX
2006-05-02,37.7,40.35,37.7,39.43,815300,26.31,GAPB.MX
2006-05-03,39.7,40.25,39.28,40.25,1028200,26.86,GAPB.MX
2006-05-04,40.0,40.0,38.79,39.01,434000,26.89,GAPB.MX
2006-05-05,39.01,39.6,39.0,39.32,275400,27.1,GAPB.MX
2006-05-08,39.32,41.5,39.32,40.5,310900,27.92,GAPB.MX
2006-05-09,40.89,41.8,40.89,41.27,433300,28.45,GAPB.MX
2006-05-10,41.27,41.35,41.0,41.35,370800,28.5,GAPB.MX
2006-05-11,41.7,42.1,40.5,40.53,240100,27.94,GAPB.MX
2006-05-12,39.88,39.88,38.8,39.66,130100,27.34,GAPB.MX
2006-05-15,39.66,39.91,39.4,39.84,292400,27.46,GAPB.MX
2006-05-16,40.09,40.23,39.1,39.56,40100,27.27,GAPB.MX
2006-05-17,39.1,39.6,37.85,38.36,695700,26.44,GAPB.MX
2006-05-18,38.36,38.74,37.6,37.6,342000,25.92,GAPB.MX
