Date,Open,High,Low,Close,Volume,Adj Close
2006-11-02,17.72,17.72,17.72,17.72,0,16.16
2006-11-20,18.72,18.72,18.72,18.72,0,17.07
2006-12-01,18.47,18.47,18.47,18.47,0,16.84
2006-12-12,19.61,19.61,19.61,19.61,0,17.89
2006-12-25,18.97,18.97,18.97,18.97,0,17.3
2007-01-01,19.56,19.56,19.56,19.56,0,17.83
2007-02-05,19.92,19.92,19.92,19.92,0,18.17
2007-03-19,18.17,18.17,18.17,18.17,0,16.57
2007-04-05,20.14,20.14,20.14,20.14,0,18.37
2007-04-06,20.14,20.14,20.14,20.14,0,18.37
2007-05-01,21.24,21.24,21.24,21.24,0,19.37
2007-11-02,21.61,21.61,21.61,21.61,0,19.71
2007-11-19,19.37,19.37,19.37,19.37,0,17.66
2007-12-12,20.38,20.38,20.38,20.38,0,18.58
2007-12-25,21.0,21.0,21.0,21.0,0,19.15
2007-12-31,19.86,20.28,19.8,20.18,414600,18.41
2008-01-01,20.18,20.18,20.18,20.18,0,18.41
2008-01-02,20.18,20.18,18.94,19.09,2991100,17.41
2008-01-03,19.07,19.8,19.07,19.11,1008300,17.42
2008-01-04,18.97,19.11,18.7,18.82,1711700,17.16
2008-01-07,18.82,19.22,18.7,18.93,1598000,17.26
2008-01-08,19.07,19.11,18.82,18.86,1657900,17.2
2008-01-09,19.07,19.66,18.65,19.61,1489000,17.89
2008-01-10,20.04,20.53,19.7,19.99,1723200,18.23
2008-01-11,20.19,20.53,20.04,20.05,1140700,18.29
2008-01-14,19.98,20.66,19.91,20.56,611300,18.75
2008-01-15,20.53,21.02,20.19,20.63,2095500,18.81
2008-01-16,20.14,20.68,19.57,19.84,2515000,18.09
2008-01-17,19.84,20.05,19.46,19.61,2045600,17.88
2008-01-18,19.66,20.65,19.41,20.4,1279100,18.61
2008-01-21,20.4,20.4,19.75,19.99,1358900,18.23
2008-01-22,20.0,21.55,19.95,20.47,2250100,18.67
2008-01-23,20.39,20.92,19.83,20.14,2500900,18.37
2008-01-24,20.48,21.69,20.34,20.53,3142100,18.72
2008-01-25,20.73,21.36,20.14,20.25,1079700,18.46
2008-01-28,20.25,21.11,20.1,20.99,1698900,19.15
2008-01-29,20.99,21.08,20.44,21.0,2412900,19.15
2008-01-30,21.26,21.27,20.82,20.95,996500,19.11
2008-01-31,20.54,21.27,20.54,20.77,1555300,18.94
2008-02-01,20.73,21.88,20.73,21.71,1920000,19.8
2008-02-04,21.71,21.71,21.71,21.71,0,19.8
2008-02-05,21.71,22.0,21.17,21.38,1125500,19.5
2008-02-06,21.39,21.51,20.17,20.35,1301200,18.56
2008-02-07,20.31,20.66,19.94,20.48,1214500,18.68
2008-02-08,20.48,21.51,20.29,21.18,1128200,19.31
2008-02-11,20.78,21.88,20.78,21.74,1146200,19.82
2008-02-12,21.74,22.49,21.66,21.81,1530100,19.89
2008-02-13,22.0,22.37,21.79,21.82,1753100,19.9
2008-02-14,21.9,21.9,21.32,21.41,1165800,19.53
2008-02-15,21.03,21.39,20.78,20.97,1341500,19.13
2008-02-18,20.98,21.36,20.97,21.35,104700,19.47
2008-02-19,21.51,21.85,20.54,20.66,972900,18.84
2008-02-20,20.66,21.46,20.54,20.81,1292000,18.98
2008-02-21,20.8,21.22,20.58,20.67,1072800,18.85
2008-02-22,20.67,21.51,20.53,21.14,2871500,19.28
2008-02-25,21.14,22.54,21.14,22.3,1880900,20.34
2008-02-26,24.45,24.54,23.47,24.03,3986200,21.92
2008-02-27,23.95,24.45,23.86,24.44,4223900,22.28
2008-02-28,24.54,24.64,23.71,23.78,2675900,21.69
2008-02-29,23.78,23.78,22.98,23.13,2806200,21.09
2008-03-03,23.08,24.01,22.98,23.96,3082600,21.85
2008-03-04,22.0,22.0,20.36,20.97,4034500,19.13
2008-03-05,21.12,21.36,20.78,21.03,2498800,19.18
2008-03-06,21.03,21.1,20.44,20.64,1635700,18.82
2008-03-07,20.64,20.73,19.95,20.39,2660000,18.59
2008-03-10,20.1,20.44,19.9,20.2,2574100,18.42
2008-03-11,20.2,20.88,20.16,20.85,3944500,19.01
2008-03-12,20.85,21.02,20.68,20.72,1962700,18.9
2008-03-13,20.44,20.83,20.44,20.69,1786200,18.86
2008-03-14,20.69,20.73,20.17,20.31,1812400,18.52
2008-03-18,20.31,20.84,20.31,20.62,2129000,18.8
2008-03-19,20.62,20.83,20.05,20.32,2028400,18.53
2008-03-20,20.32,20.32,20.32,20.32,0,18.53
2008-03-21,20.32,20.32,20.32,20.32,0,18.53
2008-03-24,20.47,20.74,19.63,19.83,1513700,18.08
2008-03-25,19.75,20.68,19.72,20.47,1934500,18.66
2008-03-26,20.29,20.53,20.11,20.51,1210200,18.71
2008-03-27,20.64,20.8,20.53,20.72,1803800,18.9
2008-03-28,20.65,20.83,20.53,20.72,1193600,18.9
2008-03-31,21.99,22.22,20.58,21.99,0,20.05
2008-04-01,22.05,25.18,22.05,23.7,11729100,21.61
2008-04-02,23.7,24.25,22.98,23.12,5768200,21.08
2008-04-03,22.98,23.64,22.5,22.84,3172200,20.83
2008-04-04,22.93,23.22,22.48,22.67,1361800,20.67
2008-04-07,22.83,22.88,22.49,22.75,1293900,20.75
2008-04-08,22.83,23.22,22.54,23.06,3602300,21.03
2008-04-09,22.98,23.17,22.35,22.73,2191800,20.73
2008-04-10,22.73,23.52,22.73,23.42,4367300,21.36
2008-04-11,23.18,23.37,22.88,22.95,1228000,20.93
2008-04-14,22.94,23.17,22.49,22.55,1271800,20.57
2008-04-15,22.82,22.92,22.25,22.49,1113500,20.51
2008-04-16,22.72,23.35,22.44,23.06,1611300,21.03
2008-04-17,23.22,23.37,22.54,22.78,1449100,20.78
2008-04-18,22.92,23.27,22.92,23.18,2221000,21.14
2008-04-21,23.3,23.76,23.05,23.23,1607600,21.18
2008-04-22,23.27,23.27,22.64,23.01,1816500,20.98
2008-04-23,23.01,23.27,22.88,23.11,1207600,21.07
2008-04-24,23.14,23.22,22.81,23.14,1651400,21.11
2008-04-25,24.78,24.93,23.27,24.78,0,22.6
2008-04-28,24.78,24.78,23.71,24.09,1934100,21.97
2008-04-29,23.96,23.96,23.27,23.46,3679800,21.39
2008-04-30,23.36,23.71,23.11,23.44,2041500,21.37
2008-05-01,23.44,23.44,23.44,23.44,0,21.37
2008-05-02,23.55,24.05,23.3,23.75,1806000,21.66
2008-05-05,23.86,24.25,23.86,24.2,1914000,22.07
2008-05-06,24.39,24.49,23.81,24.01,1860000,21.89
2008-05-07,24.1,24.15,23.22,23.37,964600,21.32
2008-05-08,23.81,23.81,23.47,23.81,1222500,21.71
2008-05-09,24.05,24.05,22.52,23.12,1956400,21.08
2008-05-12,23.27,23.57,22.78,23.3,1212300,21.81
2008-05-13,23.29,23.57,22.99,23.44,1363000,21.94
2008-05-14,23.54,23.57,23.08,23.32,2068100,21.83
2008-05-15,23.57,23.57,22.88,23.02,1556900,21.56
2008-05-16,23.27,23.37,22.49,22.67,2560400,21.23
2008-05-19,23.13,23.22,22.98,23.08,2429900,21.61
2008-05-20,23.22,23.27,23.03,23.25,1560200,21.77
2008-05-21,23.37,23.37,22.59,22.93,945500,21.47
2008-05-22,22.93,22.93,22.25,22.42,3837900,20.99
2008-05-23,22.48,22.5,21.51,21.87,1521900,20.48
2008-05-26,21.87,21.87,21.59,21.74,353000,20.35
2008-05-27,21.83,21.95,21.61,21.7,1584700,20.32
2008-05-28,21.76,22.25,21.76,22.04,763100,20.64
2008-05-29,22.22,22.71,22.22,22.48,1401500,21.05
