Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,41.4,41.4,39.5,39.5,0,38.9
2006-10-03,41.3,41.3,41.29,41.29,900,40.66
2006-10-04,41.29,42.25,41.29,42.25,32600,41.61
2006-10-05,42.24,42.6,42.24,42.6,29500,41.95
2006-10-06,42.25,42.75,42.25,42.75,57900,42.1
2006-10-09,42.99,43.0,42.99,42.99,2500,42.34
2006-10-10,42.99,43.0,42.3,43.0,8700,42.35
2006-10-11,43.0,43.0,42.1,42.1,0,41.46
2006-10-12,43.0,43.5,43.0,43.5,126000,42.84
2006-10-13,43.49,44.25,43.49,44.1,8000,43.43
2006-10-16,44.0,44.1,44.0,44.1,10100,43.43
2006-10-17,44.1,44.1,43.5,44.0,4000,43.33
2006-10-18,43.87,43.87,43.87,43.87,1500,43.2
2006-10-19,44.0,44.0,43.8,43.8,59100,43.14
2006-10-20,43.79,43.79,42.0,42.0,0,41.36
2006-10-23,43.8,43.8,43.8,43.8,300,43.14
2006-10-24,42.0,43.65,42.0,43.65,1000,42.99
2006-10-25,43.65,43.65,43.0,43.44,19800,42.78
2006-10-26,43.05,43.44,43.05,43.44,23900,42.78
2006-10-27,43.05,43.05,43.05,43.05,11100,42.4
2006-10-30,42.5,42.69,42.4,42.5,134100,41.86
2006-10-31,42.05,43.0,42.05,43.0,142600,42.35
2006-11-01,42.89,42.89,42.88,42.89,71900,42.24
2006-11-02,42.89,42.89,42.89,42.89,0,42.24
2006-11-03,42.79,42.79,42.5,42.5,0,41.86
2006-11-06,42.87,43.0,42.87,43.0,126700,42.35
2006-11-07,46.4,46.4,42.8,42.8,70200,42.15
2006-11-08,42.8,42.8,42.79,42.8,206300,42.15
2006-11-09,42.7,42.7,42.7,42.7,500,42.05
2006-11-10,42.7,42.79,42.2,42.5,115200,41.86
2006-11-13,42.65,42.65,42.19,42.2,43100,41.56
2006-11-14,46.4,46.4,41.99,42.0,122600,41.36
2006-11-15,42.1,42.11,42.1,42.11,14400,41.47
2006-11-16,45.9,45.9,41.23,42.11,22800,41.47
2006-11-17,45.85,45.85,42.12,42.12,17000,41.48
2006-11-20,42.12,42.12,42.12,42.12,0,41.48
2006-11-21,42.0,42.1,42.0,42.0,415200,41.36
2006-11-22,42.0,42.6,42.0,42.0,198200,41.36
2006-11-23,42.6,42.6,42.6,42.6,1000,41.95
2006-11-24,42.59,42.61,42.59,42.6,13000,41.95
2006-11-27,42.79,42.79,42.79,42.79,1000,42.14
2006-11-28,42.79,42.79,42.78,42.79,29200,42.14
2006-11-29,42.79,42.79,42.5,42.6,501100,41.95
2006-11-30,42.6,44.0,42.5,44.0,343600,43.33
2006-12-01,44.0,44.0,44.0,44.0,0,43.33
2006-12-04,44.25,44.25,42.51,42.51,0,41.87
2006-12-05,44.0,44.9,43.7,44.9,149400,44.22
2006-12-06,44.5,44.99,44.5,44.99,21000,44.31
2006-12-07,44.99,45.32,44.99,45.32,163500,44.63
2006-12-08,46.22,47.0,46.22,46.5,5200,45.79
2006-12-11,46.7,47.2,46.5,47.2,160200,46.48
2006-12-12,47.2,47.2,47.2,47.2,0,46.48
2006-12-13,47.2,47.2,47.2,47.2,27700,46.48
2006-12-14,48.0,48.0,48.0,48.0,55500,47.27
2006-12-15,48.0,48.0,47.99,47.99,3200,47.26
2006-12-18,48.0,48.5,47.98,48.5,107200,47.76
2006-12-19,48.0,48.5,47.99,48.5,150100,47.76
