Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,28.1,28.1,28.1,28.1,1800,28.1,GFAMSAA.MX
2006-10-03,28.11,30.0,28.11,29.75,1108400,29.75,GFAMSAA.MX
2006-10-04,30.0,30.8,30.0,30.69,1507000,30.69,GFAMSAA.MX
2006-10-05,30.6,31.6,30.6,31.5,974200,31.5,GFAMSAA.MX
2006-10-06,31.5,32.9,31.05,31.14,1561500,31.14,GFAMSAA.MX
2006-10-09,31.0,31.2,31.0,31.04,103500,31.04,GFAMSAA.MX
2006-10-10,31.0,32.54,31.0,32.0,787500,32.0,GFAMSAA.MX
2006-10-11,32.0,32.53,32.0,32.47,1814900,32.47,GFAMSAA.MX
2006-10-12,32.45,32.5,32.0,32.5,817200,32.5,GFAMSAA.MX
2006-10-13,32.5,33.51,32.5,33.51,1086600,33.51,GFAMSAA.MX
2006-10-16,33.5,34.44,33.5,33.5,740500,33.5,GFAMSAA.MX
2006-10-17,33.5,33.5,32.9,33.1,85000,33.1,GFAMSAA.MX
2006-10-18,34.0,34.5,34.0,34.1,1056000,34.1,GFAMSAA.MX
2006-10-19,34.1,34.1,33.8,33.8,141100,33.8,GFAMSAA.MX
2006-10-20,33.8,33.8,33.6,33.6,215700,33.6,GFAMSAA.MX
2006-10-23,33.6,33.6,33.0,33.1,68800,33.1,GFAMSAA.MX
2006-10-24,32.85,34.05,32.84,33.72,310900,33.72,GFAMSAA.MX
2006-10-25,33.7,33.7,33.2,33.4,92400,33.4,GFAMSAA.MX
2006-10-26,33.4,33.7,33.4,33.7,74500,33.7,GFAMSAA.MX
2006-10-27,33.1,34.0,33.1,33.5,311000,33.5,GFAMSAA.MX
2006-10-30,33.2,33.21,33.0,33.2,149200,33.2,GFAMSAA.MX
2006-10-31,33.23,34.5,33.23,34.5,116600,34.5,GFAMSAA.MX
2006-11-01,34.3,34.4,33.5,34.26,41400,34.26,GFAMSAA.MX
2006-11-03,35.0,36.0,35.0,36.0,310500,36.0,GFAMSAA.MX
2006-11-06,36.3,37.0,36.3,37.0,601800,37.0,GFAMSAA.MX
2006-11-07,37.0,37.0,37.0,37.0,560000,37.0,GFAMSAA.MX
2006-11-08,36.5,36.5,35.5,36.0,8800,36.0,GFAMSAA.MX
2006-11-09,35.6,35.75,35.6,35.75,102700,35.75,GFAMSAA.MX
2006-11-10,35.7,35.71,35.5,35.5,122200,35.5,GFAMSAA.MX
2006-11-13,35.2,35.4,35.2,35.4,159500,35.4,GFAMSAA.MX
2006-11-14,35.4,37.2,35.4,36.2,385200,36.2,GFAMSAA.MX
2006-11-15,36.2,36.4,36.19,36.31,272700,36.31,GFAMSAA.MX
2006-11-16,36.35,37.6,36.31,37.55,262500,37.55,GFAMSAA.MX
2006-11-17,37.64,38.5,37.6,38.5,986700,38.5,GFAMSAA.MX
2006-11-21,38.5,40.0,38.5,38.88,2248300,38.88,GFAMSAA.MX
2006-11-22,38.9,39.1,38.9,39.1,279400,39.1,GFAMSAA.MX
2006-11-23,39.0,39.0,39.0,39.0,197900,39.0,GFAMSAA.MX
2006-11-24,39.01,39.05,39.01,39.01,28200,39.01,GFAMSAA.MX
2006-11-27,39.01,39.1,39.01,39.1,5700,39.1,GFAMSAA.MX
2006-11-28,39.1,39.1,39.03,39.1,339100,39.1,GFAMSAA.MX
2006-11-29,40.0,42.4,40.0,40.6,709600,40.6,GFAMSAA.MX
2006-11-30,39.51,40.2,39.5,40.19,22448700,40.19,GFAMSAA.MX
2006-12-04,40.2,42.0,40.01,41.93,241600,41.93,GFAMSAA.MX
2006-12-05,42.0,42.22,42.0,42.05,323600,42.05,GFAMSAA.MX
2006-12-06,42.08,42.6,42.08,42.53,72100,42.53,GFAMSAA.MX
2006-12-07,42.69,42.96,42.69,42.96,264700,42.96,GFAMSAA.MX
2006-12-08,43.0,43.2,42.0,42.4,684000,42.4,GFAMSAA.MX
2006-12-11,42.2,44.2,42.2,44.18,609400,44.18,GFAMSAA.MX
2006-12-13,44.18,44.5,44.15,44.26,427200,44.26,GFAMSAA.MX
2006-12-14,44.3,44.3,44.2,44.2,23500,44.2,GFAMSAA.MX
2006-12-15,44.5,46.0,44.5,45.7,393500,45.7,GFAMSAA.MX
2006-12-18,46.0,47.13,46.0,46.13,464800,46.13,GFAMSAA.MX
2006-12-19,46.2,47.1,46.1,46.95,279900,46.95,GFAMSAA.MX
2006-12-20,47.0,47.01,46.7,47.0,304800,47.0,GFAMSAA.MX
2006-12-21,47.0,47.78,47.0,47.78,38500,47.78,GFAMSAA.MX
2006-12-22,47.78,47.9,47.78,47.9,244000,47.9,GFAMSAA.MX
2006-12-26,47.9,47.9,47.9,47.9,400,47.9,GFAMSAA.MX
2006-12-27,47.94,50.1,47.94,49.88,48500,49.88,GFAMSAA.MX
2006-12-28,49.87,49.88,49.7,49.7,64000,49.7,GFAMSAA.MX
2006-12-29,48.5,48.5,48.5,48.5,3200,48.5,GFAMSAA.MX
2007-01-02,47.94,49.0,47.94,48.75,54800,48.75,GFAMSAA.MX
2007-01-03,48.75,48.75,48.5,48.65,239000,48.65,GFAMSAA.MX
2007-01-04,48.5,48.7,48.4,48.65,146400,48.65,GFAMSAA.MX
2007-01-05,48.0,50.0,45.0,49.07,132500,49.07,GFAMSAA.MX
2007-01-08,48.8,48.81,47.0,48.0,516300,48.0,GFAMSAA.MX
2007-01-09,48.0,48.0,47.8,47.9,57200,47.9,GFAMSAA.MX
2007-01-10,47.0,47.21,46.5,46.57,261800,46.57,GFAMSAA.MX
2007-01-11,46.57,47.0,46.57,47.0,651400,47.0,GFAMSAA.MX
2007-01-12,47.31,48.0,46.85,46.99,1492000,46.99,GFAMSAA.MX
2007-01-15,46.98,47.5,46.98,47.5,25600,47.5,GFAMSAA.MX
2007-01-16,47.59,47.59,47.2,47.3,317400,47.3,GFAMSAA.MX
2007-01-17,47.29,47.3,46.5,46.57,351300,46.57,GFAMSAA.MX
2007-01-18,46.8,46.8,46.0,46.23,369400,46.23,GFAMSAA.MX
2007-01-19,46.0,46.0,45.79,45.84,1164000,45.84,GFAMSAA.MX
2007-01-22,46.0,46.11,45.4,45.47,429500,45.47,GFAMSAA.MX
2007-01-23,45.5,47.5,45.5,47.19,2081200,47.19,GFAMSAA.MX
2007-01-24,47.19,49.1,47.19,48.36,2435100,48.36,GFAMSAA.MX
2007-01-25,47.89,47.9,47.6,47.8,557300,47.8,GFAMSAA.MX
