Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,39.0,39.0,38.7,38.8,6102000,5.54,GFINBURO.MX
2000-01-04,38.5,38.6,38.5,38.6,17796000,5.51,GFINBURO.MX
2000-01-05,38.6,38.6,37.6,38.3,29790000,5.47,GFINBURO.MX
2000-01-06,38.7,38.7,37.25,37.4,18816000,5.34,GFINBURO.MX
2000-01-07,37.6,38.2,37.6,38.2,6966000,5.45,GFINBURO.MX
2000-01-10,39.0,40.0,39.0,40.0,3726000,5.71,GFINBURO.MX
2000-01-11,40.0,40.5,39.5,40.0,2322000,5.71,GFINBURO.MX
2000-01-12,40.0,40.0,39.6,39.6,2076000,5.65,GFINBURO.MX
2000-01-13,40.0,40.2,39.6,40.2,3204000,5.74,GFINBURO.MX
2000-01-14,40.4,41.0,40.4,40.6,5394000,5.79,GFINBURO.MX
2000-01-17,40.65,41.2,40.65,41.0,2286000,5.85,GFINBURO.MX
2000-01-18,41.0,41.0,40.8,40.8,2454000,5.82,GFINBURO.MX
2000-01-19,40.8,41.5,40.7,41.4,7656000,5.91,GFINBURO.MX
2000-01-20,41.5,42.0,41.0,41.5,1608000,5.92,GFINBURO.MX
2000-01-21,41.7,42.0,41.0,41.3,1968000,5.89,GFINBURO.MX
2000-01-24,41.4,42.5,41.3,41.3,3612000,5.89,GFINBURO.MX
2000-01-25,41.4,42.2,41.4,41.5,5088000,5.92,GFINBURO.MX
2000-01-26,42.0,42.65,42.0,42.5,2748000,6.07,GFINBURO.MX
2000-01-27,43.0,43.2,42.8,42.8,2778000,6.11,GFINBURO.MX
2000-01-28,42.5,42.9,42.5,42.9,3048000,6.12,GFINBURO.MX
2000-01-31,42.8,45.2,42.6,45.2,7734000,6.45,GFINBURO.MX
2000-02-01,44.8,45.8,44.5,44.6,6222000,6.37,GFINBURO.MX
2000-02-02,44.8,44.95,44.6,44.95,2748000,6.42,GFINBURO.MX
2000-02-03,45.0,45.0,44.5,45.0,5952000,6.42,GFINBURO.MX
2000-02-04,45.0,45.05,44.3,44.3,5172000,6.32,GFINBURO.MX
2000-02-07,44.5,44.8,44.3,44.8,4032000,6.39,GFINBURO.MX
2000-02-08,44.5,44.5,44.1,44.1,2298000,6.29,GFINBURO.MX
2000-02-09,43.95,43.95,43.0,43.0,2244000,6.14,GFINBURO.MX
2000-02-10,43.2,43.5,43.2,43.5,4104000,6.21,GFINBURO.MX
2000-02-11,43.45,43.6,43.0,43.0,2262000,6.14,GFINBURO.MX
2000-02-14,43.0,43.2,42.5,43.0,8460000,6.14,GFINBURO.MX
2000-02-15,42.9,42.9,42.2,42.3,2082000,6.04,GFINBURO.MX
2000-02-16,42.35,42.6,42.3,42.6,1416000,6.08,GFINBURO.MX
2000-02-17,42.55,42.9,42.55,42.9,1542000,6.12,GFINBURO.MX
2000-02-18,42.75,42.85,42.2,42.4,4596000,6.05,GFINBURO.MX
2000-02-21,42.4,42.6,42.4,42.6,1212000,6.08,GFINBURO.MX
2000-02-22,42.5,42.5,42.4,42.4,906000,6.05,GFINBURO.MX
2000-02-23,42.5,43.5,42.2,43.5,2088000,6.21,GFINBURO.MX
2000-02-24,43.5,44.0,43.5,43.8,2304000,6.25,GFINBURO.MX
2000-02-25,44.0,44.4,43.5,43.5,1500000,6.21,GFINBURO.MX
2000-02-28,43.5,43.5,43.3,43.3,354000,6.18,GFINBURO.MX
2000-02-29,43.3,43.3,43.0,43.3,1188000,6.18,GFINBURO.MX
2000-03-01,43.2,44.0,42.8,44.0,2256000,6.28,GFINBURO.MX
2000-03-02,44.0,45.0,42.9,45.0,2712000,6.42,GFINBURO.MX
2000-03-03,45.2,45.5,44.7,44.7,2382000,6.38,GFINBURO.MX
2000-03-06,44.5,45.0,44.5,44.5,1116000,6.35,GFINBURO.MX
2000-03-07,44.4,45.5,44.4,45.3,1956000,6.47,GFINBURO.MX
2000-03-08,46.2,46.2,45.3,46.2,1518000,6.59,GFINBURO.MX
2000-03-09,46.2,46.2,44.9,44.95,2190000,6.42,GFINBURO.MX
2000-03-10,45.0,45.7,45.0,45.7,3516000,6.52,GFINBURO.MX
2000-03-13,45.3,46.0,45.3,46.0,2244000,6.57,GFINBURO.MX
2000-03-14,46.1,46.25,46.0,46.2,1440000,6.59,GFINBURO.MX
2000-03-15,46.0,47.2,46.0,47.2,2592000,6.74,GFINBURO.MX
2000-03-16,47.2,47.2,46.3,46.8,1446000,6.68,GFINBURO.MX
2000-03-17,46.8,46.8,46.3,46.4,762000,6.62,GFINBURO.MX
2000-03-20,46.4,46.4,45.0,45.0,2472000,6.42,GFINBURO.MX
2000-03-21,45.0,45.0,45.0,45.0,0,6.42,GFINBURO.MX
2000-03-22,45.5,45.9,45.1,45.9,2442000,6.55,GFINBURO.MX
2000-03-23,45.8,46.2,45.8,46.15,2082000,6.59,GFINBURO.MX
2000-03-24,46.15,46.15,45.3,45.3,1530000,6.47,GFINBURO.MX
2000-03-27,45.5,45.5,45.3,45.4,858000,6.48,GFINBURO.MX
2000-03-28,45.6,45.7,45.4,45.7,2988000,6.52,GFINBURO.MX
2000-03-29,45.4,45.7,45.4,45.7,1344000,6.52,GFINBURO.MX
2000-03-30,45.5,45.5,43.95,43.95,2394000,6.27,GFINBURO.MX
2000-03-31,44.1,45.0,44.0,45.0,3276000,6.42,GFINBURO.MX
2000-04-03,44.5,44.7,44.5,44.7,1812000,6.38,GFINBURO.MX
2000-04-04,44.6,44.6,43.6,43.9,1314000,6.27,GFINBURO.MX
2000-04-05,43.8,44.2,43.8,44.2,1074000,6.31,GFINBURO.MX
2000-04-06,44.15,44.15,44.0,44.1,1482000,6.29,GFINBURO.MX
2000-04-07,44.1,44.1,43.7,43.8,1482000,6.25,GFINBURO.MX
2000-04-10,43.6,43.6,42.7,43.0,1518000,6.14,GFINBURO.MX
2000-04-11,42.45,42.45,40.5,40.5,2454000,5.78,GFINBURO.MX
2000-04-12,41.0,41.0,40.5,40.5,1530000,5.78,GFINBURO.MX
2000-04-13,40.25,40.25,38.8,39.4,1692000,5.62,GFINBURO.MX
2000-04-14,38.5,38.55,38.0,38.55,1350000,5.5,GFINBURO.MX
2000-04-17,38.65,39.5,38.65,39.5,720000,5.64,GFINBURO.MX
2000-04-18,39.7,40.4,39.6,40.4,1290000,5.77,GFINBURO.MX
2000-04-19,40.45,40.45,39.5,40.4,252000,5.77,GFINBURO.MX
2000-04-20,40.4,40.4,40.4,40.4,0,5.77,GFINBURO.MX
2000-04-21,40.4,40.4,40.4,40.4,0,5.77,GFINBURO.MX
2000-04-24,40.0,40.0,39.75,40.0,1554000,5.71,GFINBURO.MX
2000-04-25,40.0,41.2,40.0,41.2,1566000,5.88,GFINBURO.MX
2000-04-26,41.2,41.5,40.0,40.0,1644000,5.71,GFINBURO.MX
2000-04-27,39.95,39.95,38.8,38.8,1170000,5.54,GFINBURO.MX
2000-04-28,38.8,38.8,38.2,38.2,696000,5.45,GFINBURO.MX
2000-05-01,38.2,38.2,38.2,38.2,0,5.45,GFINBURO.MX
2000-05-02,38.0,38.0,37.5,37.5,930000,5.35,GFINBURO.MX
2000-05-03,37.5,37.5,37.3,37.3,990000,5.32,GFINBURO.MX
2000-05-04,37.5,37.9,37.5,37.9,720000,5.41,GFINBURO.MX
2000-05-05,37.9,37.9,37.9,37.9,0,5.41,GFINBURO.MX
2000-05-08,37.7,37.7,37.0,37.0,510000,5.28,GFINBURO.MX
2000-05-09,36.8,36.8,35.0,35.0,1428000,5.0,GFINBURO.MX
2000-05-10,34.8,34.8,33.5,34.0,822000,4.85,GFINBURO.MX
2000-05-11,34.0,34.4,34.0,34.4,324000,4.91,GFINBURO.MX
2000-05-12,34.4,34.4,34.2,34.3,492000,4.9,GFINBURO.MX
2000-05-15,34.0,34.6,34.0,34.35,1428000,4.9,GFINBURO.MX
2000-05-16,34.35,34.7,34.15,34.7,2100000,4.95,GFINBURO.MX
2000-05-17,34.6,34.7,34.5,34.7,384000,4.95,GFINBURO.MX
2000-05-18,35.5,35.75,35.5,35.5,204000,5.07,GFINBURO.MX
2000-05-19,35.4,35.6,35.4,35.6,390000,5.08,GFINBURO.MX
2000-05-22,35.0,35.0,34.0,34.1,414000,4.87,GFINBURO.MX
2000-05-23,33.9,34.0,33.5,33.5,708000,4.78,GFINBURO.MX
2000-05-24,33.65,33.65,32.5,32.5,2424000,4.64,GFINBURO.MX
2000-05-25,32.8,32.8,31.0,31.3,9396000,4.47,GFINBURO.MX
2000-05-26,30.8,31.0,30.7,30.9,6744000,4.41,GFINBURO.MX
2000-05-29,30.9,30.9,30.9,30.9,18000,4.41,GFINBURO.MX
2000-05-30,31.0,31.3,31.0,31.3,48000,4.47,GFINBURO.MX
2000-05-31,31.5,31.5,31.25,31.25,570000,4.46,GFINBURO.MX
2000-06-01,31.7,31.7,31.0,31.0,378000,4.42,GFINBURO.MX
2000-06-02,31.4,32.55,31.2,32.2,1356000,4.6,GFINBURO.MX
2000-06-05,32.2,32.8,32.2,32.8,864000,4.68,GFINBURO.MX
2000-06-06,32.8,32.8,32.8,32.8,0,4.68,GFINBURO.MX
2000-06-07,32.55,35.0,32.55,35.0,690000,5.0,GFINBURO.MX
2000-06-08,34.5,35.0,34.5,35.0,720000,5.0,GFINBURO.MX
2000-06-09,35.0,36.0,35.0,35.9,450000,5.12,GFINBURO.MX
2000-06-12,36.0,36.5,36.0,36.5,366000,5.21,GFINBURO.MX
2000-06-13,36.5,36.7,36.5,36.7,258000,5.24,GFINBURO.MX
2000-06-14,36.8,37.35,36.8,37.3,168000,5.32,GFINBURO.MX
2000-06-15,37.0,37.0,35.9,36.0,1104000,5.14,GFINBURO.MX
2000-06-16,35.2,35.4,34.4,34.4,1620000,4.91,GFINBURO.MX
2000-06-19,34.4,34.4,34.4,34.4,192000,4.91,GFINBURO.MX
2000-06-20,34.0,34.0,33.5,33.5,306000,4.78,GFINBURO.MX
2000-06-21,33.5,33.6,33.5,33.6,414000,4.8,GFINBURO.MX
2000-06-22,33.5,34.0,33.4,34.0,966000,4.85,GFINBURO.MX
2000-06-23,33.9,33.9,33.0,33.3,72000,4.75,GFINBURO.MX
2000-06-26,33.0,33.0,33.0,33.0,672000,4.71,GFINBURO.MX
2000-06-27,33.5,34.0,33.45,33.5,498000,4.78,GFINBURO.MX
2000-06-28,33.5,33.5,32.5,32.5,1128000,4.64,GFINBURO.MX
2000-06-29,32.0,32.2,31.4,32.0,2700000,4.57,GFINBURO.MX
2000-06-30,33.2,33.4,33.05,33.05,690000,4.72,GFINBURO.MX
2000-07-03,34.0,35.5,33.7,35.5,1380000,5.07,GFINBURO.MX
2000-07-04,34.8,36.0,34.8,36.0,162000,5.14,GFINBURO.MX
2000-07-05,36.0,36.3,35.9,36.1,654000,5.15,GFINBURO.MX
2000-07-06,36.0,36.2,36.0,36.2,588000,5.17,GFINBURO.MX
2000-07-07,36.2,36.7,36.2,36.2,3804000,5.17,GFINBURO.MX
2000-07-10,36.55,36.6,36.0,36.2,780000,5.17,GFINBURO.MX
2000-07-11,35.7,35.7,35.5,35.55,402000,5.07,GFINBURO.MX
2000-07-12,35.5,35.5,35.0,35.0,1326000,5.0,GFINBURO.MX
2000-07-13,35.5,35.55,35.5,35.55,1662000,5.07,GFINBURO.MX
2000-07-14,35.5,35.5,35.2,35.3,408000,5.04,GFINBURO.MX
2000-07-17,35.0,35.0,34.95,35.0,414000,5.0,GFINBURO.MX
2000-07-18,34.6,36.0,34.4,36.0,456000,5.14,GFINBURO.MX
2000-07-19,35.0,35.0,34.0,34.8,6504000,4.97,GFINBURO.MX
2000-07-20,35.0,35.0,33.0,33.0,1500000,4.71,GFINBURO.MX
2000-07-21,33.0,33.1,33.0,33.1,1086000,4.72,GFINBURO.MX
2000-07-24,33.1,33.1,32.7,33.1,912000,4.72,GFINBURO.MX
2000-07-25,33.4,34.5,33.4,34.5,522000,4.92,GFINBURO.MX
2000-07-26,34.2,34.5,33.5,34.5,576000,4.92,GFINBURO.MX
2000-07-27,34.5,34.5,33.8,33.8,558000,4.82,GFINBURO.MX
2000-07-28,33.5,33.5,32.2,32.5,1488000,4.64,GFINBURO.MX
2000-07-31,33.0,33.0,32.8,33.0,402000,4.71,GFINBURO.MX
2000-08-01,33.0,33.5,33.0,33.5,732000,4.78,GFINBURO.MX
2000-08-02,33.6,33.6,33.0,33.5,1224000,4.78,GFINBURO.MX
2000-08-03,33.45,33.45,32.7,32.8,876000,4.68,GFINBURO.MX
2000-08-04,32.5,33.0,32.5,32.8,342000,4.68,GFINBURO.MX
2000-08-07,32.8,32.8,32.2,32.4,498000,4.62,GFINBURO.MX
2000-08-08,32.0,32.5,31.8,32.5,528000,4.64,GFINBURO.MX
2000-08-09,32.3,32.7,32.3,32.7,306000,4.67,GFINBURO.MX
2000-08-10,32.5,32.8,32.5,32.8,36000,4.68,GFINBURO.MX
2000-08-11,32.8,33.0,32.8,33.0,336000,4.71,GFINBURO.MX
2000-08-14,32.8,33.0,32.8,33.0,360000,4.71,GFINBURO.MX
2000-08-15,33.0,33.4,33.0,33.4,2784000,4.77,GFINBURO.MX
2000-08-16,33.4,34.0,33.4,34.0,162000,4.85,GFINBURO.MX
2000-08-17,33.9,34.0,33.9,34.0,162000,4.85,GFINBURO.MX
2000-08-18,34.0,34.0,33.0,33.8,150000,4.82,GFINBURO.MX
2000-08-21,33.8,33.8,33.8,33.8,24000,4.82,GFINBURO.MX
2000-08-22,33.8,33.8,33.8,33.8,6000,4.82,GFINBURO.MX
2000-08-23,33.8,33.8,33.7,33.8,342000,4.82,GFINBURO.MX
2000-08-24,33.8,33.8,32.8,32.8,1626000,4.68,GFINBURO.MX
2000-08-25,32.8,32.8,31.5,31.5,3330000,4.5,GFINBURO.MX
2000-08-28,31.7,31.7,31.4,31.5,2028000,4.5,GFINBURO.MX
2000-08-29,31.5,32.0,31.5,31.5,2472000,4.5,GFINBURO.MX
2000-08-30,31.5,32.5,31.3,32.5,1098000,4.64,GFINBURO.MX
2000-08-31,32.6,35.0,32.6,34.8,3876000,4.97,GFINBURO.MX
2000-09-01,34.95,35.15,34.95,35.15,1554000,5.02,GFINBURO.MX
2000-09-04,35.2,35.2,35.0,35.2,90000,5.02,GFINBURO.MX
2000-09-05,35.2,35.2,35.0,35.0,90000,5.0,GFINBURO.MX
2000-09-06,34.2,34.2,34.2,34.2,348000,4.88,GFINBURO.MX
2000-09-07,34.2,34.5,34.2,34.5,396000,4.92,GFINBURO.MX
2000-09-08,34.6,35.3,34.6,35.3,432000,5.04,GFINBURO.MX
2000-09-11,35.45,36.6,35.45,36.6,744000,5.22,GFINBURO.MX
2000-09-12,36.4,39.5,36.4,39.5,654000,5.64,GFINBURO.MX
2000-09-13,39.5,40.2,39.5,40.2,1170000,5.74,GFINBURO.MX
2000-09-14,40.4,40.8,40.0,40.0,1218000,5.71,GFINBURO.MX
2000-09-15,40.0,40.0,39.4,39.5,1464000,5.64,GFINBURO.MX
2000-09-18,39.0,39.1,38.9,39.0,690000,5.57,GFINBURO.MX
2000-09-19,39.0,39.0,37.8,37.8,2178000,5.4,GFINBURO.MX
2000-09-20,37.6,37.8,37.0,37.8,1494000,5.4,GFINBURO.MX
2000-09-21,37.7,37.7,37.2,37.4,300000,5.34,GFINBURO.MX
2000-09-22,37.0,38.55,37.0,38.4,1722000,5.48,GFINBURO.MX
2000-09-25,37.8,38.45,37.8,38.45,1326000,5.49,GFINBURO.MX
2000-09-26,37.8,39.5,37.8,39.5,2574000,5.64,GFINBURO.MX
2000-09-27,40.0,40.55,39.7,40.5,2940000,5.78,GFINBURO.MX
2000-09-28,40.6,41.6,40.2,41.6,2376000,5.94,GFINBURO.MX
2000-09-29,41.0,41.2,40.8,41.2,714000,5.88,GFINBURO.MX
2000-10-02,41.1,41.1,41.1,41.1,24000,5.87,GFINBURO.MX
2000-10-03,41.1,41.1,40.6,40.6,462000,5.79,GFINBURO.MX
2000-10-04,40.7,40.7,40.4,40.45,426000,5.77,GFINBURO.MX
2000-10-05,40.45,40.45,40.45,40.45,0,5.77,GFINBURO.MX
2000-10-06,40.0,40.0,39.3,39.5,870000,5.64,GFINBURO.MX
2000-10-09,39.0,39.0,38.8,39.0,846000,5.57,GFINBURO.MX
2000-10-10,38.8,38.8,38.5,38.5,894000,5.5,GFINBURO.MX
2000-10-11,38.3,38.3,37.5,37.6,918000,5.37,GFINBURO.MX
2000-10-12,37.6,38.4,37.6,38.0,4542000,5.42,GFINBURO.MX
2000-10-13,38.1,38.6,38.1,38.6,2814000,5.51,GFINBURO.MX
2000-10-16,38.65,38.85,38.65,38.65,510000,5.52,GFINBURO.MX
2000-10-17,38.0,39.0,37.5,39.0,888000,5.57,GFINBURO.MX
2000-10-18,38.65,39.0,38.65,38.95,3024000,5.56,GFINBURO.MX
2000-10-19,39.5,39.5,38.95,39.0,222000,5.57,GFINBURO.MX
2000-10-20,38.5,38.5,38.5,38.5,216000,5.5,GFINBURO.MX
2000-10-23,38.5,38.5,38.0,38.0,252000,5.42,GFINBURO.MX
2000-10-24,38.0,38.0,38.0,38.0,0,5.42,GFINBURO.MX
2000-10-25,37.0,37.0,36.0,36.0,2268000,5.14,GFINBURO.MX
2000-10-26,36.0,36.0,35.8,35.8,114000,5.11,GFINBURO.MX
2000-10-27,35.8,36.0,35.8,36.0,642000,5.14,GFINBURO.MX
2000-10-30,36.0,36.2,36.0,36.2,522000,5.17,GFINBURO.MX
2000-10-31,36.45,36.45,35.7,36.45,984000,5.2,GFINBURO.MX
2000-11-01,36.0,36.0,35.7,35.7,462000,5.1,GFINBURO.MX
2000-11-02,35.7,35.7,35.7,35.7,0,5.1,GFINBURO.MX
2000-11-03,36.0,36.0,35.7,35.9,684000,5.12,GFINBURO.MX
2000-11-06,35.65,35.75,35.5,35.5,300000,5.07,GFINBURO.MX
2000-11-07,35.5,36.5,35.5,36.0,132000,5.14,GFINBURO.MX
2000-11-08,36.0,36.0,35.6,36.0,246000,5.14,GFINBURO.MX
2000-11-09,35.95,36.0,35.4,35.4,252000,5.05,GFINBURO.MX
2000-11-10,35.0,36.0,35.0,35.0,618000,5.0,GFINBURO.MX
