Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,4.9,4.9,4.9,4.9,0,4.39
2006-10-03,4.9,4.9,4.9,4.9,0,4.39
2006-10-04,4.9,4.9,4.9,4.9,0,4.39
2006-10-05,4.9,4.9,4.9,4.9,0,4.39
2006-10-06,4.9,4.9,4.9,4.9,0,4.39
2006-10-09,4.9,4.9,4.9,4.9,0,4.39
2006-10-20,4.8,4.8,4.8,4.8,0,4.3
2006-10-23,4.8,4.8,4.8,4.8,100,4.3
2006-10-24,4.8,4.8,4.8,4.8,0,4.3
2006-10-25,4.8,4.8,4.8,4.8,0,4.3
2006-10-26,4.8,4.8,4.8,4.8,0,4.3
2006-10-27,4.8,4.8,4.8,4.8,0,4.3
2006-10-30,4.8,4.8,4.8,4.8,0,4.3
2006-10-31,4.8,4.8,4.8,4.8,500,4.3
2006-11-01,4.8,4.8,4.8,4.8,1000,4.3
2006-11-02,4.8,4.8,4.8,4.8,0,4.3
2006-11-03,4.8,4.8,4.8,4.8,0,4.3
2006-11-06,4.8,4.8,4.8,4.8,500,4.3
2006-11-07,4.8,4.8,4.8,4.8,500,4.3
2006-11-08,4.8,4.8,4.8,4.8,500,4.3
2006-11-09,4.8,4.8,4.8,4.8,0,4.3
2006-11-10,4.8,4.8,4.8,4.8,1000,4.3
2006-11-13,4.8,4.8,4.8,4.8,1000,4.3
2006-11-14,4.8,4.8,4.8,4.8,500,4.3
2006-11-15,4.85,4.85,4.85,4.85,500,4.35
2006-11-16,4.9,4.9,4.9,4.9,500,4.39
2006-11-17,4.95,5.0,4.95,5.0,4000,4.48
2006-11-20,5.0,5.0,5.0,5.0,0,4.48
2006-11-21,4.8,4.8,4.8,4.8,0,4.3
2006-11-22,4.8,4.8,4.8,4.8,0,4.3
2006-11-23,4.8,4.8,4.8,4.8,0,4.3
2006-11-24,5.0,5.0,4.8,4.8,0,4.3
2006-11-27,4.8,4.8,4.8,4.8,0,4.3
2006-11-28,4.8,4.8,4.8,4.8,0,4.3
2006-11-29,4.8,4.8,4.8,4.8,0,4.3
2006-11-30,5.0,5.0,5.0,5.0,0,4.48
2006-12-01,5.0,5.0,5.0,5.0,0,4.48
2006-12-04,4.8,4.8,4.8,4.8,0,4.3
2006-12-05,4.8,4.8,4.8,4.8,0,4.3
2006-12-06,4.8,4.8,4.8,4.8,0,4.3
2006-12-07,5.3,5.3,4.8,4.8,0,4.3
2006-12-08,4.8,4.8,4.8,4.8,0,4.3
2006-12-11,4.8,4.8,4.8,4.8,0,4.3
2006-12-12,4.8,4.8,4.8,4.8,0,4.3
2006-12-13,4.8,4.8,4.8,4.8,0,4.3
2006-12-14,4.8,4.8,4.8,4.8,0,4.3
2006-12-15,4.8,4.8,4.8,4.8,0,4.3
2006-12-18,4.8,4.8,4.8,4.8,0,4.3
2006-12-19,4.8,4.8,4.8,4.8,0,4.3
2006-12-20,5.0,5.0,5.0,5.0,0,4.48
2006-12-21,5.0,5.0,5.0,5.0,0,4.48
2006-12-22,5.0,5.0,5.0,5.0,4000,4.48
2006-12-25,5.0,5.0,5.0,5.0,0,4.48
2006-12-26,5.0,5.0,5.0,5.0,0,4.48
2006-12-27,5.0,5.0,5.0,5.0,0,4.48
2006-12-28,5.0,5.0,5.0,5.0,0,4.48
2006-12-29,5.0,5.0,5.0,5.0,0,4.48
2007-01-01,5.0,5.0,5.0,5.0,0,4.48
2007-01-02,5.0,5.0,5.0,5.0,0,4.48
2007-01-03,5.0,5.0,5.0,5.0,0,4.48
2007-01-04,5.0,5.0,5.0,5.0,0,4.48
2007-01-05,5.0,5.0,5.0,5.0,0,4.48
2007-01-08,5.0,5.0,5.0,5.0,0,4.48
2007-01-09,5.0,5.0,5.0,5.0,0,4.48
