Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-28,1.05,1.05,1.05,1.05,1000,1.05,GFMULTIO.MX
2000-01-31,1.05,1.05,1.05,1.05,6000,1.05,GFMULTIO.MX
2000-02-01,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-02,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-03,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-04,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-07,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-08,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-09,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-10,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-11,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-14,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-15,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-16,1.05,1.05,1.05,1.05,9000,1.05,GFMULTIO.MX
2000-02-17,1.05,1.05,1.05,1.05,16000,1.05,GFMULTIO.MX
2000-02-18,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-21,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-22,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-23,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-24,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-25,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-28,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-02-29,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-03-01,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-03-02,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-03-03,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-03-06,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-03-07,1.05,1.05,1.05,1.05,0,1.05,GFMULTIO.MX
2000-03-08,1.1,1.1,1.1,1.1,16000,1.1,GFMULTIO.MX
2000-03-09,1.1,1.1,1.1,1.1,0,1.1,GFMULTIO.MX
2000-03-10,1.21,1.21,1.2,1.2,428000,1.2,GFMULTIO.MX
2000-03-13,1.2,1.2,1.2,1.2,0,1.2,GFMULTIO.MX
2000-03-14,1.38,1.38,1.28,1.28,0,1.28,GFMULTIO.MX
2000-03-15,1.3,1.3,1.3,1.3,1000,1.3,GFMULTIO.MX
2000-03-16,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-03-17,1.4,1.4,1.1,1.1,0,1.1,GFMULTIO.MX
2000-03-20,1.1,1.1,1.1,1.1,0,1.1,GFMULTIO.MX
2000-03-21,1.1,1.1,1.1,1.1,0,1.1,GFMULTIO.MX
2000-03-22,1.3,1.3,1.3,1.3,6000,1.3,GFMULTIO.MX
2000-03-23,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-03-24,1.3,1.3,1.3,1.3,11000,1.3,GFMULTIO.MX
2000-03-27,1.3,1.3,1.3,1.3,10000,1.3,GFMULTIO.MX
2000-03-28,1.3,1.3,1.3,1.3,31000,1.3,GFMULTIO.MX
2000-03-29,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-03-30,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-03-31,1.32,1.32,1.2,1.2,0,1.2,GFMULTIO.MX
2000-04-03,1.3,1.3,1.3,1.3,1000,1.3,GFMULTIO.MX
2000-04-04,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-05,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-06,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-07,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-10,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-11,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-12,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-13,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-14,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-17,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-18,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-19,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-20,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-21,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-24,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-25,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-26,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-27,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-04-28,1.3,1.3,1.3,1.3,30000,1.3,GFMULTIO.MX
2000-05-01,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-05-02,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-05-03,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-05-04,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-05-05,1.3,1.3,1.3,1.3,0,1.3,GFMULTIO.MX
2000-05-08,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-09,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-10,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-11,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-12,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-15,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-16,1.0,1.0,1.0,1.0,12000,1.0,GFMULTIO.MX
2000-05-17,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-18,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-19,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-22,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-23,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-24,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-25,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-26,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-29,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-30,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-05-31,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-01,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-02,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-05,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-06,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-07,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-08,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-09,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-12,1.0,1.0,1.0,1.0,14000,1.0,GFMULTIO.MX
2000-06-13,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-14,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-15,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-16,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-19,1.0,1.0,1.0,1.0,59000,1.0,GFMULTIO.MX
2000-06-20,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-21,1.0,1.0,1.0,1.0,12000,1.0,GFMULTIO.MX
2000-06-22,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-23,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-26,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-27,1.0,1.0,1.0,1.0,58000,1.0,GFMULTIO.MX
2000-06-28,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-29,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-06-30,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-03,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-04,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-05,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-06,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-07,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-10,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-11,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-12,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-13,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-14,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-17,1.0,1.0,1.0,1.0,0,1.0,GFMULTIO.MX
2000-07-18,1.02,1.02,1.02,1.02,10000,1.02,GFMULTIO.MX
2000-07-19,1.02,1.02,1.02,1.02,35000,1.02,GFMULTIO.MX
2000-07-20,1.02,1.02,1.02,1.02,0,1.02,GFMULTIO.MX
2000-07-21,1.02,1.02,1.02,1.02,0,1.02,GFMULTIO.MX
2000-07-24,1.02,1.04,1.02,1.04,90000,1.04,GFMULTIO.MX
2000-07-25,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-07-26,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-07-27,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-07-28,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-07-31,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-08-01,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-08-02,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-08-03,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-08-04,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
2000-08-07,1.04,1.04,1.04,1.04,0,1.04,GFMULTIO.MX
