Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,34.5,34.5,33.3,33.61,3385400,31.85,GFNORTEO.MX
2006-10-03,33.61,33.8,33.36,33.68,2996700,31.91,GFNORTEO.MX
2006-10-04,33.68,34.52,33.68,34.31,4265000,32.51,GFNORTEO.MX
2006-10-05,34.47,35.5,34.47,35.36,4202200,33.51,GFNORTEO.MX
2006-10-06,35.28,35.45,34.69,35.1,2564800,33.26,GFNORTEO.MX
2006-10-09,35.1,36.2,35.1,35.24,2316400,33.39,GFNORTEO.MX
2006-10-10,35.25,35.45,34.55,34.97,3506000,33.14,GFNORTEO.MX
2006-10-11,34.97,35.55,34.94,35.44,7470600,33.58,GFNORTEO.MX
2006-10-12,35.44,36.5,35.44,36.23,10559600,34.33,GFNORTEO.MX
2006-10-13,36.23,36.6,35.8,36.4,6459700,34.49,GFNORTEO.MX
2006-10-16,36.5,36.9,36.3,36.83,2270400,34.9,GFNORTEO.MX
2006-10-17,36.5,36.5,36.0,36.17,2993700,34.27,GFNORTEO.MX
2006-10-18,36.3,37.0,36.3,36.67,3518000,34.75,GFNORTEO.MX
2006-10-19,36.6,37.88,36.4,37.49,2687500,35.52,GFNORTEO.MX
2006-10-20,37.5,37.8,34.81,37.38,2322600,35.42,GFNORTEO.MX
2006-10-23,37.38,37.55,37.3,37.5,2611800,35.53,GFNORTEO.MX
2006-10-24,37.69,37.97,37.4,37.91,2353100,35.92,GFNORTEO.MX
2006-10-25,37.43,39.2,37.4,39.01,4431500,36.96,GFNORTEO.MX
2006-10-26,39.1,39.5,39.0,39.32,7915200,37.26,GFNORTEO.MX
2006-10-27,39.35,39.35,38.01,38.11,2718600,36.11,GFNORTEO.MX
2006-10-30,37.9,37.9,36.52,36.99,4808800,35.05,GFNORTEO.MX
2006-10-31,37.01,39.0,37.01,38.74,21102400,36.71,GFNORTEO.MX
2006-11-01,38.9,39.15,38.38,38.47,2724200,36.45,GFNORTEO.MX
2006-11-02,38.47,38.47,38.47,38.47,0,36.45,GFNORTEO.MX
2006-11-03,38.47,38.55,37.57,38.5,2624300,36.48,GFNORTEO.MX
2006-11-06,38.5,39.99,38.5,39.45,3773600,37.38,GFNORTEO.MX
2006-11-07,39.5,40.0,38.0,39.37,3055400,37.31,GFNORTEO.MX
2006-11-08,39.37,39.56,39.0,39.38,1677600,37.31,GFNORTEO.MX
2006-11-09,39.35,40.0,39.2,39.98,4450400,37.88,GFNORTEO.MX
2006-11-10,39.98,41.7,39.7,41.43,3582100,39.26,GFNORTEO.MX
2006-11-13,41.5,43.22,41.15,42.95,2888400,40.7,GFNORTEO.MX
2006-11-14,43.1,44.22,42.1,42.14,5946900,39.93,GFNORTEO.MX
2006-11-15,42.15,42.5,41.9,42.41,8648800,40.19,GFNORTEO.MX
2006-11-16,42.41,42.49,41.5,41.65,4514700,39.47,GFNORTEO.MX
2006-11-17,41.5,41.5,40.4,40.98,5210400,38.83,GFNORTEO.MX
2006-11-20,40.98,40.98,40.98,40.98,0,38.83,GFNORTEO.MX
2006-11-21,41.2,41.25,40.0,40.37,10396200,38.25,GFNORTEO.MX
2006-11-22,40.37,41.0,40.37,40.8,13581200,38.66,GFNORTEO.MX
2006-11-23,41.07,41.07,40.7,40.8,891200,38.66,GFNORTEO.MX
2006-11-24,40.76,40.8,40.31,40.44,1522400,38.32,GFNORTEO.MX
2006-11-27,40.44,40.44,39.1,39.43,3299300,37.36,GFNORTEO.MX
2006-11-28,39.43,40.2,38.53,39.71,5910900,37.63,GFNORTEO.MX
2006-11-29,40.03,41.0,40.0,40.8,6521100,38.66,GFNORTEO.MX
2006-11-30,40.8,41.0,40.6,40.97,5284000,38.82,GFNORTEO.MX
2006-12-01,40.97,40.97,40.97,40.97,0,38.82,GFNORTEO.MX
2006-12-04,40.97,41.45,40.85,40.92,3904800,38.77,GFNORTEO.MX
2006-12-05,41.05,41.28,40.9,41.2,4186900,39.04,GFNORTEO.MX
2006-12-06,41.1,41.19,40.8,41.04,3038400,38.89,GFNORTEO.MX
2006-12-07,41.04,41.5,41.04,41.28,5363700,39.12,GFNORTEO.MX
2006-12-08,41.28,42.25,41.28,42.11,6621800,39.9,GFNORTEO.MX
2006-12-11,42.11,42.11,41.39,41.94,2515000,39.74,GFNORTEO.MX
2006-12-12,41.94,41.94,41.94,41.94,0,39.74,GFNORTEO.MX
2006-12-13,42.0,42.37,41.05,41.49,8259300,39.31,GFNORTEO.MX
2006-12-14,41.5,42.0,40.8,40.9,2949700,38.76,GFNORTEO.MX
2006-12-15,40.9,41.92,40.9,41.53,10113800,39.35,GFNORTEO.MX
2006-12-18,41.73,42.25,41.6,41.9,3571600,39.7,GFNORTEO.MX
2006-12-19,41.6,42.2,41.08,41.76,2288000,39.57,GFNORTEO.MX
2006-12-20,41.76,41.8,41.5,41.65,3008600,39.47,GFNORTEO.MX
2006-12-21,41.69,42.24,41.69,42.16,2789700,39.95,GFNORTEO.MX
2006-12-22,42.2,42.24,41.2,41.85,602000,39.66,GFNORTEO.MX
2006-12-25,41.85,41.85,41.85,41.85,0,39.66,GFNORTEO.MX
2006-12-26,41.85,41.86,41.6,41.67,981900,39.48,GFNORTEO.MX
