Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2002-10-10,19.3,19.3,19.2,19.2,113800,15.62,GISSAA.MX
2002-10-11,19.3,19.3,19.3,19.3,72800,15.7,GISSAA.MX
2002-10-14,19.1,19.1,19.1,19.1,93000,15.54,GISSAA.MX
2002-10-15,19.1,19.3,19.1,19.28,205000,15.69,GISSAA.MX
2002-10-16,19.1,19.1,19.1,19.1,115000,15.54,GISSAA.MX
2002-10-17,19.1,19.1,19.1,19.1,185600,15.54,GISSAA.MX
2002-10-18,19.1,19.2,19.1,19.2,62600,15.62,GISSAA.MX
2002-10-21,19.1,19.2,19.1,19.1,52200,15.54,GISSAA.MX
2002-10-22,19.1,19.1,19.1,19.1,278400,15.54,GISSAA.MX
2002-10-23,19.1,19.15,19.1,19.15,7200,15.58,GISSAA.MX
2002-10-24,19.15,19.3,19.15,19.15,23200,15.58,GISSAA.MX
2002-10-25,19.14,19.14,19.14,19.14,3000,15.57,GISSAA.MX
2002-10-28,19.15,19.15,19.14,19.14,22100,15.57,GISSAA.MX
2002-10-29,19.14,19.14,19.0,19.0,30000,15.46,GISSAA.MX
2002-10-30,19.0,19.0,19.0,19.0,7000,15.46,GISSAA.MX
2002-10-31,19.0,19.0,18.8,18.8,70800,15.3,GISSAA.MX
2002-11-01,18.8,18.8,18.8,18.8,2000,15.3,GISSAA.MX
2002-11-04,18.7,18.7,18.4,18.4,31500,14.97,GISSAA.MX
2002-11-05,18.3,18.3,18.1,18.1,25000,14.73,GISSAA.MX
2002-11-06,18.0,18.0,17.4,17.43,31800,14.18,GISSAA.MX
2002-11-07,17.38,17.38,15.65,15.65,47000,12.73,GISSAA.MX
2002-11-08,15.65,15.65,15.5,15.5,89700,12.61,GISSAA.MX
2002-11-11,15.5,15.5,14.0,14.06,297000,11.44,GISSAA.MX
2002-11-12,14.0,14.2,14.0,14.0,144600,11.39,GISSAA.MX
2002-11-13,14.0,14.28,14.0,14.28,221500,11.62,GISSAA.MX
2002-11-14,14.25,14.25,14.25,14.25,400,11.6,GISSAA.MX
2002-11-15,14.25,14.25,14.0,14.0,16000,11.39,GISSAA.MX
2002-11-18,13.8,13.8,13.8,13.8,55000,11.23,GISSAA.MX
2002-11-19,13.8,13.8,13.8,13.8,189500,11.23,GISSAA.MX
2002-11-20,13.8,13.8,13.8,13.8,0,11.23,GISSAA.MX
