Date,Open,High,Low,Close,Volume,Adj Close
2009-02-23,1.0,1.0,1.0,1.0,0,1.0
2009-02-24,1.0,1.0,1.0,1.0,0,1.0
2009-02-25,1.0,1.0,1.0,1.0,0,1.0
2009-02-26,1.0,1.0,1.0,1.0,0,1.0
2009-02-27,1.0,1.0,1.0,1.0,0,1.0
2009-03-02,1.0,1.0,1.0,1.0,0,1.0
2009-03-03,1.0,1.0,1.0,1.0,0,1.0
2009-03-04,1.0,1.0,1.0,1.0,0,1.0
2009-03-05,1.0,1.0,1.0,1.0,0,1.0
2009-03-06,1.0,1.0,1.0,1.0,0,1.0
2009-03-09,1.0,1.0,1.0,1.0,0,1.0
2009-03-10,1.0,1.0,1.0,1.0,0,1.0
2009-03-11,1.0,1.0,1.0,1.0,0,1.0
2009-03-12,1.0,1.0,1.0,1.0,0,1.0
2009-03-13,1.0,1.0,1.0,1.0,0,1.0
2009-03-17,1.0,1.0,1.0,1.0,0,1.0
2009-03-18,1.0,1.0,1.0,1.0,0,1.0
2009-03-19,1.0,1.0,1.0,1.0,0,1.0
2009-03-20,1.0,1.0,1.0,1.0,0,1.0
2009-03-23,1.0,1.0,1.0,1.0,0,1.0
2009-03-24,1.0,1.0,1.0,1.0,0,1.0
2009-03-25,1.0,1.0,1.0,1.0,0,1.0
2009-03-26,1.0,1.0,1.0,1.0,0,1.0
2009-03-27,1.0,1.0,1.0,1.0,0,1.0
2009-03-30,1.0,1.0,1.0,1.0,0,1.0
2009-03-31,1.0,1.0,1.0,1.0,0,1.0
2009-04-01,1.0,1.0,1.0,1.0,0,1.0
2009-04-02,1.0,1.0,1.0,1.0,0,1.0
2009-04-03,1.0,1.0,1.0,1.0,0,1.0
2009-04-06,1.0,1.0,1.0,1.0,0,1.0
2009-04-07,1.0,1.0,1.0,1.0,0,1.0
2009-04-08,1.0,1.0,1.0,1.0,0,1.0
2009-04-10,1.0,1.0,1.0,1.0,0,1.0
2009-04-13,1.0,1.0,1.0,1.0,0,1.0
2009-04-14,1.0,1.0,1.0,1.0,0,1.0
2009-04-15,1.0,1.0,1.0,1.0,0,1.0
2009-04-16,1.0,1.0,1.0,1.0,0,1.0
