Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-11-30,2.5,2.5,2.5,2.5,3000,2.5,GMD.MX
2000-12-04,2.5,2.5,2.5,2.5,1000,2.5,GMD.MX
2000-12-05,2.5,2.5,2.5,2.5,2000,2.5,GMD.MX
2000-12-06,2.5,2.5,2.5,2.5,1000,2.5,GMD.MX
2000-12-08,2.5,2.5,2.0,2.0,0,2.0,GMD.MX
2000-12-11,2.5,2.5,2.5,2.5,1000,2.5,GMD.MX
2000-12-13,2.5,2.5,2.5,2.5,1000,2.5,GMD.MX
2000-12-18,2.49,2.49,2.0,2.0,0,2.0,GMD.MX
2000-12-19,2.49,2.49,2.0,2.0,0,2.0,GMD.MX
2000-12-20,2.49,2.49,2.0,2.0,0,2.0,GMD.MX
2000-12-21,2.49,2.49,2.0,2.0,0,2.0,GMD.MX
2000-12-22,2.49,2.49,2.0,2.0,0,2.0,GMD.MX
2000-12-26,2.49,2.49,2.0,2.0,0,2.0,GMD.MX
2000-12-27,2.49,2.49,2.49,2.49,2000,2.49,GMD.MX
2000-12-28,2.0,2.0,2.0,2.0,0,2.0,GMD.MX
2000-12-29,2.0,2.0,2.0,2.0,10000,2.0,GMD.MX
2001-01-03,2.0,2.0,2.0,2.0,35000,2.0,GMD.MX
2001-01-10,1.99,1.99,1.99,1.99,1000,1.99,GMD.MX
2001-01-12,1.99,1.99,1.99,1.99,1000,1.99,GMD.MX
2001-01-22,2.0,2.0,1.9,1.9,0,1.9,GMD.MX
2001-04-17,1.9,1.9,1.9,1.9,1000,1.9,GMD.MX
2001-04-18,1.89,1.89,1.89,1.89,168600,1.89,GMD.MX
2001-04-20,1.91,1.91,1.91,1.91,0,1.91,GMD.MX
2001-05-10,1.09,1.1,0.64,0.69,5300,0.69,GMD.MX
2001-05-11,0.75,0.75,0.75,0.75,1000,0.75,GMD.MX
2001-05-14,0.7,0.7,0.66,0.66,200,0.66,GMD.MX
2001-05-15,0.66,0.66,0.66,0.66,100,0.66,GMD.MX
2001-05-16,0.74,0.74,0.73,0.73,301200,0.73,GMD.MX
2001-05-17,0.8,1.1,0.8,1.07,13800,1.07,GMD.MX
2001-05-18,1.1,1.2,1.1,1.2,3500,1.2,GMD.MX
