Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,48.08,48.08,46.66,46.66,712200,4.45,GMEXICOB.MX
2000-01-04,45.09,46.92,45.09,46.06,6757900,4.39,GMEXICOB.MX
2000-01-05,46.06,47.12,45.85,46.46,10168400,4.43,GMEXICOB.MX
2000-01-06,46.51,50.57,46.41,50.57,13398800,4.82,GMEXICOB.MX
2000-01-07,50.67,53.91,50.67,53.71,11278400,5.12,GMEXICOB.MX
2000-01-10,54.11,54.42,53.61,54.31,5358900,5.18,GMEXICOB.MX
2000-01-11,54.31,54.82,54.31,54.72,7434500,5.22,GMEXICOB.MX
2000-01-12,54.72,55.02,54.52,55.02,3960900,5.25,GMEXICOB.MX
2000-01-13,55.02,55.73,54.52,54.72,2120300,5.22,GMEXICOB.MX
2000-01-14,55.63,56.75,55.63,56.14,5106600,5.36,GMEXICOB.MX
2000-01-17,56.14,58.27,56.14,58.06,4285500,5.54,GMEXICOB.MX
2000-01-18,58.06,58.17,56.04,56.04,8977900,5.35,GMEXICOB.MX
2000-01-19,56.14,56.75,56.14,56.75,2057200,5.41,GMEXICOB.MX
2000-01-20,57.05,57.05,55.83,56.44,1876200,5.38,GMEXICOB.MX
2000-01-21,56.54,56.75,55.83,56.04,2778600,5.35,GMEXICOB.MX
2000-01-24,56.65,56.65,55.33,55.33,2598500,5.28,GMEXICOB.MX
2000-01-25,55.33,55.33,53.2,53.71,2209900,5.12,GMEXICOB.MX
2000-01-26,53.91,55.43,53.71,55.43,1145600,5.29,GMEXICOB.MX
2000-01-27,54.72,54.82,54.62,54.72,6035500,5.22,GMEXICOB.MX
2000-01-28,54.21,54.72,53.71,54.72,2480600,5.22,GMEXICOB.MX
2000-01-31,54.52,54.52,52.59,52.59,3807300,5.02,GMEXICOB.MX
2000-02-01,52.79,53.4,52.79,53.3,7940100,5.09,GMEXICOB.MX
2000-02-02,53.0,53.71,53.0,53.5,1515000,5.1,GMEXICOB.MX
2000-02-03,54.72,55.63,53.91,54.72,7326600,5.22,GMEXICOB.MX
2000-02-04,55.02,55.43,52.19,52.19,4185800,4.98,GMEXICOB.MX
2000-02-07,53.4,54.72,53.4,54.62,7488400,5.21,GMEXICOB.MX
2000-02-08,54.72,54.72,54.21,54.21,4059600,5.17,GMEXICOB.MX
2000-02-09,54.42,54.62,52.29,52.79,6748700,5.04,GMEXICOB.MX
2000-02-10,52.59,53.0,51.98,52.69,6279700,5.03,GMEXICOB.MX
2000-02-11,52.69,52.69,50.62,50.67,4385100,4.83,GMEXICOB.MX
2000-02-14,50.46,50.67,50.16,50.46,4583600,4.81,GMEXICOB.MX
2000-02-15,50.16,50.67,49.96,50.16,7525000,4.79,GMEXICOB.MX
2000-02-16,50.62,51.07,50.16,50.87,4520500,4.85,GMEXICOB.MX
2000-02-17,51.07,51.07,50.57,50.57,2282200,4.82,GMEXICOB.MX
2000-02-18,49.86,49.86,49.55,49.65,3960900,4.74,GMEXICOB.MX
2000-02-21,49.15,49.15,48.64,48.89,1064200,4.66,GMEXICOB.MX
2000-02-22,48.13,48.18,47.12,47.63,2751200,4.54,GMEXICOB.MX
2000-02-23,47.37,47.83,47.37,47.63,7389700,4.54,GMEXICOB.MX
2000-02-24,47.63,48.13,47.63,47.73,1542400,4.55,GMEXICOB.MX
2000-02-25,47.73,47.73,46.82,47.12,1001200,4.5,GMEXICOB.MX
2000-02-28,47.07,47.07,44.89,45.3,2571100,4.32,GMEXICOB.MX
2000-02-29,45.19,47.22,45.09,47.12,2444900,4.5,GMEXICOB.MX
2000-03-01,47.12,48.03,47.12,48.03,7714300,4.58,GMEXICOB.MX
2000-03-02,47.83,47.83,46.61,47.63,4989500,4.54,GMEXICOB.MX
2000-03-03,47.63,48.23,46.87,47.63,10637400,4.54,GMEXICOB.MX
2000-03-06,47.47,47.83,47.42,47.63,1857900,4.54,GMEXICOB.MX
