Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,26.1,26.35,25.9,26.2,1462000,21.86,GMODELOC.MX
2000-01-04,25.9,25.9,24.9,25.6,1884000,21.36,GMODELOC.MX
2000-01-05,25.5,25.5,24.6,24.8,2715000,20.7,GMODELOC.MX
2000-01-06,24.8,25.0,24.7,24.8,672000,20.7,GMODELOC.MX
2000-01-07,25.05,27.0,25.05,26.7,2642000,22.28,GMODELOC.MX
2000-01-10,27.0,27.15,26.1,27.15,1073000,22.66,GMODELOC.MX
2000-01-11,27.1,27.1,25.9,26.5,772000,22.11,GMODELOC.MX
2000-01-12,26.4,26.7,26.2,26.4,1027000,22.03,GMODELOC.MX
2000-01-13,26.7,27.0,25.4,25.4,1504000,21.2,GMODELOC.MX
2000-01-14,25.75,26.0,25.35,25.6,881000,21.36,GMODELOC.MX
2000-01-17,25.3,26.0,25.3,26.0,218000,21.7,GMODELOC.MX
2000-01-18,25.9,25.9,25.05,25.5,573000,21.28,GMODELOC.MX
2000-01-19,25.35,25.5,24.9,24.9,676000,20.78,GMODELOC.MX
2000-01-20,25.0,25.0,24.6,25.0,898000,20.86,GMODELOC.MX
2000-01-21,25.0,25.0,24.35,24.4,1287000,20.36,GMODELOC.MX
2000-01-24,24.5,24.8,24.2,24.25,491000,20.24,GMODELOC.MX
2000-01-25,24.25,24.3,23.8,23.85,781000,19.9,GMODELOC.MX
2000-01-26,24.0,24.2,23.55,23.55,696000,19.65,GMODELOC.MX
2000-01-27,23.8,24.1,23.8,24.0,874000,20.03,GMODELOC.MX
2000-01-28,23.85,23.85,23.0,23.0,1341000,19.19,GMODELOC.MX
2000-01-31,22.95,22.95,21.2,22.1,3072000,18.44,GMODELOC.MX
2000-02-01,22.2,22.6,21.8,22.3,6918000,18.61,GMODELOC.MX
2000-02-02,22.25,23.45,22.25,23.45,3043000,19.57,GMODELOC.MX
2000-02-03,23.5,25.2,22.45,24.5,2537000,20.44,GMODELOC.MX
2000-02-04,24.65,25.0,24.35,25.0,1863000,20.86,GMODELOC.MX
2000-02-07,24.8,25.0,23.8,24.0,758000,20.03,GMODELOC.MX
2000-02-08,24.5,24.7,23.55,23.6,830000,19.69,GMODELOC.MX
2000-02-09,23.55,24.95,23.5,23.6,731000,19.69,GMODELOC.MX
2000-02-10,23.8,24.3,23.35,24.2,1089000,20.19,GMODELOC.MX
2000-02-11,24.15,24.15,23.0,23.1,697000,19.28,GMODELOC.MX
2000-02-14,23.05,23.05,22.2,22.3,750000,18.61,GMODELOC.MX
2000-02-15,22.3,23.2,22.2,22.9,2359000,19.11,GMODELOC.MX
2000-02-16,22.9,23.0,22.1,22.35,2395000,18.65,GMODELOC.MX
2000-02-17,23.0,23.05,22.2,22.2,2272000,18.53,GMODELOC.MX
2000-02-18,22.3,22.3,21.5,21.7,1249000,18.11,GMODELOC.MX
2000-02-21,21.75,21.8,21.5,21.65,635000,18.07,GMODELOC.MX
2000-02-22,21.75,21.75,20.0,20.3,3852000,16.94,GMODELOC.MX
2000-02-23,20.15,21.9,20.15,21.75,2423000,18.15,GMODELOC.MX
2000-02-24,21.6,21.7,21.3,21.7,442000,18.11,GMODELOC.MX
2000-02-25,22.0,22.1,20.75,21.2,932000,17.69,GMODELOC.MX
2000-02-28,20.95,21.2,20.7,20.85,579000,17.4,GMODELOC.MX
2000-02-29,21.1,21.4,20.8,21.25,876000,17.73,GMODELOC.MX
2000-03-01,21.3,21.45,20.4,20.85,3908000,17.4,GMODELOC.MX
2000-03-02,20.5,22.25,20.5,22.25,2703000,18.57,GMODELOC.MX
2000-03-03,22.35,23.0,21.75,22.4,2986000,18.69,GMODELOC.MX
2000-03-06,22.1,22.5,22.0,22.1,1296000,18.44,GMODELOC.MX
2000-03-07,22.4,23.5,21.8,22.6,2315000,18.86,GMODELOC.MX
2000-03-08,22.65,23.05,22.3,22.45,2371000,18.73,GMODELOC.MX
2000-03-09,22.4,22.9,22.4,22.7,1349000,18.94,GMODELOC.MX
2000-03-10,22.65,22.75,21.0,21.2,735000,17.69,GMODELOC.MX
2000-03-13,20.8,21.4,20.4,21.4,1037000,17.86,GMODELOC.MX
2000-03-14,21.0,21.8,20.8,21.2,927000,17.69,GMODELOC.MX
2000-03-15,21.2,21.5,20.7,20.9,877000,17.44,GMODELOC.MX
2000-03-16,21.05,21.5,21.0,21.35,957000,17.82,GMODELOC.MX
2000-03-17,21.35,21.7,21.0,21.4,411000,17.86,GMODELOC.MX
2000-03-20,21.7,22.05,21.7,22.0,1300000,18.36,GMODELOC.MX
2000-03-21,22.0,22.0,22.0,22.0,0,18.36,GMODELOC.MX
2000-03-22,22.1,22.3,21.0,21.2,1037000,17.69,GMODELOC.MX
2000-03-23,21.15,21.3,20.6,20.7,1295000,17.27,GMODELOC.MX
2000-03-24,21.0,21.3,20.8,21.0,3126000,17.52,GMODELOC.MX
2000-03-27,21.45,21.7,21.1,21.15,660000,17.65,GMODELOC.MX
2000-03-28,21.2,21.3,20.8,21.1,1281000,17.61,GMODELOC.MX
2000-03-29,21.2,21.2,20.5,20.7,2772000,17.27,GMODELOC.MX
2000-03-30,20.6,20.9,20.0,20.0,1182000,16.69,GMODELOC.MX
2000-03-31,20.05,20.5,19.7,19.88,1357000,16.59,GMODELOC.MX
2000-04-03,19.8,20.2,19.2,20.1,2968000,16.77,GMODELOC.MX
2000-04-04,20.15,20.4,19.38,19.6,2767000,16.36,GMODELOC.MX
2000-04-05,19.72,20.4,19.72,19.78,2563000,16.51,GMODELOC.MX
2000-04-06,19.98,20.15,19.9,19.96,266000,16.66,GMODELOC.MX
2000-04-07,20.0,20.4,20.0,20.4,3779000,17.02,GMODELOC.MX
2000-04-10,20.4,20.6,20.2,20.6,1161000,17.19,GMODELOC.MX
2000-04-11,20.3,20.7,19.94,20.6,1669000,17.19,GMODELOC.MX
2000-04-12,20.3,21.1,20.2,20.5,3788000,17.11,GMODELOC.MX
2000-04-13,20.7,21.5,20.45,21.0,1802000,17.52,GMODELOC.MX
2000-04-14,21.0,21.0,21.0,21.0,0,17.52,GMODELOC.MX
