Date,Open,High,Low,Close,Volume,Adj Close
2006-10-05,29.5,29.5,28.0,28.0,0,18.61
2006-10-23,30.0,30.0,27.0,27.0,0,17.94
2006-10-24,30.0,30.0,27.0,27.0,0,17.94
2006-10-25,30.0,30.0,29.9,29.9,0,19.87
2006-10-26,30.0,30.0,30.0,30.0,0,19.94
2006-10-27,30.0,30.0,30.0,30.0,0,19.94
2006-10-30,30.0,30.0,30.0,30.0,0,19.94
2006-10-31,30.0,30.0,28.0,28.0,0,18.61
2006-11-01,30.0,30.0,28.05,28.05,0,18.64
2006-11-02,28.05,28.05,28.05,28.05,0,18.64
2006-11-07,32.5,32.5,27.0,27.0,0,17.94
2006-11-09,29.4,29.4,27.01,27.01,0,17.95
2006-11-10,31.5,31.5,27.01,27.01,0,17.95
2006-11-16,29.0,29.0,28.0,28.0,0,18.61
2006-11-17,29.0,29.0,28.0,28.0,0,18.61
2006-11-20,28.0,28.0,28.0,28.0,0,18.61
2006-11-21,29.0,29.0,29.0,29.0,0,19.27
2006-11-22,29.0,29.0,28.8,28.8,0,19.14
2006-11-24,29.0,29.0,29.0,29.0,0,19.27
2006-11-28,28.75,28.75,28.75,28.75,0,19.11
2006-11-29,28.75,28.75,28.75,28.75,0,19.11
2006-11-30,28.75,28.75,28.75,28.75,0,19.11
2006-12-01,28.75,28.75,28.75,28.75,0,19.11
2006-12-04,28.5,28.5,25.5,25.5,0,16.95
2006-12-05,28.5,28.5,25.5,25.5,0,16.95
2006-12-06,28.5,28.5,28.5,28.5,0,18.94
2006-12-07,28.5,28.5,25.3,25.3,0,16.81
2006-12-11,29.0,29.0,25.5,25.5,0,16.95
2006-12-12,25.5,25.5,25.5,25.5,0,16.95
2006-12-13,29.0,29.0,26.0,26.0,0,17.28
2006-12-14,29.0,29.0,26.0,26.0,0,17.28
2006-12-15,29.0,29.0,26.0,26.0,0,17.28
2006-12-18,29.0,29.0,29.0,29.0,0,19.27
2006-12-19,29.0,29.0,29.0,29.0,0,19.27
2006-12-20,28.8,28.8,28.8,28.8,0,19.14
2006-12-21,28.8,28.8,28.8,28.8,0,19.14
2006-12-25,28.8,28.8,28.8,28.8,0,19.14
2006-12-26,28.8,28.8,25.5,25.5,0,16.95
2006-12-27,28.8,28.8,26.0,26.0,0,17.28
2007-01-01,31.99,31.99,31.99,31.99,0,21.26
2007-01-02,31.9,31.9,26.5,26.5,0,17.61
2007-01-03,31.5,31.5,26.5,26.5,0,17.61
2007-01-04,31.8,31.8,28.8,28.8,0,19.14
2007-01-08,31.5,31.5,28.8,28.8,0,19.14
2007-01-09,31.5,31.5,28.85,28.85,0,19.17
2007-01-11,31.49,31.49,28.85,28.85,0,19.17
2007-01-12,31.49,31.49,28.8,28.8,0,19.14
2007-01-16,30.5,30.5,30.5,30.5,0,20.27
2007-01-17,30.5,30.5,28.0,28.0,0,18.61
2007-01-18,30.5,30.5,30.5,30.5,0,20.27
2007-01-19,30.5,30.5,30.5,30.5,0,20.27
2007-01-23,31.5,31.5,31.5,31.5,0,20.93
2007-01-24,31.49,31.49,31.49,31.49,0,20.93
2007-01-25,31.49,31.49,31.49,31.49,0,20.93
2007-01-26,31.49,31.49,31.49,31.49,0,20.93
2007-01-29,31.0,31.0,28.0,28.0,0,18.61
2007-01-30,31.4,31.4,31.4,31.4,0,20.87
2007-01-31,31.4,31.4,31.4,31.4,0,20.87
2007-02-01,31.0,31.0,28.0,28.0,0,18.61
2007-02-02,31.4,31.4,31.4,31.4,0,20.87
2007-02-05,31.4,31.4,31.4,31.4,0,20.87
