Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-10-02,0.25,0.25,0.25,0.25,100,0.25,GOMO.MX
2006-10-03,0.32,0.32,0.25,0.25,0,0.25,GOMO.MX
2006-10-04,0.32,0.32,0.25,0.25,0,0.25,GOMO.MX
2006-10-05,0.3,0.3,0.2,0.2,0,0.2,GOMO.MX
2006-10-06,0.32,0.32,0.22,0.22,0,0.22,GOMO.MX
2006-10-09,0.32,0.32,0.27,0.27,0,0.27,GOMO.MX
2006-10-10,0.32,0.32,0.25,0.25,0,0.25,GOMO.MX
2006-10-11,0.32,0.32,0.26,0.26,0,0.26,GOMO.MX
2006-10-12,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-13,0.25,0.25,0.25,0.25,100,0.25,GOMO.MX
2006-10-16,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-17,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-18,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-19,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-20,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-23,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-24,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-25,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-26,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-27,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-30,0.32,0.32,0.32,0.32,0,0.32,GOMO.MX
2006-10-31,0.32,0.32,0.25,0.25,0,0.25,GOMO.MX
2006-11-01,0.25,0.25,0.25,0.25,0,0.25,GOMO.MX
2006-11-02,0.25,0.25,0.25,0.25,0,0.25,GOMO.MX
2006-11-03,0.26,0.26,0.26,0.26,0,0.26,GOMO.MX
2006-11-06,0.25,0.25,0.25,0.25,0,0.25,GOMO.MX
2006-11-07,0.25,0.25,0.25,0.25,0,0.25,GOMO.MX
2006-11-08,0.25,0.25,0.25,0.25,0,0.25,GOMO.MX
2006-11-09,0.32,0.32,0.27,0.27,0,0.27,GOMO.MX
2006-11-10,0.32,0.32,0.27,0.27,0,0.27,GOMO.MX
