Date,Open,High,Low,Close,Volume,Adj Close
2009-02-23,58.5,58.5,58.5,58.5,0,55.98
2009-02-24,58.5,58.5,58.5,58.5,0,55.98
2009-02-25,58.5,58.5,58.5,58.5,0,55.98
2009-02-26,58.5,58.5,58.5,58.5,0,55.98
2009-02-27,58.5,58.5,58.5,58.5,0,55.98
2009-03-02,58.5,58.5,58.5,58.5,0,55.98
2009-03-03,58.5,58.5,58.5,58.5,0,55.98
2009-03-04,58.5,58.5,58.5,58.5,0,55.98
2009-03-05,58.5,58.5,58.5,58.5,0,55.98
2009-03-06,58.5,58.5,58.5,58.5,0,55.98
2009-03-09,58.5,58.5,58.5,58.5,0,55.98
2009-03-10,58.5,58.5,58.5,58.5,0,55.98
2009-03-11,58.5,58.5,58.5,58.5,0,55.98
2009-03-12,58.5,58.5,58.5,58.5,0,55.98
2009-03-13,33.0,58.5,33.0,33.0,0,31.58
2009-03-17,30.0,58.5,30.0,30.0,0,28.71
2009-03-18,30.0,58.5,30.0,30.0,0,28.71
2009-03-19,30.0,58.5,30.0,30.0,0,28.71
2009-03-20,30.0,58.5,30.0,30.0,0,28.71
2009-03-23,30.0,58.5,30.0,30.0,0,28.71
2009-03-24,30.0,58.5,30.0,30.0,0,28.71
2009-03-25,30.0,58.5,30.0,30.0,0,28.71
2009-03-26,30.0,58.5,30.0,30.0,0,28.71
2009-03-27,30.0,58.5,30.0,30.0,0,28.71
2009-03-30,58.5,58.5,58.5,58.5,0,55.98
2009-03-31,58.5,58.5,58.5,58.5,0,55.98
2009-04-01,58.5,58.5,58.5,58.5,0,55.98
2009-04-02,58.5,58.5,58.5,58.5,0,55.98
2009-04-03,58.5,58.5,58.5,58.5,0,55.98
2009-04-06,58.5,58.5,58.5,58.5,0,55.98
2009-04-07,58.5,58.5,58.5,58.5,0,55.98
2009-04-08,58.5,58.5,58.5,58.5,0,55.98
2009-04-09,58.5,58.5,58.5,58.5,0,55.98
2009-04-10,58.5,58.5,58.5,58.5,0,55.98
2009-04-13,58.5,58.5,58.5,58.5,0,55.98
2009-04-14,58.5,58.5,58.5,58.5,0,55.98
2009-04-15,58.5,58.5,58.5,58.5,0,55.98
2009-04-16,58.5,58.5,58.5,58.5,0,55.98
2009-04-17,58.5,58.5,58.5,58.5,0,55.98
2009-04-20,58.5,58.5,58.5,58.5,0,55.98
2009-04-21,58.5,58.5,58.5,58.5,0,55.98
