Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-28,9.68,9.68,9.44,9.44,0,9.34,GRUMAB.MX
2000-03-21,12.0,12.0,12.0,12.0,0,11.88,GRUMAB.MX
2000-04-19,11.28,11.28,11.0,11.0,0,10.89,GRUMAB.MX
2000-04-20,11.0,11.0,11.0,11.0,0,10.89,GRUMAB.MX
2000-04-21,11.0,11.0,11.0,11.0,0,10.89,GRUMAB.MX
2000-05-01,12.3,12.3,12.3,12.3,0,12.18,GRUMAB.MX
2000-05-03,12.0,12.0,11.5,11.5,0,11.38,GRUMAB.MX
2000-05-04,12.06,12.06,11.5,11.5,0,11.38,GRUMAB.MX
2000-05-05,11.5,11.5,11.5,11.5,0,11.38,GRUMAB.MX
2000-05-17,11.56,11.56,11.22,11.22,0,11.11,GRUMAB.MX
2000-06-01,11.2,11.2,11.0,11.0,0,10.89,GRUMAB.MX
2000-06-06,11.2,11.2,11.2,11.2,0,11.09,GRUMAB.MX
2000-06-22,11.64,11.64,11.2,11.2,0,11.09,GRUMAB.MX
2000-06-26,11.5,11.5,11.2,11.2,0,11.09,GRUMAB.MX
2000-06-28,11.5,11.5,11.02,11.02,0,10.91,GRUMAB.MX
2000-07-10,11.4,11.4,11.12,11.12,0,11.01,GRUMAB.MX
2000-07-17,11.2,11.2,11.02,11.02,0,10.91,GRUMAB.MX
2000-07-31,10.76,10.76,10.5,10.5,0,10.39,GRUMAB.MX
2000-08-04,10.7,10.7,10.5,10.5,0,10.39,GRUMAB.MX
2000-08-21,8.32,8.32,8.16,8.16,0,8.08,GRUMAB.MX
2000-08-28,8.22,8.22,8.04,8.04,0,7.96,GRUMAB.MX
2000-10-05,8.0,8.0,8.0,8.0,0,7.92,GRUMAB.MX
2000-10-24,8.0,8.0,8.0,8.0,0,7.92,GRUMAB.MX
2000-11-02,7.98,7.98,7.98,7.98,0,7.9,GRUMAB.MX
2000-11-10,7.16,7.16,6.98,6.98,0,6.91,GRUMAB.MX
2000-11-14,6.92,6.92,6.92,6.92,0,6.85,GRUMAB.MX
2000-11-20,7.0,7.0,7.0,7.0,0,6.93,GRUMAB.MX
2000-12-01,7.1,7.1,7.1,7.1,0,7.03,GRUMAB.MX
2000-12-12,7.12,7.12,7.12,7.12,0,7.05,GRUMAB.MX
2001-01-01,7.54,7.54,7.54,7.54,0,7.46,GRUMAB.MX
2001-01-03,7.6,7.6,7.22,7.22,0,7.15,GRUMAB.MX
2001-01-11,7.2,7.2,7.1,7.1,0,7.03,GRUMAB.MX
2001-01-22,6.98,6.98,6.5,6.5,0,6.43,GRUMAB.MX
2001-01-25,6.88,6.88,6.52,6.52,0,6.45,GRUMAB.MX
2001-02-14,8.5,8.5,7.8,7.8,0,7.72,GRUMAB.MX
2001-02-19,7.9,7.9,7.7,7.7,0,7.62,GRUMAB.MX
2001-03-20,6.92,6.92,6.3,6.3,0,6.24,GRUMAB.MX
2001-03-21,6.3,6.3,6.3,6.3,0,6.24,GRUMAB.MX
2001-03-27,6.87,6.87,6.2,6.2,0,6.14,GRUMAB.MX
2001-03-28,6.88,6.88,6.2,6.2,0,6.14,GRUMAB.MX
2001-03-30,6.79,6.79,6.2,6.2,0,6.14,GRUMAB.MX
2001-04-02,6.77,6.77,6.21,6.21,0,6.15,GRUMAB.MX
2001-04-04,6.96,6.96,6.2,6.2,0,6.14,GRUMAB.MX
2001-04-11,7.09,7.09,6.8,6.8,0,6.73,GRUMAB.MX
2001-04-12,6.8,6.8,6.8,6.8,0,6.73,GRUMAB.MX
2001-04-13,6.8,6.8,6.8,6.8,0,6.73,GRUMAB.MX
2001-05-01,7.66,7.66,7.66,7.66,0,7.58,GRUMAB.MX
2001-05-02,7.66,7.66,7.66,7.66,0,7.58,GRUMAB.MX
2001-05-07,7.54,7.54,7.01,7.01,0,6.94,GRUMAB.MX
2001-05-08,7.49,7.49,7.01,7.01,0,6.94,GRUMAB.MX
2001-05-09,7.01,7.01,7.01,7.01,0,6.94,GRUMAB.MX
2001-05-10,7.55,7.55,7.02,7.02,0,6.95,GRUMAB.MX
2001-05-15,7.0,7.0,6.8,6.8,0,6.73,GRUMAB.MX
2001-05-22,7.6,7.6,7.2,7.2,0,7.13,GRUMAB.MX
2001-05-30,7.2,7.2,7.2,7.2,0,7.13,GRUMAB.MX
2001-06-07,7.17,7.17,6.91,6.91,0,6.84,GRUMAB.MX
2001-06-11,7.0,7.0,6.8,6.8,0,6.73,GRUMAB.MX
