Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,2.0,2.0,1.92,1.92,0,1.92,HILASALA.MX
2000-01-04,1.9,1.9,1.82,1.82,22000,1.82,HILASALA.MX
2000-01-05,1.82,1.86,1.76,1.8,108000,1.8,HILASALA.MX
2000-01-06,1.84,1.84,1.81,1.81,190000,1.81,HILASALA.MX
2000-01-07,1.85,1.89,1.84,1.89,273000,1.89,HILASALA.MX
2000-01-10,1.89,1.89,1.82,1.89,142000,1.89,HILASALA.MX
2000-01-11,1.84,1.87,1.84,1.84,175000,1.84,HILASALA.MX
2000-01-12,1.85,1.89,1.85,1.89,60000,1.89,HILASALA.MX
2000-01-13,1.89,1.99,1.89,1.99,269000,1.99,HILASALA.MX
2000-01-14,2.0,2.0,1.94,2.0,447000,2.0,HILASALA.MX
2000-01-17,2.0,2.0,1.97,1.99,203000,1.99,HILASALA.MX
2000-01-18,1.96,1.98,1.96,1.96,531000,1.96,HILASALA.MX
2000-01-19,1.95,1.98,1.9,1.9,460000,1.9,HILASALA.MX
2000-01-20,1.93,1.93,1.86,1.86,355000,1.86,HILASALA.MX
2000-01-21,1.85,1.85,1.82,1.82,225000,1.82,HILASALA.MX
2000-01-24,1.8,1.84,1.8,1.84,102000,1.84,HILASALA.MX
2000-01-25,1.84,1.89,1.8,1.89,241000,1.89,HILASALA.MX
2000-01-26,1.84,1.89,1.84,1.88,230000,1.88,HILASALA.MX
2000-01-27,1.88,1.88,1.86,1.87,58000,1.87,HILASALA.MX
2000-01-28,1.86,1.86,1.84,1.84,500000,1.84,HILASALA.MX
2000-01-31,1.8,1.8,1.8,1.8,3000,1.8,HILASALA.MX
2000-02-01,1.83,1.9,1.74,1.9,1364000,1.9,HILASALA.MX
2000-02-02,1.86,1.86,1.86,1.86,5000,1.86,HILASALA.MX
2000-02-03,1.88,1.95,1.88,1.93,1783000,1.93,HILASALA.MX
2000-02-04,1.92,1.93,1.91,1.93,567000,1.93,HILASALA.MX
2000-02-07,1.95,1.95,1.9,1.9,61000,1.9,HILASALA.MX
2000-02-08,1.84,1.84,1.8,1.8,740000,1.8,HILASALA.MX
2000-02-09,1.85,1.85,1.82,1.82,12000,1.82,HILASALA.MX
2000-02-10,1.84,1.84,1.77,1.77,0,1.77,HILASALA.MX
2000-02-11,1.8,1.8,1.77,1.77,22000,1.77,HILASALA.MX
