Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2000-01-03,5.04,5.22,4.99,5.06,13700,50.6,HOGARB.MX
2000-01-04,5.0,5.0,4.8,4.8,8500,48.0,HOGARB.MX
2000-01-05,4.85,4.85,4.85,4.85,2400,48.5,HOGARB.MX
2000-01-06,4.8,4.8,4.8,4.8,11000,48.0,HOGARB.MX
2000-01-07,4.9,6.1,4.9,5.7,203300,57.0,HOGARB.MX
2000-01-10,6.02,6.6,6.02,6.4,171700,64.0,HOGARB.MX
2000-01-11,6.36,6.38,5.7,5.94,89800,59.4,HOGARB.MX
2000-01-12,5.86,5.86,5.72,5.8,29300,58.0,HOGARB.MX
2000-01-13,5.82,5.84,5.42,5.56,43900,55.6,HOGARB.MX
2000-01-14,5.54,5.56,5.46,5.46,2600,54.6,HOGARB.MX
2000-01-17,5.5,5.6,5.48,5.5,9400,55.0,HOGARB.MX
2000-01-18,5.56,5.56,5.22,5.22,27500,52.2,HOGARB.MX
2000-01-19,5.22,5.22,5.1,5.2,5300,52.0,HOGARB.MX
2000-01-20,5.2,5.2,5.12,5.12,20300,51.2,HOGARB.MX
2000-01-21,5.06,5.06,5.04,5.04,800,50.4,HOGARB.MX
2000-01-24,5.0,5.02,4.95,4.95,13200,49.5,HOGARB.MX
2000-01-25,4.95,4.95,4.95,4.95,500,49.5,HOGARB.MX
2000-01-26,4.96,5.46,4.96,5.3,50300,53.0,HOGARB.MX
2000-01-27,5.36,5.36,5.06,5.2,6500,52.0,HOGARB.MX
2000-01-28,5.2,5.2,5.06,5.2,1400,52.0,HOGARB.MX
2000-01-31,5.18,5.18,4.71,4.71,0,47.1,HOGARB.MX
2000-02-01,5.14,5.14,5.0,5.0,800,50.0,HOGARB.MX
2000-02-02,4.9,5.04,4.9,5.0,2500,50.0,HOGARB.MX
2000-02-03,5.12,5.2,5.02,5.02,12900,50.2,HOGARB.MX
2000-02-04,5.0,5.02,4.9,4.9,5900,49.0,HOGARB.MX
2000-02-07,4.9,4.99,4.9,4.99,9300,49.9,HOGARB.MX
2000-02-08,4.98,4.98,4.96,4.98,15200,49.8,HOGARB.MX
2000-02-09,5.0,5.02,4.7,4.96,48400,49.6,HOGARB.MX
2000-02-10,4.89,4.9,4.8,4.8,4400,48.0,HOGARB.MX
2000-02-11,4.8,4.8,4.7,4.7,2500,47.0,HOGARB.MX
2000-02-14,4.7,4.7,4.65,4.65,6500,46.5,HOGARB.MX
2000-02-15,4.6,4.65,4.59,4.6,20300,46.0,HOGARB.MX
2000-02-16,4.6,4.6,4.58,4.6,19200,46.0,HOGARB.MX
2000-02-17,4.6,4.6,4.6,4.6,100,46.0,HOGARB.MX
2000-02-18,4.5,4.5,4.35,4.35,1000,43.5,HOGARB.MX
2000-02-21,4.42,4.42,4.42,4.42,400,44.2,HOGARB.MX
2000-02-22,4.45,4.45,4.4,4.4,11600,44.0,HOGARB.MX
2000-02-23,4.38,4.38,4.36,4.36,1400,43.6,HOGARB.MX
2000-02-24,4.3,4.3,4.3,4.3,100,43.0,HOGARB.MX
2000-02-25,4.29,4.29,3.96,4.1,9300,41.0,HOGARB.MX
2000-02-28,4.0,4.0,3.96,3.96,1000,39.6,HOGARB.MX
2000-02-29,3.92,4.1,3.7,3.9,28100,39.0,HOGARB.MX
2000-03-01,3.9,3.94,3.85,3.94,4400,39.4,HOGARB.MX
2000-03-02,3.94,3.94,3.9,3.91,30300,39.1,HOGARB.MX
2000-03-03,3.92,4.98,3.92,4.41,205300,44.1,HOGARB.MX
2000-03-06,4.41,4.6,4.41,4.51,9600,45.1,HOGARB.MX
2000-03-07,4.51,4.68,4.2,4.4,228700,44.0,HOGARB.MX
2000-03-08,4.64,4.84,4.64,4.72,30800,47.2,HOGARB.MX
2000-03-09,4.82,5.22,4.7,5.2,228100,52.0,HOGARB.MX
2000-03-10,5.3,5.3,5.0,5.2,171800,52.0,HOGARB.MX
2000-03-13,5.2,5.2,5.2,5.2,0,52.0,HOGARB.MX
2000-03-14,4.7,4.7,4.7,4.7,1000,47.0,HOGARB.MX
2000-03-15,4.63,5.0,4.5,4.98,168800,49.8,HOGARB.MX
2000-03-16,5.1,5.1,4.8,4.94,17100,49.4,HOGARB.MX
2000-03-17,4.94,4.99,4.9,4.98,6500,49.8,HOGARB.MX
2000-03-20,4.86,4.86,4.86,4.86,2300,48.6,HOGARB.MX
2000-03-21,4.86,4.86,4.86,4.86,0,48.6,HOGARB.MX
2000-03-22,4.8,4.9,4.8,4.9,2000,49.0,HOGARB.MX
2000-03-23,4.75,4.75,4.66,4.68,5500,46.8,HOGARB.MX
2000-03-24,4.7,4.8,4.7,4.8,4100,48.0,HOGARB.MX
2000-03-27,4.9,4.9,4.9,4.9,100,49.0,HOGARB.MX
2000-03-28,4.67,4.8,4.67,4.73,152000,47.3,HOGARB.MX
2000-03-29,4.73,4.8,4.66,4.8,53200,48.0,HOGARB.MX
2000-03-30,4.9,4.9,4.6,4.78,9400,47.8,HOGARB.MX
2000-03-31,4.78,4.9,4.78,4.86,5300,48.6,HOGARB.MX
2000-04-03,4.78,4.78,4.6,4.68,6400,46.8,HOGARB.MX
2000-04-04,4.34,4.54,4.34,4.54,2100,45.4,HOGARB.MX
2000-04-05,4.54,4.7,4.54,4.7,13500,47.0,HOGARB.MX
2000-04-06,4.8,5.08,4.8,4.98,26600,49.8,HOGARB.MX
2000-04-07,5.06,5.1,4.6,4.99,10300,49.9,HOGARB.MX
2000-04-10,4.97,4.97,4.8,4.88,4600,48.8,HOGARB.MX
2000-04-11,4.88,4.88,4.6,4.6,0,46.0,HOGARB.MX
2000-04-12,4.8,4.8,4.64,4.64,0,46.4,HOGARB.MX
2000-04-13,4.79,4.79,4.6,4.6,0,46.0,HOGARB.MX
2000-04-14,4.73,4.73,3.96,3.96,0,39.6,HOGARB.MX
2000-04-17,4.6,4.6,4.6,4.6,5700,46.0,HOGARB.MX
2000-04-18,4.6,4.9,4.5,4.9,5800,49.0,HOGARB.MX
2000-04-19,4.79,4.8,4.79,4.8,1500,48.0,HOGARB.MX
2000-04-20,4.8,4.8,4.8,4.8,0,48.0,HOGARB.MX
2000-04-21,4.8,4.8,4.8,4.8,0,48.0,HOGARB.MX
2000-04-24,4.7,4.7,4.7,4.7,200,47.0,HOGARB.MX
2000-04-25,4.8,4.8,4.79,4.8,9600,48.0,HOGARB.MX
2000-04-26,4.8,4.8,4.7,4.7,4100,47.0,HOGARB.MX
2000-04-27,4.75,4.75,4.7,4.7,2000,47.0,HOGARB.MX
2000-04-28,4.75,4.75,4.75,4.75,100,47.5,HOGARB.MX
2000-05-01,4.75,4.75,4.75,4.75,0,47.5,HOGARB.MX
2000-05-02,4.75,4.75,4.5,4.5,0,45.0,HOGARB.MX
2000-05-03,4.7,4.7,3.6,3.6,0,36.0,HOGARB.MX
2000-05-04,4.74,4.74,4.54,4.54,0,45.4,HOGARB.MX
2000-05-05,4.54,4.54,4.54,4.54,0,45.4,HOGARB.MX
2000-05-08,5.0,5.0,5.0,5.0,200,50.0,HOGARB.MX
2000-05-09,4.75,4.8,4.75,4.8,500,48.0,HOGARB.MX
2000-05-10,4.3,4.5,4.24,4.44,12700,44.4,HOGARB.MX
2000-05-11,4.35,4.35,4.35,4.35,5400,43.5,HOGARB.MX
2000-05-12,4.37,4.37,4.35,4.35,23200,43.5,HOGARB.MX
2000-05-15,4.35,4.35,4.35,4.35,3900,43.5,HOGARB.MX
2000-05-16,4.5,4.5,4.46,4.46,1300,44.6,HOGARB.MX
2000-05-17,4.3,4.3,4.05,4.05,0,40.5,HOGARB.MX
2000-05-18,4.3,4.3,3.98,3.98,0,39.8,HOGARB.MX
