Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,69.95,69.97,69.39,69.56,98800,69.56
2006-10-03,69.28,69.28,68.0,68.23,205900,68.23
2006-10-04,67.9,69.9,67.76,68.93,228700,68.93
2006-10-05,69.75,70.49,69.45,69.83,425100,69.83
2006-10-06,69.5,70.09,69.28,69.5,107900,69.5
2006-10-09,69.51,69.59,68.7,69.23,329200,69.23
2006-10-10,69.5,71.8,69.5,71.25,509600,71.25
2006-10-11,72.31,75.5,72.31,73.89,522200,73.89
2006-10-12,73.97,76.4,73.97,76.29,799100,76.29
2006-10-13,76.0,76.45,75.5,76.29,202100,76.29
2006-10-16,77.08,78.44,77.0,77.74,514200,77.74
2006-10-17,77.75,77.75,76.0,76.58,607600,76.58
2006-10-18,76.81,77.0,76.0,76.77,119800,76.77
2006-10-19,76.77,77.86,75.9,77.77,125800,77.77
2006-10-20,77.12,77.12,76.31,76.88,84900,76.88
2006-10-23,76.88,77.95,76.75,77.84,93900,77.84
2006-10-24,78.4,78.4,77.8,78.17,100400,78.17
2006-10-25,78.4,80.73,78.4,79.84,210500,79.84
2006-10-26,81.0,81.7,80.19,81.6,558200,81.6
2006-10-27,81.6,82.69,81.57,81.73,243700,81.73
2006-10-30,81.73,81.73,80.26,80.42,204300,80.42
2006-10-31,80.42,81.33,78.87,79.35,577800,79.35
2006-11-01,79.85,80.77,79.36,80.33,413800,80.33
2006-11-03,80.24,80.33,79.0,79.08,274200,79.08
2006-11-06,79.28,80.84,78.9,80.54,218000,80.54
2006-11-07,81.09,82.75,81.09,82.54,373800,82.54
2006-11-08,82.75,83.02,82.4,82.95,118700,82.95
2006-11-09,82.58,83.82,82.58,83.51,160300,83.51
2006-11-10,83.42,84.5,83.42,83.95,289800,83.95
2006-11-13,85.33,86.75,85.05,86.58,287600,86.58
2006-11-14,86.58,88.43,86.58,88.29,427400,88.29
2006-11-15,88.42,88.44,87.7,88.19,351600,88.19
2006-11-16,89.0,90.97,89.0,89.61,417500,89.61
2006-11-17,88.4,89.83,87.43,89.46,331200,89.46
2006-11-21,89.6,90.25,89.0,89.4,126700,89.4
2006-11-22,90.45,90.45,89.74,90.1,154100,90.1
2006-11-23,90.1,91.9,90.1,90.13,18500,90.13
2006-11-24,90.58,91.0,90.3,90.97,61900,90.97
2006-11-27,90.3,90.31,88.85,89.01,191100,89.01
2006-11-28,88.0,88.77,87.9,88.47,149500,88.47
2006-11-29,88.64,89.65,88.64,89.18,191600,89.18
2006-11-30,89.05,90.74,89.05,90.43,416000,90.43
2006-12-04,90.0,90.0,87.07,88.77,515700,88.77
2006-12-05,88.4,91.1,88.4,90.96,290100,90.96
2006-12-06,90.94,91.8,90.0,91.6,413200,91.6
2006-12-07,91.49,92.32,91.0,92.24,306300,92.24
2006-12-08,91.23,91.6,90.38,90.43,277600,90.43
2006-12-11,91.6,93.98,91.6,93.6,177100,93.6
2006-12-13,94.0,94.1,93.16,93.4,265300,93.4
2006-12-14,93.9,93.9,92.3,93.75,239600,93.75
2006-12-15,94.39,99.27,94.39,98.63,656000,98.63
2006-12-18,98.63,99.0,97.3,98.58,95200,98.58
2006-12-19,98.58,99.0,97.65,98.86,95500,98.86
2006-12-20,98.86,101.2,98.6,101.14,204700,101.14
2006-12-21,101.5,102.03,100.9,101.83,332400,101.83
2006-12-22,100.79,100.8,100.1,100.53,78500,100.53
2006-12-26,102.45,103.8,102.45,103.5,99300,103.5
2006-12-27,104.0,107.08,104.0,106.68,228800,106.68
2006-12-28,107.03,108.6,106.72,108.16,183000,108.16
2006-12-29,108.32,108.32,105.95,106.06,240800,106.06
2007-01-02,106.3,106.98,106.2,106.9,29700,106.9
2007-01-03,108.45,109.01,107.2,108.62,767700,108.62
2007-01-04,108.62,108.62,106.9,107.01,684100,107.01
2007-01-05,106.75,107.03,104.58,104.6,201400,104.6
2007-01-08,104.35,104.36,102.55,103.07,540200,103.07
2007-01-09,103.16,105.0,103.16,103.91,758200,103.91
2007-01-10,104.0,106.32,103.8,105.89,201100,105.89
2007-01-11,107.41,108.5,107.11,108.41,240300,108.41
2007-01-12,108.9,108.9,107.5,108.17,308400,108.17
2007-01-15,108.17,109.25,108.17,109.25,15200,109.25
2007-01-16,109.1,109.1,107.0,107.19,193800,107.19
2007-01-17,107.19,110.7,107.0,110.2,372500,110.2
2007-01-18,110.7,110.7,108.5,108.74,254700,108.74
2007-01-19,108.0,109.3,107.0,108.63,153900,108.63
2007-01-22,108.63,108.63,104.56,106.56,719200,106.56
2007-01-23,107.2,107.2,105.5,105.94,486700,105.94
2007-01-24,106.5,109.05,106.19,108.46,748500,108.46
2007-01-25,108.68,108.68,105.87,106.69,392000,106.69
2007-01-26,107.0,107.18,105.35,105.46,372700,105.46
2007-01-29,105.71,105.97,104.9,105.55,381300,105.55
2007-01-30,105.38,107.5,105.29,107.3,310700,107.3
2007-01-31,106.91,109.14,106.91,109.06,610700,109.06
2007-02-01,109.25,112.99,109.25,111.39,615100,111.39
2007-02-02,111.7,113.0,111.2,111.21,383400,111.21
2007-02-06,113.0,114.75,113.0,114.46,744500,114.46
2007-02-07,114.41,117.04,113.9,117.01,579700,117.01
2007-02-08,116.49,116.5,115.27,116.46,382900,116.46
2007-02-09,116.11,116.11,111.69,112.94,670100,112.94
2007-02-12,112.41,112.41,110.0,111.5,1061500,111.5
2007-02-13,111.5,114.51,111.5,113.8,976300,113.8
2007-02-14,113.8,117.1,113.55,116.04,569300,116.04
2007-02-15,116.0,116.5,115.22,115.68,278200,115.68
2007-02-16,116.5,116.85,115.51,116.8,254400,116.8
2007-02-19,116.95,117.0,116.55,116.99,909600,116.99
2007-02-20,117.5,119.3,117.12,117.2,373000,117.2
2007-02-21,117.21,117.21,116.39,116.9,422600,116.9
2007-02-22,117.47,118.0,115.0,116.94,586700,116.94
2007-02-23,116.96,117.53,111.3,113.16,992700,113.16
2007-02-26,113.13,113.17,105.74,108.53,2125100,108.53
2007-02-27,106.25,106.25,97.94,102.1,2536400,102.1
2007-02-28,104.28,104.28,100.0,101.45,2175300,101.45
2007-03-01,100.0,102.46,98.2,100.68,951000,100.68
2007-03-02,100.0,101.03,96.85,97.26,1250500,97.26
2007-03-05,95.69,96.0,92.61,93.71,1084600,93.71
2007-03-06,96.3,97.5,95.55,97.17,1688600,97.17
2007-03-07,97.17,97.7,96.0,96.44,1478300,96.44
2007-03-08,97.6,100.9,97.5,100.64,1095900,100.64
2007-03-09,101.65,102.99,101.0,102.68,1176800,102.68
2007-03-12,102.65,104.0,101.17,103.3,759400,103.3
2007-03-13,103.3,103.3,98.51,98.8,1045900,98.8
2007-03-14,98.9,99.28,96.51,98.57,1171900,98.57
2007-03-15,98.3,99.5,97.89,98.14,341000,98.14
2007-03-16,97.59,98.67,96.5,96.72,728700,96.72
2007-03-20,99.09,100.3,98.59,99.82,675400,99.82
2007-03-21,100.01,106.0,99.7,105.75,4146800,105.75
2007-03-22,106.0,107.0,104.28,106.12,3299400,106.12
2007-03-23,106.5,107.62,105.55,106.16,995000,106.16
2007-03-26,106.05,106.2,104.1,105.39,457800,105.39
2007-03-27,105.0,105.39,103.32,104.53,1071400,104.53
2007-03-28,104.25,104.25,102.0,103.46,1048900,103.46
2007-03-29,103.8,107.52,103.8,105.51,1586300,105.51
2007-03-30,105.3,107.0,104.32,106.89,836400,106.89
2007-04-02,106.89,108.9,106.4,108.27,911800,108.27
2007-04-03,109.0,111.75,109.0,111.14,1306500,111.14
2007-04-04,111.25,111.51,110.43,111.25,588200,111.25
2007-04-09,112.2,112.86,111.84,112.22,614700,112.22
2007-04-10,112.1,113.12,110.96,111.5,1228000,111.5
2007-04-11,111.34,112.13,110.63,111.05,620200,111.05
2007-04-12,111.05,113.7,109.38,113.07,1279700,113.07
2007-04-13,113.35,114.0,111.44,112.36,416500,112.36
2007-04-16,113.37,114.18,111.9,112.29,534000,112.29
2007-04-17,112.29,113.94,112.29,113.6,973600,113.6
2007-04-18,113.15,115.9,113.13,115.24,1381800,115.24
2007-04-19,113.6,115.4,113.01,115.02,618900,115.02
2007-04-20,115.55,116.6,114.66,115.35,769000,115.35
2007-04-23,115.35,115.75,112.3,113.46,298600,113.46
2007-04-24,113.99,114.2,110.0,111.79,855400,111.79
2007-04-25,111.5,112.0,109.8,111.46,656700,111.46
2007-04-26,112.16,112.16,107.5,109.75,913400,109.75
2007-04-27,110.98,110.98,106.5,109.66,1150500,109.66
2007-04-30,109.0,109.45,106.0,106.19,764100,106.19
2007-05-02,105.0,108.4,104.9,107.71,1037600,107.71
2007-05-03,107.21,110.49,107.0,110.2,956600,110.2
2007-05-04,111.0,112.2,110.4,111.65,1672900,111.65
2007-05-07,111.65,111.65,109.2,109.33,1039200,109.33
2007-05-08,109.0,111.2,107.55,111.1,746700,111.1
2007-05-09,111.0,112.75,110.16,112.49,698800,112.49
2007-05-10,111.1,112.34,110.35,110.68,1015000,110.68
2007-05-11,112.0,113.8,111.17,113.61,1095300,113.61
2007-05-14,113.99,113.99,110.68,112.29,838600,112.29
2007-05-15,110.7,111.0,107.0,108.24,32749700,108.24
2007-05-16,109.0,112.0,109.0,111.55,4117100,111.55
2007-05-17,111.97,112.8,110.99,112.47,1654600,112.47
2007-05-18,112.79,113.0,110.79,112.3,3263200,112.3
2007-05-21,112.61,113.15,112.0,112.49,2053000,112.49
2007-05-22,112.23,113.0,112.01,112.23,1054800,112.23
2007-05-23,112.3,112.95,109.99,110.05,1388400,110.05
2007-05-24,110.05,110.2,107.1,107.82,1849500,107.82
2007-05-25,108.99,109.26,107.53,109.0,426300,109.0
2007-05-28,108.8,109.48,108.8,109.07,66300,109.07
2007-05-29,109.4,110.55,108.5,109.3,785100,109.3
2007-05-30,108.5,110.39,108.0,110.09,831200,110.09
2007-05-31,110.16,110.78,107.49,107.64,716800,107.64
2007-06-01,107.15,108.31,106.27,107.7,658500,107.7
2007-06-04,107.19,108.3,106.69,108.13,702500,108.13
2007-06-05,107.5,107.9,106.0,106.67,1209300,106.67
2007-06-06,106.2,106.73,105.19,105.81,1092600,105.81
2007-06-07,105.1,106.08,102.85,104.62,1217400,104.62
2007-06-08,105.1,107.0,104.0,106.77,717200,106.77
2007-06-11,106.77,109.44,106.77,108.37,824500,108.37
2007-06-12,108.37,109.12,106.75,107.84,1066600,107.84
2007-06-13,107.84,109.7,106.98,109.58,417700,109.58
2007-06-14,110.0,113.3,109.76,113.16,3114100,113.16
2007-06-15,113.51,114.65,112.0,112.26,1270000,112.26
2007-06-18,112.01,113.2,110.52,112.39,889600,112.39
2007-06-19,111.88,112.25,110.5,111.89,880300,111.89
2007-06-20,111.0,112.49,110.88,111.05,850400,111.05
2007-06-21,110.6,111.15,108.1,110.84,750000,110.84
2007-06-22,112.0,112.0,108.91,109.84,602800,109.84
2007-06-25,109.89,110.61,108.57,108.84,330800,108.84
2007-06-26,109.0,109.0,107.1,107.32,839700,107.32
2007-06-27,107.0,107.25,105.73,107.09,1339200,107.09
