Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,0.01,0.01,0.01,0.01,0,0.01
2006-10-03,0.01,0.01,0.01,0.01,0,0.01
2006-10-04,0.01,0.01,0.01,0.01,0,0.01
2006-10-05,0.01,0.01,0.01,0.01,0,0.01
2006-10-06,0.01,0.01,0.01,0.01,0,0.01
2006-10-09,0.01,0.01,0.01,0.01,0,0.01
2006-10-10,0.01,0.01,0.01,0.01,0,0.01
2006-10-11,0.01,0.01,0.01,0.01,0,0.01
2006-10-12,0.01,0.01,0.01,0.01,0,0.01
2006-10-13,0.01,0.01,0.01,0.01,300,0.01
2006-10-16,0.01,0.01,0.01,0.01,0,0.01
2006-10-17,0.01,0.01,0.01,0.01,0,0.01
2006-10-18,0.01,0.01,0.01,0.01,0,0.01
2006-10-19,0.01,0.01,0.01,0.01,0,0.01
2006-10-20,0.01,0.01,0.01,0.01,0,0.01
2006-10-23,0.01,0.01,0.01,0.01,0,0.01
2006-10-24,0.01,0.01,0.01,0.01,0,0.01
2006-10-25,0.01,0.01,0.01,0.01,0,0.01
2006-10-26,0.01,0.01,0.01,0.01,0,0.01
2006-10-27,0.01,0.01,0.01,0.01,0,0.01
2006-10-30,0.01,0.01,0.01,0.01,0,0.01
2006-10-31,0.01,0.01,0.01,0.01,0,0.01
2006-11-01,0.01,0.01,0.01,0.01,200,0.01
2006-11-02,0.01,0.01,0.01,0.01,0,0.01
2006-11-03,0.01,0.01,0.01,0.01,0,0.01
2006-11-06,0.01,0.01,0.01,0.01,200,0.01
2006-11-07,0.01,0.01,0.01,0.01,3000,0.01
2006-11-08,0.01,0.01,0.01,0.01,0,0.01
2006-11-09,0.01,0.01,0.01,0.01,0,0.01
2006-11-10,0.01,0.01,0.01,0.01,0,0.01
2006-11-13,0.01,0.01,0.01,0.01,0,0.01
2006-11-14,0.01,0.01,0.01,0.01,0,0.01
2006-11-15,0.01,0.01,0.01,0.01,4000,0.01
2006-11-16,0.01,0.01,0.01,0.01,31000,0.01
2006-11-17,0.02,0.02,0.02,0.02,2000,0.02
2006-11-20,0.02,0.02,0.02,0.02,0,0.02
2006-11-21,0.02,0.02,0.02,0.02,1000,0.02
2006-11-22,0.02,0.02,0.02,0.02,1000,0.02
2006-11-23,0.02,0.02,0.02,0.02,0,0.02
2006-11-24,0.02,0.02,0.02,0.02,0,0.02
2006-11-27,0.02,0.02,0.02,0.02,0,0.02
2006-11-28,0.02,0.02,0.02,0.02,0,0.02
2006-11-29,0.02,0.02,0.02,0.02,200,0.02
2006-11-30,0.02,0.02,0.02,0.02,900,0.02
2006-12-01,0.02,0.02,0.02,0.02,0,0.02
2006-12-04,0.02,0.02,0.02,0.02,0,0.02
2006-12-05,0.02,0.02,0.02,0.02,0,0.02
2006-12-06,0.02,0.02,0.02,0.02,0,0.02
2006-12-07,0.02,0.02,0.02,0.02,0,0.02
2006-12-08,0.02,0.02,0.02,0.02,1000,0.02
2006-12-11,0.02,0.02,0.02,0.02,0,0.02
2006-12-12,0.02,0.02,0.02,0.02,0,0.02
2006-12-13,0.02,0.02,0.02,0.02,700,0.02
2006-12-14,0.02,0.02,0.02,0.02,700,0.02
2006-12-15,0.02,0.02,0.02,0.02,2000,0.02
2006-12-18,0.01,0.01,0.01,0.01,0,0.01
2006-12-19,0.02,0.02,0.02,0.02,10000,0.02
2006-12-20,0.02,0.02,0.02,0.02,0,0.02
2006-12-21,0.02,0.02,0.02,0.02,0,0.02
2006-12-22,0.02,0.02,0.02,0.02,0,0.02
2006-12-26,0.02,0.02,0.02,0.02,1300,0.02
2006-12-27,0.02,0.02,0.02,0.02,0,0.02
2006-12-28,0.02,0.02,0.02,0.02,0,0.02
2006-12-29,0.02,0.02,0.02,0.02,0,0.02
2007-01-03,0.02,0.02,0.02,0.02,45200,0.02
2007-01-04,0.02,0.02,0.02,0.02,5200,0.02
2007-01-05,0.02,0.02,0.02,0.02,5800,0.02
2007-01-08,0.02,0.02,0.02,0.02,0,0.02
2007-01-09,0.02,0.02,0.02,0.02,0,0.02
2007-01-10,0.02,0.02,0.02,0.02,0,0.02
2007-01-11,0.02,0.02,0.02,0.02,0,0.02
2007-01-12,0.02,0.02,0.02,0.02,9000,0.02
2007-01-16,0.02,0.02,0.02,0.02,200,0.02
2007-01-17,0.02,0.02,0.02,0.02,0,0.02
2007-01-18,0.02,0.02,0.02,0.02,0,0.02
2007-01-19,0.02,0.02,0.02,0.02,0,0.02
2007-01-22,0.02,0.02,0.02,0.02,0,0.02
2007-01-23,0.02,0.02,0.02,0.02,100,0.02
